sample_id,score,y_member
TCGA-E2-A158-01A-11R-A12D-07,0.7174704400167669,0
TCGA-AO-A1KO-01A-31R-A13Q-07,0.9856185799182505,1
TCGA-AR-A0TX-01A-11R-A084-07,0.9266923941527812,1
TCGA-D8-A1XB-01A-11R-A14D-07,0.48462454846499353,1
TCGA-B6-A0IG-01A-11R-A034-07,0.5262364585793419,1
TCGA-AC-A5EH-01A-11R-A28M-07,0.9372086039882821,1
TCGA-LL-A7SZ-01A-32R-A352-07,0.5355507486596233,1
TCGA-A7-A26J-01A-11R-A169-07,0.5200553078135495,0
TCGA-E9-A22H-01A-11R-A157-07,0.6470938318807651,1
TCGA-BH-A208-01A-11R-A157-07,0.9868924371917153,1
TCGA-BH-A6R9-01A-21R-A32P-07,0.9853845973284109,1
TCGA-OL-A5S0-01A-11R-A28M-07,0.6867881300597354,0
TCGA-A1-A0SD-01A-11R-A115-07,0.506544905306658,1
TCGA-AO-A0JB-01A-11R-A32Y-07,0.9923733698398283,1
TCGA-E2-A1BD-01A-11R-A12P-07,0.48088604543079405,1
TCGA-AN-A0AS-01A-11R-A00Z-07,0.49384941622505046,1
TCGA-A7-A13G-01A-11R-A13Q-07,0.5013040258763106,1
TCGA-B6-A0RS-01A-11R-A084-07,0.9280311825188348,1
TCGA-A2-A4S0-01A-21R-A266-07,0.48070156449723817,1
TCGA-BH-A1F5-01A-12R-A13Q-07,0.47256644001813664,1
TCGA-A2-A0CX-01A-21R-A00Z-07,0.910899843114487,0
TCGA-A7-A13D-01A-13R-A12P-07,0.641481604245505,1
TCGA-AN-A03Y-01A-21R-A00Z-07,0.6277046206338233,1
TCGA-E9-A1ND-01A-11R-A144-07,0.6948237047832189,1
TCGA-EW-A1P5-01A-11R-A144-07,0.49532693169916375,1
TCGA-EW-A423-01A-11R-A24H-07,0.5168657286214897,1
TCGA-A7-A5ZV-01A-11R-A28M-07,0.7399619557081448,1
TCGA-C8-A8HP-01A-11R-A36F-07,0.9422615260286252,0
TCGA-AQ-A54O-01A-11R-A266-07,0.7307166757578963,1
TCGA-E9-A5FK-01A-11R-A27Q-07,0.5361594562161826,0
TCGA-D8-A142-01A-11R-A115-07,0.7560224737998158,1
TCGA-BH-A0BC-01A-22R-A084-07,0.49663454929808476,1
TCGA-A2-A0EY-01A-11R-A034-07,0.6774649185653085,1
TCGA-D8-A1J8-01A-11R-A13Q-07,0.6831295882415757,1
TCGA-A8-A06Y-01A-21R-A00Z-07,0.47564300176510554,1
TCGA-EW-A1J1-01A-11R-A13Q-07,0.4299703330084793,1
TCGA-BH-A0C0-01A-21R-A056-07,0.6760639605541627,1
TCGA-AC-A2FK-01A-12R-A180-07,0.9762356546173436,1
TCGA-A2-A3XV-01A-21R-A239-07,0.9464083391767913,1
TCGA-BH-A0HB-01A-11R-A056-07,0.5136582849885811,1
TCGA-AN-A0XL-01A-11R-A10J-07,0.519663244746205,1
TCGA-E2-A10B-01A-11R-A10J-07,0.5390315008167693,1
TCGA-A2-A04X-01A-21R-A034-07,0.9311248198071428,1
TCGA-AR-A1AN-01A-11R-A12P-07,0.4547184241793323,1
TCGA-A2-A0EM-01A-11R-A034-07,0.5047732382952035,1
TCGA-B6-A0WS-01A-11R-A115-07,0.49480859232044905,0
TCGA-D8-A1XD-01A-11R-A14D-07,0.4895235095892533,0
TCGA-A8-A091-01A-11R-A00Z-07,0.5503245639536973,1
TCGA-E9-A2JS-01A-11R-A180-07,0.6012663434283768,1
TCGA-A2-A1G1-01A-21R-A13Q-07,0.6976033319545385,1
TCGA-E9-A22B-01A-11R-A157-07,0.5133229044120254,1
TCGA-D8-A27G-01A-11R-A16F-07,0.48513269896141875,1
TCGA-A7-A13E-01A-11R-A12P-07,0.6844198585781516,1
TCGA-BH-A0AY-01A-21R-A00Z-07,0.46779624765796846,1
TCGA-E2-A1L7-01A-11R-A144-07,0.6661684957437565,0
TCGA-AN-A046-01A-21R-A034-07,0.5120764379720585,1
TCGA-AN-A0AL-01A-11R-A00Z-07,0.7052937682737016,1
TCGA-D8-A27K-01A-11R-A16F-07,0.5033337613473644,0
TCGA-BH-A0DO-01B-11R-A12D-07,0.503301991584755,1
TCGA-A7-A4SB-01A-21R-A266-07,0.5063594542093716,1
TCGA-EW-A6SB-01A-12R-A32P-07,0.6765426244700533,1
TCGA-D8-A1JM-01A-11R-A13Q-07,0.7199985327135483,1
TCGA-OL-A66J-01A-11R-A29R-07,0.48060936422968803,1
TCGA-D8-A13Y-01A-11R-A115-07,0.6396113815604745,1
TCGA-AR-A24N-01A-11R-A169-07,0.6617280785583871,1
TCGA-BH-A0B1-01A-12R-A056-07,0.5140421693447956,1
TCGA-B6-A0RN-01A-12R-A084-07,0.49974997339232924,0
TCGA-A2-A0T1-01A-21R-A084-07,0.9255445294442316,1
TCGA-AN-A0AM-01A-11R-A034-07,0.6827418621566633,1
TCGA-E2-A1LA-01A-11R-A144-07,0.5017475712103896,1
TCGA-JL-A3YW-01A-12R-A239-07,0.9275978989129068,1
TCGA-BH-A0H3-01A-11R-A12P-07,0.4864877314879553,1
TCGA-E2-A1IF-01A-11R-A144-07,0.4756251154105434,1
TCGA-C8-A26X-01A-31R-A16F-07,0.908991770935542,1
TCGA-A8-A09B-01A-11R-A00Z-07,0.4916554994482369,1
TCGA-A7-A26G-01A-21R-A169-07,0.7679455650382877,1
TCGA-AC-A2FE-01A-11R-A19W-07,0.500427083560594,1
TCGA-A8-A08G-01A-11R-A00Z-07,0.6093720255482951,1
