sample_id,score,y_member
TCGA-E2-A158-01A-11R-A12D-07,-8.89876472593138,1
TCGA-AO-A1KO-01A-31R-A13Q-07,-7.4614248341621385,1
TCGA-AR-A0TX-01A-11R-A084-07,-5.884492037319695,0
TCGA-D8-A1XB-01A-11R-A14D-07,-4.215493425257057,1
TCGA-B6-A0IG-01A-11R-A034-07,-7.028794154810301,1
TCGA-AC-A5EH-01A-11R-A28M-07,-6.064484417297364,1
TCGA-LL-A7SZ-01A-32R-A352-07,-10.604503826462128,1
TCGA-A7-A26J-01A-11R-A169-07,-6.145111093270635,1
TCGA-E9-A22H-01A-11R-A157-07,-6.370264058064533,1
TCGA-BH-A208-01A-11R-A157-07,-6.814452462960259,1
TCGA-BH-A6R9-01A-21R-A32P-07,-7.09402967221362,1
TCGA-OL-A5S0-01A-11R-A28M-07,-8.452632947742332,1
TCGA-A1-A0SD-01A-11R-A115-07,-4.544313148077156,1
TCGA-AO-A0JB-01A-11R-A32Y-07,-7.93462531659276,1
TCGA-E2-A1BD-01A-11R-A12P-07,-5.929762827086173,1
TCGA-AN-A0AS-01A-11R-A00Z-07,-5.671602245890268,1
TCGA-A7-A13G-01A-11R-A13Q-07,-9.911835258795417,1
TCGA-B6-A0RS-01A-11R-A084-07,-6.019395823085983,1
TCGA-A2-A4S0-01A-21R-A266-07,-7.274927204130185,0
TCGA-BH-A1F5-01A-12R-A13Q-07,-8.782270789732383,1
TCGA-A2-A0CX-01A-21R-A00Z-07,-5.5857659198021405,1
TCGA-A7-A13D-01A-13R-A12P-07,-8.07759477722933,0
TCGA-AN-A03Y-01A-21R-A00Z-07,-7.232180688029391,1
TCGA-E9-A1ND-01A-11R-A144-07,-7.123030063048226,0
TCGA-EW-A1P5-01A-11R-A144-07,-5.825071413617161,1
TCGA-EW-A423-01A-11R-A24H-07,-8.36639385988032,1
TCGA-A7-A5ZV-01A-11R-A28M-07,-9.305687553988477,1
TCGA-C8-A8HP-01A-11R-A36F-07,-7.338832706252337,1
TCGA-AQ-A54O-01A-11R-A266-07,-9.393862134430663,1
