sample_id,score,y_member
TCGA-E2-A158-01A-11R-A12D-07,-0.26487114827407915,1
TCGA-AO-A1KO-01A-31R-A13Q-07,-2.8740075650763086,1
TCGA-AR-A0TX-01A-11R-A084-07,-1.0717179134686787,0
TCGA-D8-A1XB-01A-11R-A14D-07,-0.06750564626396025,1
TCGA-B6-A0IG-01A-11R-A034-07,-0.025227259648332025,1
TCGA-AC-A5EH-01A-11R-A28M-07,-1.0692676734105815,1
TCGA-LL-A7SZ-01A-32R-A352-07,0.015166990016453906,1
TCGA-A7-A26J-01A-11R-A169-07,-0.05041481057027265,1
TCGA-E9-A22H-01A-11R-A157-07,-0.14915437714944782,1
TCGA-BH-A208-01A-11R-A157-07,-2.7215185394574566,1
TCGA-BH-A6R9-01A-21R-A32P-07,-2.6867004408953212,1
TCGA-OL-A5S0-01A-11R-A28M-07,-0.2351178488204877,1
TCGA-A1-A0SD-01A-11R-A115-07,-0.08182682840849546,1
TCGA-AO-A0JB-01A-11R-A32Y-07,-2.543478770772972,1
TCGA-E2-A1BD-01A-11R-A12P-07,-0.06837484568602853,1
TCGA-AN-A0AS-01A-11R-A00Z-07,-0.036674019947783604,1
TCGA-A7-A13G-01A-11R-A13Q-07,0.033934525220487295,1
TCGA-B6-A0RS-01A-11R-A084-07,-1.035071085205479,1
TCGA-A2-A4S0-01A-21R-A266-07,-0.11230950876399835,0
TCGA-BH-A1F5-01A-12R-A13Q-07,0.008789562998817084,1
TCGA-A2-A0CX-01A-21R-A00Z-07,-1.1763342514104935,1
TCGA-A7-A13D-01A-13R-A12P-07,-0.29011919544035075,0
TCGA-AN-A03Y-01A-21R-A00Z-07,-0.15902364580433262,1
TCGA-E9-A1ND-01A-11R-A144-07,-0.22909395415516148,0
TCGA-EW-A1P5-01A-11R-A144-07,-0.048023305778153696,1
TCGA-EW-A423-01A-11R-A24H-07,-0.025365223456144618,1
TCGA-A7-A5ZV-01A-11R-A28M-07,-0.2955178692816759,1
TCGA-C8-A8HP-01A-11R-A36F-07,-1.0985759059090079,1
TCGA-AQ-A54O-01A-11R-A266-07,-0.09591303324313495,1
TCGA-E9-A5FK-01A-11R-A27Q-07,-0.029002979029325193,1
TCGA-D8-A142-01A-11R-A115-07,-0.1940410654727825,1
TCGA-BH-A0BC-01A-22R-A084-07,-0.04554517795180333,1
TCGA-A2-A0EY-01A-11R-A034-07,-0.10158210300124787,1
TCGA-D8-A1J8-01A-11R-A13Q-07,-0.14516381183143154,1
TCGA-A8-A06Y-01A-21R-A00Z-07,-0.06820862046251469,0
