sample_id,score,y_member
TCGA-E2-A158-01A-11R-A12D-07,-0.0080067468295731,1
TCGA-AO-A1KO-01A-31R-A13Q-07,-0.00330675571705108,1
TCGA-AR-A0TX-01A-11R-A084-07,-0.07354753210331177,0
TCGA-D8-A1XB-01A-11R-A14D-07,-0.004170659055306419,1
TCGA-B6-A0IG-01A-11R-A034-07,-0.028862212183249306,1
TCGA-AC-A5EH-01A-11R-A28M-07,-0.035036964155757896,1
TCGA-LL-A7SZ-01A-32R-A352-07,-0.03325731212644099,1
TCGA-A7-A26J-01A-11R-A169-07,-0.004698947952154382,1
TCGA-E9-A22H-01A-11R-A157-07,-0.00047438290741564075,1
TCGA-BH-A208-01A-11R-A157-07,-0.003783278067747643,1
TCGA-BH-A6R9-01A-21R-A32P-07,-0.04018874677040241,1
TCGA-OL-A5S0-01A-11R-A28M-07,-0.031842035960052036,1
TCGA-A1-A0SD-01A-11R-A115-07,-0.009502923769574314,1
TCGA-AO-A0JB-01A-11R-A32Y-07,-0.02777344751413693,1
TCGA-E2-A1BD-01A-11R-A12P-07,-0.005939029960723985,1
TCGA-AN-A0AS-01A-11R-A00Z-07,-0.027709051615078417,1
TCGA-A7-A13G-01A-11R-A13Q-07,0.033442560936813186,1
TCGA-B6-A0RS-01A-11R-A084-07,-0.029414782192028657,1
TCGA-A2-A4S0-01A-21R-A266-07,-0.05776971954210116,0
TCGA-BH-A1F5-01A-12R-A13Q-07,0.014770694251245858,1
TCGA-A2-A0CX-01A-21R-A00Z-07,-0.024747903363536293,1
TCGA-A7-A13D-01A-13R-A12P-07,-0.04429366275023471,0
TCGA-AN-A03Y-01A-21R-A00Z-07,-0.039995081362477335,1
TCGA-E9-A1ND-01A-11R-A144-07,-0.04302579678297756,0
TCGA-EW-A1P5-01A-11R-A144-07,-0.01571755354075379,1
TCGA-EW-A423-01A-11R-A24H-07,-0.01653101371690324,1
TCGA-A7-A5ZV-01A-11R-A28M-07,-0.039573269967845014,1
TCGA-C8-A8HP-01A-11R-A36F-07,-0.02181161384199181,1
TCGA-AQ-A54O-01A-11R-A266-07,-0.0159827628000179,1
TCGA-E9-A5FK-01A-11R-A27Q-07,-0.020446063276621386,1
TCGA-D8-A142-01A-11R-A115-07,-0.033847441616272386,1
TCGA-BH-A0BC-01A-22R-A084-07,-0.021218158843670672,1
TCGA-A2-A0EY-01A-11R-A034-07,-0.01434197567240951,1
TCGA-D8-A1J8-01A-11R-A13Q-07,-0.011617517356156584,1
TCGA-A8-A06Y-01A-21R-A00Z-07,-0.031201967398121533,0
TCGA-EW-A1J1-01A-11R-A13Q-07,-0.012640014592252021,1
TCGA-BH-A0C0-01A-21R-A056-07,-0.04012625633160948,0
TCGA-AC-A2FK-01A-12R-A180-07,-0.02946951655940247,0
TCGA-A2-A3XV-01A-21R-A239-07,-0.05281727487861499,0
TCGA-BH-A0HB-01A-11R-A056-07,-0.013093564616902824,1
TCGA-AN-A0XL-01A-11R-A10J-07,-0.001354191741543833,1
TCGA-E2-A10B-01A-11R-A10J-07,-0.021307191074479644,1
TCGA-A2-A04X-01A-21R-A034-07,-0.018241316000214124,1
TCGA-AR-A1AN-01A-11R-A12P-07,-0.005652029492335397,1
TCGA-A2-A0EM-01A-11R-A034-07,-0.023607931352544142,0
TCGA-B6-A0WS-01A-11R-A115-07,-0.009572914407870274,1
TCGA-D8-A1XD-01A-11R-A14D-07,-0.04041698502069199,1
TCGA-A8-A091-01A-11R-A00Z-07,-0.008560223903160809,1
TCGA-E9-A2JS-01A-11R-A180-07,-0.03986359798900416,0
TCGA-A2-A1G1-01A-21R-A13Q-07,-0.029834227489814496,1
TCGA-E9-A22B-01A-11R-A157-07,-0.03272690121227511,0
