sample_id,score,y_member
TCGA-E2-A158-01A-11R-A12D-07,-0.12212584672047087,1
TCGA-AO-A1KO-01A-31R-A13Q-07,-3.4837867288234654,1
TCGA-AR-A0TX-01A-11R-A084-07,-1.4524435340566189,0
TCGA-D8-A1XB-01A-11R-A14D-07,-0.04712864519815497,1
TCGA-B6-A0IG-01A-11R-A034-07,-0.06069323326219006,1
TCGA-AC-A5EH-01A-11R-A28M-07,-0.9972472232511191,1
TCGA-LL-A7SZ-01A-32R-A352-07,0.00026704724480302813,1
TCGA-A7-A26J-01A-11R-A169-07,-0.03897637579918621,1
TCGA-E9-A22H-01A-11R-A157-07,-0.15783440512956845,1
TCGA-BH-A208-01A-11R-A157-07,-2.981120976294658,1
TCGA-BH-A6R9-01A-21R-A32P-07,-3.1289216142196015,1
TCGA-OL-A5S0-01A-11R-A28M-07,-0.17770083314392945,1
TCGA-A1-A0SD-01A-11R-A115-07,-0.05406059295553986,1
TCGA-AO-A0JB-01A-11R-A32Y-07,-3.4922853493201065,1
TCGA-E2-A1BD-01A-11R-A12P-07,-0.06314585504985104,1
TCGA-AN-A0AS-01A-11R-A00Z-07,-0.04810648677907687,1
TCGA-A7-A13G-01A-11R-A13Q-07,0.0189537547318032,1
TCGA-B6-A0RS-01A-11R-A084-07,-0.7557073012790303,1
TCGA-A2-A4S0-01A-21R-A266-07,-0.11639617159115032,0
TCGA-BH-A1F5-01A-12R-A13Q-07,-0.025596475286808813,1
TCGA-A2-A0CX-01A-21R-A00Z-07,-1.037845145473159,1
TCGA-A7-A13D-01A-13R-A12P-07,-0.16804085289379386,0
TCGA-AN-A03Y-01A-21R-A00Z-07,-0.10639836409480906,1
TCGA-E9-A1ND-01A-11R-A144-07,-0.30331975571539105,0
TCGA-EW-A1P5-01A-11R-A144-07,-0.0747219789657826,1
TCGA-EW-A423-01A-11R-A24H-07,-0.04406986738511701,1
TCGA-A7-A5ZV-01A-11R-A28M-07,-0.10463590773401757,1
TCGA-C8-A8HP-01A-11R-A36F-07,-1.061905105557504,1
TCGA-AQ-A54O-01A-11R-A266-07,-0.04879166076115559,1
TCGA-E9-A5FK-01A-11R-A27Q-07,-0.03789755830425969,1
TCGA-D8-A142-01A-11R-A115-07,-0.20200220047441061,1
TCGA-BH-A0BC-01A-22R-A084-07,-0.037448064822978466,1
TCGA-A2-A0EY-01A-11R-A034-07,-0.10731327938044025,1
TCGA-D8-A1J8-01A-11R-A13Q-07,-0.10384479012557296,1
TCGA-A8-A06Y-01A-21R-A00Z-07,-0.09029311850698701,0
TCGA-EW-A1J1-01A-11R-A13Q-07,-0.04319011103875909,1
TCGA-BH-A0C0-01A-21R-A056-07,-0.20226759811008865,0
TCGA-AC-A2FK-01A-12R-A180-07,-4.188732717867661,0
TCGA-A2-A3XV-01A-21R-A239-07,-1.1368185664593136,0
TCGA-BH-A0HB-01A-11R-A056-07,0.0005895575358878599,1
TCGA-AN-A0XL-01A-11R-A10J-07,-0.03780059058577249,1
TCGA-E2-A10B-01A-11R-A10J-07,-0.058917900626912864,1
TCGA-A2-A04X-01A-21R-A034-07,-0.9629452344299941,1
TCGA-AR-A1AN-01A-11R-A12P-07,-0.04664660064667687,1
