sample_id,score,y_member
TCGA-E2-A158-01A-11R-A12D-07,-0.01855617311953538,1
TCGA-AO-A1KO-01A-31R-A13Q-07,-1.0890788688172846,1
TCGA-AR-A0TX-01A-11R-A084-07,-0.2889496946347834,0
TCGA-D8-A1XB-01A-11R-A14D-07,-0.042071018085356134,1
TCGA-B6-A0IG-01A-11R-A034-07,0.015344290089442226,1
TCGA-AC-A5EH-01A-11R-A28M-07,-0.20215857652626737,1
TCGA-LL-A7SZ-01A-32R-A352-07,0.06030311699641106,1
TCGA-A7-A26J-01A-11R-A169-07,-0.022369697663604814,1
TCGA-E9-A22H-01A-11R-A157-07,-0.10269404742868882,1
TCGA-BH-A208-01A-11R-A157-07,-0.7902668673064491,1
TCGA-BH-A6R9-01A-21R-A32P-07,-0.9148657267554068,1
TCGA-OL-A5S0-01A-11R-A28M-07,-0.04643643727018198,1
TCGA-A1-A0SD-01A-11R-A115-07,-0.04849981226707254,1
TCGA-AO-A0JB-01A-11R-A32Y-07,-0.8748232920613259,1
TCGA-E2-A1BD-01A-11R-A12P-07,-0.04332292441085531,1
TCGA-AN-A0AS-01A-11R-A00Z-07,-0.011434609004276638,1
TCGA-A7-A13G-01A-11R-A13Q-07,0.036801800591100345,1
TCGA-B6-A0RS-01A-11R-A084-07,-0.22393511087213924,1
TCGA-A2-A4S0-01A-21R-A266-07,-0.06844962219388503,0
TCGA-BH-A1F5-01A-12R-A13Q-07,0.005837346849835329,1
TCGA-A2-A0CX-01A-21R-A00Z-07,-0.20087073380323042,1
TCGA-A7-A13D-01A-13R-A12P-07,-0.11237718489120556,0
TCGA-AN-A03Y-01A-21R-A00Z-07,-0.09565529942497468,1
TCGA-E9-A1ND-01A-11R-A144-07,-0.08230597144195513,0
TCGA-EW-A1P5-01A-11R-A144-07,-0.022691423665629262,1
TCGA-EW-A423-01A-11R-A24H-07,-0.01291037500339899,1
TCGA-A7-A5ZV-01A-11R-A28M-07,-0.016520317176556106,1
TCGA-C8-A8HP-01A-11R-A36F-07,-0.2302303389361111,1
TCGA-AQ-A54O-01A-11R-A266-07,-0.0012035910135993748,1
TCGA-E9-A5FK-01A-11R-A27Q-07,-0.016897803190427503,1
TCGA-D8-A142-01A-11R-A115-07,-0.007549520857413854,1
TCGA-BH-A0BC-01A-22R-A084-07,-0.02141911680817594,1
TCGA-A2-A0EY-01A-11R-A034-07,-0.04940828457386395,1
TCGA-D8-A1J8-01A-11R-A13Q-07,-0.06671688425471728,1
TCGA-A8-A06Y-01A-21R-A00Z-07,-0.054091959818909095,0
TCGA-EW-A1J1-01A-11R-A13Q-07,-0.011972265521988476,1
TCGA-BH-A0C0-01A-21R-A056-07,-0.10398470615334543,0
TCGA-AC-A2FK-01A-12R-A180-07,-1.2434460498690998,0
TCGA-A2-A3XV-01A-21R-A239-07,-0.25167473761906645,0
TCGA-BH-A0HB-01A-11R-A056-07,0.029194576605481665,1
TCGA-AN-A0XL-01A-11R-A10J-07,-0.031191025315383668,1
TCGA-E2-A10B-01A-11R-A10J-07,-0.03209046039574147,1
TCGA-A2-A04X-01A-21R-A034-07,-0.17987931494311843,1
TCGA-AR-A1AN-01A-11R-A12P-07,-0.027556165341694267,1
TCGA-A2-A0EM-01A-11R-A034-07,-0.061625745861804665,0
