sample_id,score,y_member
TCGA-E2-A158-01A-11R-A12D-07,-0.018274327815701593,1
TCGA-AO-A1KO-01A-31R-A13Q-07,-1.3777113245378045,1
TCGA-AR-A0TX-01A-11R-A084-07,-0.21031053725944818,1
TCGA-D8-A1XB-01A-11R-A14D-07,-0.03803071242023042,1
TCGA-B6-A0IG-01A-11R-A034-07,0.0026413887134354524,1
TCGA-AC-A5EH-01A-11R-A28M-07,-0.34187783115154646,1
TCGA-LL-A7SZ-01A-32R-A352-07,0.029746503438393298,1
TCGA-A7-A26J-01A-11R-A169-07,-0.02077328037727572,1
TCGA-E9-A22H-01A-11R-A157-07,-0.060253286096152006,1
TCGA-BH-A208-01A-11R-A157-07,-1.9261542440414905,0
TCGA-BH-A6R9-01A-21R-A32P-07,-1.5497041181799365,1
TCGA-OL-A5S0-01A-11R-A28M-07,-0.04244110884875575,1
TCGA-A1-A0SD-01A-11R-A115-07,-0.026259655127428658,1
TCGA-AO-A0JB-01A-11R-A32Y-07,-2.168422474382235,0
TCGA-E2-A1BD-01A-11R-A12P-07,-0.027839454322814525,1
TCGA-AN-A0AS-01A-11R-A00Z-07,-0.01172131957321761,1
TCGA-A7-A13G-01A-11R-A13Q-07,0.005114873012202655,0
TCGA-B6-A0RS-01A-11R-A084-07,-0.24368903957652957,1
TCGA-A2-A4S0-01A-21R-A266-07,-0.017331306690180858,1
TCGA-BH-A1F5-01A-12R-A13Q-07,-0.0005214228064781196,1
TCGA-A2-A0CX-01A-21R-A00Z-07,-0.3992257311858534,1
TCGA-A7-A13D-01A-13R-A12P-07,-0.04712072343918455,1
TCGA-AN-A03Y-01A-21R-A00Z-07,-0.05197628430344022,1
TCGA-E9-A1ND-01A-11R-A144-07,-0.018967752503249852,1
TCGA-EW-A1P5-01A-11R-A144-07,-0.023431782404735958,1
TCGA-EW-A423-01A-11R-A24H-07,-0.007377728923445423,1
TCGA-A7-A5ZV-01A-11R-A28M-07,-0.06015690349885363,0
TCGA-C8-A8HP-01A-11R-A36F-07,-0.19090822189977946,1
