sample_id,score,y_member
TCGA-E2-A158-01A-11R-A12D-07,-9.952621082611307,1
TCGA-AO-A1KO-01A-31R-A13Q-07,-9.8538115339859,1
TCGA-AR-A0TX-01A-11R-A084-07,-8.339746868156253,0
TCGA-D8-A1XB-01A-11R-A14D-07,-5.487023263144726,1
TCGA-B6-A0IG-01A-11R-A034-07,-7.987450680761342,1
TCGA-AC-A5EH-01A-11R-A28M-07,-7.890470779229852,1
TCGA-LL-A7SZ-01A-32R-A352-07,-11.184601225785629,1
TCGA-A7-A26J-01A-11R-A169-07,-6.9756806020749025,1
TCGA-E9-A22H-01A-11R-A157-07,-7.52660653660192,1
TCGA-BH-A208-01A-11R-A157-07,-9.22619420552344,1
TCGA-BH-A6R9-01A-21R-A32P-07,-9.2314668680282,1
TCGA-OL-A5S0-01A-11R-A28M-07,-9.619705880918195,1
TCGA-A1-A0SD-01A-11R-A115-07,-5.629181800242372,1
TCGA-AO-A0JB-01A-11R-A32Y-07,-9.682725333521539,1
TCGA-E2-A1BD-01A-11R-A12P-07,-6.805523377169866,1
TCGA-AN-A0AS-01A-11R-A00Z-07,-6.650532277481646,1
TCGA-A7-A13G-01A-11R-A13Q-07,-11.007856956657152,1
TCGA-B6-A0RS-01A-11R-A084-07,-8.27910339950258,1
TCGA-A2-A4S0-01A-21R-A266-07,-8.041620860303004,0
TCGA-BH-A1F5-01A-12R-A13Q-07,-9.772162675344811,1
TCGA-A2-A0CX-01A-21R-A00Z-07,-7.525411989106639,1
TCGA-A7-A13D-01A-13R-A12P-07,-9.183956845033922,0
TCGA-AN-A03Y-01A-21R-A00Z-07,-8.233004957189667,1
TCGA-E9-A1ND-01A-11R-A144-07,-8.334810859287263,0
TCGA-EW-A1P5-01A-11R-A144-07,-6.79181917843085,1
TCGA-EW-A423-01A-11R-A24H-07,-9.160338174894331,1
TCGA-A7-A5ZV-01A-11R-A28M-07,-10.284097525691298,1
TCGA-C8-A8HP-01A-11R-A36F-07,-9.013962059177434,1
TCGA-AQ-A54O-01A-11R-A266-07,-10.028954334647104,1
TCGA-E9-A5FK-01A-11R-A27Q-07,-9.270265310955809,1
TCGA-D8-A142-01A-11R-A115-07,-7.38047091715259,1
TCGA-BH-A0BC-01A-22R-A084-07,-5.792003838650604,1
TCGA-A2-A0EY-01A-11R-A034-07,-7.2529113614909795,1
TCGA-D8-A1J8-01A-11R-A13Q-07,-9.825831782227837,1
TCGA-A8-A06Y-01A-21R-A00Z-07,-7.313107963021879,0
TCGA-EW-A1J1-01A-11R-A13Q-07,-7.7649113274380115,1
TCGA-BH-A0C0-01A-21R-A056-07,-7.409641005040116,0
TCGA-AC-A2FK-01A-12R-A180-07,-8.912305793350138,0
TCGA-A2-A3XV-01A-21R-A239-07,-11.997063295211923,0
TCGA-BH-A0HB-01A-11R-A056-07,-7.720045429853216,1
TCGA-AN-A0XL-01A-11R-A10J-07,-6.143040133772746,1
TCGA-E2-A10B-01A-11R-A10J-07,-5.790289797573204,1
TCGA-A2-A04X-01A-21R-A034-07,-8.532066641436732,1
TCGA-AR-A1AN-01A-11R-A12P-07,-6.124309650012374,1
TCGA-A2-A0EM-01A-11R-A034-07,-5.988767037906957,0
TCGA-B6-A0WS-01A-11R-A115-07,-5.453507740423756,1
TCGA-D8-A1XD-01A-11R-A14D-07,-7.990653275396387,1
TCGA-A8-A091-01A-11R-A00Z-07,-8.003199863914823,1
TCGA-E9-A2JS-01A-11R-A180-07,-8.377570532228225,0
TCGA-A2-A1G1-01A-21R-A13Q-07,-10.05437051979728,1
TCGA-E9-A22B-01A-11R-A157-07,-7.061914342969672,0
TCGA-D8-A27G-01A-11R-A16F-07,-5.0766766054835895,1
TCGA-A7-A13E-01A-11R-A12P-07,-9.149536156159524,1
TCGA-BH-A0AY-01A-21R-A00Z-07,-6.217776145125788,0
TCGA-E2-A1L7-01A-11R-A144-07,-7.399144811827619,1
TCGA-AN-A046-01A-21R-A034-07,-6.300274511447758,0
TCGA-AN-A0AL-01A-11R-A00Z-07,-9.06312543549989,0
TCGA-D8-A27K-01A-11R-A16F-07,-6.638720873516577,1
TCGA-BH-A0DO-01B-11R-A12D-07,-6.25042672958073,0
TCGA-A7-A4SB-01A-21R-A266-07,-7.529063483624605,0
TCGA-EW-A6SB-01A-12R-A32P-07,-10.008810433916732,1
TCGA-D8-A1JM-01A-11R-A13Q-07,-10.06317581991901,1
TCGA-OL-A66J-01A-11R-A29R-07,-7.458959505668775,1
TCGA-D8-A13Y-01A-11R-A115-07,-9.852535424390624,1
TCGA-AR-A24N-01A-11R-A169-07,-6.875689805930284,1
TCGA-BH-A0B1-01A-12R-A056-07,-6.781598862042257,1
TCGA-B6-A0RN-01A-12R-A084-07,-6.065776442143353,1
TCGA-A2-A0T1-01A-21R-A084-07,-8.128057939177936,1
TCGA-AN-A0AM-01A-11R-A034-07,-8.039954010726625,1
TCGA-E2-A1LA-01A-11R-A144-07,-7.272284458177406,0
TCGA-JL-A3YW-01A-12R-A239-07,-9.21340016610205,0
TCGA-BH-A0H3-01A-11R-A12P-07,-6.118262992519985,1
TCGA-E2-A1IF-01A-11R-A144-07,-7.191123983598706,1
TCGA-C8-A26X-01A-31R-A16F-07,-8.762404524888602,1
TCGA-A8-A09B-01A-11R-A00Z-07,-5.340688222363148,0
TCGA-A7-A26G-01A-21R-A169-07,-8.917180166646048,1
TCGA-AC-A2FE-01A-11R-A19W-07,-5.458983619504235,1
TCGA-A8-A08G-01A-11R-A00Z-07,-6.627545530039197,0
TCGA-AN-A0FJ-01A-11R-A00Z-07,-9.616955087007245,1
TCGA-B6-A0RV-01A-11R-A084-07,-5.242813299857783,1
TCGA-B6-A0WV-01A-11R-A109-07,-7.084121926623876,1
TCGA-A8-A07P-01A-11R-A00Z-07,-7.806409946447578,1
TCGA-A8-A08H-01A-21R-A00Z-07,-8.63399356971591,1
TCGA-AR-A0TW-01A-11R-A084-07,-8.889141669712163,1
TCGA-E2-A15F-01A-11R-A115-07,-6.655966471212472,1
TCGA-B6-A0WX-01A-11R-A109-07,-7.911336067024236,1
TCGA-D8-A1Y1-01A-21R-A14M-07,-5.869637771844016,1
TCGA-E2-A14Z-01A-11R-A115-07,-6.165368150466883,0
TCGA-A2-A25A-01A-12R-A16F-07,-7.351230012227618,0
TCGA-A2-A0CT-01A-31R-A056-07,-8.143288003319402,1
TCGA-HN-A2OB-01A-21R-A27Q-07,-6.20095302993153,0
TCGA-B6-A0RT-01A-21R-A084-07,-8.168199178025285,1
TCGA-AR-A24T-01A-11R-A169-07,-6.8334656800439095,1
TCGA-E9-A1R0-01A-22R-A16F-07,-5.558448253611323,1
TCGA-E9-A5FL-01A-11R-A27Q-07,-10.487186040795452,1
TCGA-E2-A3DX-01A-21R-A213-07,-6.660441389720493,1
TCGA-E2-A14T-01A-11R-A115-07,-7.5638108668151425,1
TCGA-A2-A4RY-01A-31R-A266-07,-8.664938225270845,1
TCGA-AR-A2LK-01A-11R-A180-07,-7.129183135380795,1
TCGA-BH-A42U-01A-12R-A24H-07,-9.812051887453226,1
TCGA-AO-A12C-01A-11R-A10J-07,-7.0492727093811975,0
TCGA-A2-A3XY-01A-11R-A239-07,-8.598024813376764,1
TCGA-D8-A73X-01A-11R-A32P-07,-5.451866144010523,1
TCGA-AR-A2LO-01A-31R-A18M-07,-5.755430347311738,1
TCGA-AO-A0JJ-01A-11R-A056-07,-5.366026277569958,0
TCGA-LD-A74U-01A-13R-A33J-07,-6.724204765473951,1
TCGA-AN-A0XN-01A-21R-A109-07,-7.075910553353014,1
TCGA-E2-A107-01A-11R-A10J-07,-7.631420352814377,1
TCGA-A7-A6VV-01A-22R-A33J-07,-8.766468948840288,1
TCGA-AC-A5XS-01A-11R-A29R-07,-7.47408398614575,1
TCGA-BH-A0H6-01A-21R-A056-07,-6.1382995923894805,1
TCGA-AC-A23C-01A-12R-A169-07,-7.105521440431546,1
TCGA-E9-A1NH-01A-11R-A14D-07,-5.528512019988733,1
TCGA-D8-A1XW-01A-11R-A14M-07,-9.267217889477871,1
TCGA-AO-A0JG-01A-31R-A084-07,-7.238301683936612,0
TCGA-BH-A18N-01A-11R-A12D-07,-7.601228927046,1
TCGA-A1-A0SO-01A-22R-A084-07,-10.58487181618847,0
TCGA-BH-A0B5-01A-11R-A12P-07,-5.85878791428531,0
TCGA-A8-A09T-01A-11R-A00Z-07,-6.035748966495525,1
TCGA-BH-A0BR-01A-21R-A115-07,-7.311686451888881,1
TCGA-D8-A27W-01A-11R-A16F-07,-8.14692017139165,1
TCGA-BH-A0BW-01A-11R-A115-07,-9.404760362665499,1
TCGA-GM-A2DB-01A-31R-A18M-07,-10.399559143059838,0
TCGA-AC-A2QH-01A-11R-A18M-07,-10.971561031201931,1
TCGA-D8-A1JB-01A-11R-A13Q-07,-6.545209901107927,1
