sample_id,score,y_member
TCGA-E2-A158-01A-11R-A12D-07,-10.187097546239112,1
TCGA-AO-A1KO-01A-31R-A13Q-07,-8.82998167760886,1
TCGA-AR-A0TX-01A-11R-A084-07,-7.004741848425722,0
TCGA-D8-A1XB-01A-11R-A14D-07,-5.120740138204565,1
TCGA-B6-A0IG-01A-11R-A034-07,-8.24120103083384,1
TCGA-AC-A5EH-01A-11R-A28M-07,-7.098430589196401,1
TCGA-LL-A7SZ-01A-32R-A352-07,-11.566243762570013,1
TCGA-A7-A26J-01A-11R-A169-07,-7.006405294248098,1
TCGA-E9-A22H-01A-11R-A157-07,-7.344067950976505,1
TCGA-BH-A208-01A-11R-A157-07,-8.053816573484765,1
TCGA-BH-A6R9-01A-21R-A32P-07,-8.230813423916585,1
TCGA-OL-A5S0-01A-11R-A28M-07,-9.506872220780108,1
TCGA-A1-A0SD-01A-11R-A115-07,-5.222941812250351,1
TCGA-AO-A0JB-01A-11R-A32Y-07,-9.279986720128061,1
TCGA-E2-A1BD-01A-11R-A12P-07,-6.658268963944068,1
TCGA-AN-A0AS-01A-11R-A00Z-07,-6.587750873793059,1
TCGA-A7-A13G-01A-11R-A13Q-07,-11.341028069882945,1
TCGA-B6-A0RS-01A-11R-A084-07,-7.08785543797523,1
TCGA-A2-A4S0-01A-21R-A266-07,-7.790912801131433,0
TCGA-BH-A1F5-01A-12R-A13Q-07,-9.992884568439287,1
TCGA-A2-A0CX-01A-21R-A00Z-07,-6.673416102494311,1
TCGA-A7-A13D-01A-13R-A12P-07,-9.110870066260071,0
TCGA-AN-A03Y-01A-21R-A00Z-07,-8.287506772688756,1
TCGA-E9-A1ND-01A-11R-A144-07,-8.190199886012433,0
TCGA-EW-A1P5-01A-11R-A144-07,-6.763787734583921,1
TCGA-EW-A423-01A-11R-A24H-07,-9.346513979577958,1
TCGA-A7-A5ZV-01A-11R-A28M-07,-10.312638522146724,1
TCGA-C8-A8HP-01A-11R-A36F-07,-8.567447936605845,1
TCGA-AQ-A54O-01A-11R-A266-07,-10.446503604562198,1
TCGA-E9-A5FK-01A-11R-A27Q-07,-9.305937161896363,1
TCGA-D8-A142-01A-11R-A115-07,-7.323479619956921,1
TCGA-BH-A0BC-01A-22R-A084-07,-5.623635841146078,1
TCGA-A2-A0EY-01A-11R-A034-07,-6.988422860827875,1
TCGA-D8-A1J8-01A-11R-A13Q-07,-10.130076847327523,1
TCGA-A8-A06Y-01A-21R-A00Z-07,-7.42491113095704,0
TCGA-EW-A1J1-01A-11R-A13Q-07,-7.750726079896559,1
TCGA-BH-A0C0-01A-21R-A056-07,-7.798766565393706,0
TCGA-AC-A2FK-01A-12R-A180-07,-7.5806136781582865,0
TCGA-A2-A3XV-01A-21R-A239-07,-12.37300639050368,0
TCGA-BH-A0HB-01A-11R-A056-07,-7.815578203930692,1
TCGA-AN-A0XL-01A-11R-A10J-07,-5.749110704295553,1
TCGA-E2-A10B-01A-11R-A10J-07,-5.845045014485988,1
TCGA-A2-A04X-01A-21R-A034-07,-7.800226572904062,1
TCGA-AR-A1AN-01A-11R-A12P-07,-6.017214676416134,1
TCGA-A2-A0EM-01A-11R-A034-07,-5.865466146903747,0
TCGA-B6-A0WS-01A-11R-A115-07,-5.503996368394322,1
TCGA-D8-A1XD-01A-11R-A14D-07,-8.053023201926639,1
TCGA-A8-A091-01A-11R-A00Z-07,-7.976599182739966,1
TCGA-E9-A2JS-01A-11R-A180-07,-8.08471857801152,0
