sample_id,score,y_member
TCGA-E2-A158-01A-11R-A12D-07,-10.048741353103916,1
TCGA-AO-A1KO-01A-31R-A13Q-07,-8.869668676033596,1
TCGA-AR-A0TX-01A-11R-A084-07,-7.675634170896792,0
TCGA-D8-A1XB-01A-11R-A14D-07,-5.358920596257366,1
TCGA-B6-A0IG-01A-11R-A034-07,-8.197809522512475,1
TCGA-AC-A5EH-01A-11R-A28M-07,-7.580800644701497,1
TCGA-LL-A7SZ-01A-32R-A352-07,-11.355123062975345,1
TCGA-A7-A26J-01A-11R-A169-07,-6.8838508703399715,1
TCGA-E9-A22H-01A-11R-A157-07,-7.717304813412384,1
TCGA-BH-A208-01A-11R-A157-07,-8.009362115621293,1
TCGA-BH-A6R9-01A-21R-A32P-07,-8.391337726754776,1
TCGA-OL-A5S0-01A-11R-A28M-07,-9.457470831822576,1
TCGA-A1-A0SD-01A-11R-A115-07,-5.419288491262872,1
TCGA-AO-A0JB-01A-11R-A32Y-07,-9.060856689457198,1
TCGA-E2-A1BD-01A-11R-A12P-07,-6.785588265979268,1
TCGA-AN-A0AS-01A-11R-A00Z-07,-6.645969082755287,1
TCGA-A7-A13G-01A-11R-A13Q-07,-11.139659622526002,1
TCGA-B6-A0RS-01A-11R-A084-07,-7.459884565507088,1
TCGA-A2-A4S0-01A-21R-A266-07,-7.915966027886483,0
TCGA-BH-A1F5-01A-12R-A13Q-07,-9.775484538676052,1
TCGA-A2-A0CX-01A-21R-A00Z-07,-7.171204122793396,1
TCGA-A7-A13D-01A-13R-A12P-07,-9.074254559093932,0
TCGA-AN-A03Y-01A-21R-A00Z-07,-8.4401394284129,1
TCGA-E9-A1ND-01A-11R-A144-07,-8.319898398331118,0
TCGA-EW-A1P5-01A-11R-A144-07,-6.761333488169449,1
TCGA-EW-A423-01A-11R-A24H-07,-9.275855176536467,1
TCGA-A7-A5ZV-01A-11R-A28M-07,-10.276624265517965,1
TCGA-C8-A8HP-01A-11R-A36F-07,-8.773149309151556,1
TCGA-AQ-A54O-01A-11R-A266-07,-10.283634255734242,1
TCGA-E9-A5FK-01A-11R-A27Q-07,-9.272444972845028,1
TCGA-D8-A142-01A-11R-A115-07,-7.3780536856547565,1
TCGA-BH-A0BC-01A-22R-A084-07,-5.774193232870718,1
TCGA-A2-A0EY-01A-11R-A034-07,-7.116439770707149,1
TCGA-D8-A1J8-01A-11R-A13Q-07,-10.081101274673895,1
TCGA-A8-A06Y-01A-21R-A00Z-07,-7.429547322939118,0
TCGA-EW-A1J1-01A-11R-A13Q-07,-7.972024360118417,1
TCGA-BH-A0C0-01A-21R-A056-07,-7.915485974832088,0
TCGA-AC-A2FK-01A-12R-A180-07,-7.83686816772308,0
TCGA-A2-A3XV-01A-21R-A239-07,-11.945014065372545,0
TCGA-BH-A0HB-01A-11R-A056-07,-7.714915443441112,1
TCGA-AN-A0XL-01A-11R-A10J-07,-5.846346310458552,1
TCGA-E2-A10B-01A-11R-A10J-07,-5.858105538145419,1
TCGA-A2-A04X-01A-21R-A034-07,-8.058342513918923,1
TCGA-AR-A1AN-01A-11R-A12P-07,-6.101775069977456,1
TCGA-A2-A0EM-01A-11R-A034-07,-5.939028194510276,0
TCGA-B6-A0WS-01A-11R-A115-07,-5.3335391581842755,1
TCGA-D8-A1XD-01A-11R-A14D-07,-7.849962998585094,1
TCGA-A8-A091-01A-11R-A00Z-07,-7.85590993608675,1
TCGA-E9-A2JS-01A-11R-A180-07,-8.091180152645912,0
TCGA-A2-A1G1-01A-21R-A13Q-07,-9.803043753578468,1
TCGA-E9-A22B-01A-11R-A157-07,-7.181380286698488,0
TCGA-D8-A27G-01A-11R-A16F-07,-5.128894912200264,1
TCGA-A7-A13E-01A-11R-A12P-07,-8.9904338971309,1
TCGA-BH-A0AY-01A-21R-A00Z-07,-6.1619615434368304,0
TCGA-E2-A1L7-01A-11R-A144-07,-7.630065425228083,1
TCGA-AN-A046-01A-21R-A034-07,-6.132247780349306,0
TCGA-AN-A0AL-01A-11R-A00Z-07,-8.904007183864165,0
TCGA-D8-A27K-01A-11R-A16F-07,-6.584381380120473,1
TCGA-BH-A0DO-01B-11R-A12D-07,-6.251367902227692,0
TCGA-A7-A4SB-01A-21R-A266-07,-7.656505485216384,0
TCGA-EW-A6SB-01A-12R-A32P-07,-9.834979631958417,1
TCGA-D8-A1JM-01A-11R-A13Q-07,-10.255682586073698,1
TCGA-OL-A66J-01A-11R-A29R-07,-7.246885018650049,1
TCGA-D8-A13Y-01A-11R-A115-07,-10.043690217910745,1
TCGA-AR-A24N-01A-11R-A169-07,-7.232646076472024,1
TCGA-BH-A0B1-01A-12R-A056-07,-6.9602424447715965,1
