sample_id,score,y_member
TCGA-E2-A158-01A-11R-A12D-07,-9.128099471506808,1
TCGA-AO-A1KO-01A-31R-A13Q-07,-7.722311211222618,1
TCGA-AR-A0TX-01A-11R-A084-07,-6.258415819729755,0
TCGA-D8-A1XB-01A-11R-A14D-07,-4.296771496535178,1
TCGA-B6-A0IG-01A-11R-A034-07,-7.148021437281104,1
TCGA-AC-A5EH-01A-11R-A28M-07,-6.379689558445383,1
TCGA-LL-A7SZ-01A-32R-A352-07,-10.672857799444737,1
TCGA-A7-A26J-01A-11R-A169-07,-6.238653706804832,1
TCGA-E9-A22H-01A-11R-A157-07,-6.559653769284181,1
TCGA-BH-A208-01A-11R-A157-07,-7.185290089566993,1
TCGA-BH-A6R9-01A-21R-A32P-07,-7.357720971886596,1
TCGA-OL-A5S0-01A-11R-A28M-07,-8.558185167150173,1
TCGA-A1-A0SD-01A-11R-A115-07,-4.581833521654337,1
TCGA-AO-A0JB-01A-11R-A32Y-07,-8.282842040708875,1
TCGA-E2-A1BD-01A-11R-A12P-07,-6.046136454754384,1
TCGA-AN-A0AS-01A-11R-A00Z-07,-5.769884225836882,1
TCGA-A7-A13G-01A-11R-A13Q-07,-10.033418783473671,1
TCGA-B6-A0RS-01A-11R-A084-07,-6.41183680582282,1
TCGA-A2-A4S0-01A-21R-A266-07,-7.334667031029099,0
TCGA-BH-A1F5-01A-12R-A13Q-07,-8.915579999065534,1
TCGA-A2-A0CX-01A-21R-A00Z-07,-5.8450878891214515,1
TCGA-A7-A13D-01A-13R-A12P-07,-8.30493794607754,0
TCGA-AN-A03Y-01A-21R-A00Z-07,-7.4670870318954625,1
TCGA-E9-A1ND-01A-11R-A144-07,-7.364363579536364,0
TCGA-EW-A1P5-01A-11R-A144-07,-5.912743198068454,1
TCGA-EW-A423-01A-11R-A24H-07,-8.477152610143253,1
TCGA-A7-A5ZV-01A-11R-A28M-07,-9.527718592661703,1
TCGA-C8-A8HP-01A-11R-A36F-07,-7.532332735901139,1
TCGA-AQ-A54O-01A-11R-A266-07,-9.650612409977148,1
TCGA-E9-A5FK-01A-11R-A27Q-07,-8.736456640767091,1
TCGA-D8-A142-01A-11R-A115-07,-6.496210459594994,1
TCGA-BH-A0BC-01A-22R-A084-07,-5.057448192400383,1
