sample_id,score,y_member
TCGA-E2-A158-01A-11R-A12D-07,-9.2750692695679,1
TCGA-AO-A1KO-01A-31R-A13Q-07,-7.920867473548513,1
TCGA-AR-A0TX-01A-11R-A084-07,-6.237437958754202,0
TCGA-D8-A1XB-01A-11R-A14D-07,-4.121799251427382,1
TCGA-B6-A0IG-01A-11R-A034-07,-7.1450081132989895,1
TCGA-AC-A5EH-01A-11R-A28M-07,-6.439520105665401,1
TCGA-LL-A7SZ-01A-32R-A352-07,-10.799910463796328,1
TCGA-A7-A26J-01A-11R-A169-07,-6.148214943922908,1
TCGA-E9-A22H-01A-11R-A157-07,-6.570908343700691,1
TCGA-BH-A208-01A-11R-A157-07,-7.281989931136836,1
TCGA-BH-A6R9-01A-21R-A32P-07,-7.524471245714743,1
TCGA-OL-A5S0-01A-11R-A28M-07,-8.739209706714997,1
TCGA-A1-A0SD-01A-11R-A115-07,-4.452343403685382,1
TCGA-AO-A0JB-01A-11R-A32Y-07,-8.722076246899329,1
TCGA-E2-A1BD-01A-11R-A12P-07,-5.951484566949599,1
TCGA-AN-A0AS-01A-11R-A00Z-07,-5.703921426654864,1
TCGA-A7-A13G-01A-11R-A13Q-07,-10.090606309168512,1
TCGA-B6-A0RS-01A-11R-A084-07,-6.473157952305495,1
TCGA-A2-A4S0-01A-21R-A266-07,-7.2877000785583155,0
TCGA-BH-A1F5-01A-12R-A13Q-07,-8.946287807421141,1
TCGA-A2-A0CX-01A-21R-A00Z-07,-5.791324955948936,1
TCGA-A7-A13D-01A-13R-A12P-07,-8.34759564944547,0
TCGA-AN-A03Y-01A-21R-A00Z-07,-7.467715926668628,1
TCGA-E9-A1ND-01A-11R-A144-07,-7.427199642835528,0
TCGA-EW-A1P5-01A-11R-A144-07,-5.802012420746895,1
TCGA-EW-A423-01A-11R-A24H-07,-8.480569433852244,1
TCGA-A7-A5ZV-01A-11R-A28M-07,-9.722882423789184,1
TCGA-C8-A8HP-01A-11R-A36F-07,-7.725489308549801,1
TCGA-AQ-A54O-01A-11R-A266-07,-9.845497426100962,1
TCGA-E9-A5FK-01A-11R-A27Q-07,-8.757420347870303,1
TCGA-D8-A142-01A-11R-A115-07,-6.479455145352115,1
TCGA-BH-A0BC-01A-22R-A084-07,-4.941731690174484,1
TCGA-A2-A0EY-01A-11R-A034-07,-6.110927616366626,1
TCGA-D8-A1J8-01A-11R-A13Q-07,-9.382240945690867,1
TCGA-A8-A06Y-01A-21R-A00Z-07,-6.542665071635963,0
TCGA-EW-A1J1-01A-11R-A13Q-07,-7.031269257946509,1
TCGA-BH-A0C0-01A-21R-A056-07,-6.854614614532377,0
TCGA-AC-A2FK-01A-12R-A180-07,-6.746656993071586,0
TCGA-A2-A3XV-01A-21R-A239-07,-11.711330874030542,0
TCGA-BH-A0HB-01A-11R-A056-07,-7.035945423761302,1
TCGA-AN-A0XL-01A-11R-A10J-07,-5.118834645802313,1
