sample_id,score,y_member
TCGA-E2-A158-01A-11R-A12D-07,-10.209606575905896,1
TCGA-AO-A1KO-01A-31R-A13Q-07,-9.029018650311562,1
TCGA-AR-A0TX-01A-11R-A084-07,-8.339245260593092,0
TCGA-D8-A1XB-01A-11R-A14D-07,-5.68652726963683,1
TCGA-B6-A0IG-01A-11R-A034-07,-8.183837278940217,1
TCGA-AC-A5EH-01A-11R-A28M-07,-8.002909860351425,1
TCGA-LL-A7SZ-01A-32R-A352-07,-11.233662950028636,1
TCGA-A7-A26J-01A-11R-A169-07,-7.06160064106043,1
TCGA-E9-A22H-01A-11R-A157-07,-8.126080083403783,1
TCGA-BH-A208-01A-11R-A157-07,-8.548554443658608,1
TCGA-BH-A6R9-01A-21R-A32P-07,-8.711011504932621,1
TCGA-OL-A5S0-01A-11R-A28M-07,-9.599363650296912,1
TCGA-A1-A0SD-01A-11R-A115-07,-5.530471887733805,1
TCGA-AO-A0JB-01A-11R-A32Y-07,-9.360067012753548,1
TCGA-E2-A1BD-01A-11R-A12P-07,-6.804236738778052,1
TCGA-AN-A0AS-01A-11R-A00Z-07,-6.800260158583011,1
TCGA-A7-A13G-01A-11R-A13Q-07,-11.150588356282663,1
TCGA-B6-A0RS-01A-11R-A084-07,-7.892118014471085,1
TCGA-A2-A4S0-01A-21R-A266-07,-8.080461211260099,0
TCGA-BH-A1F5-01A-12R-A13Q-07,-9.856621318382167,1
TCGA-A2-A0CX-01A-21R-A00Z-07,-7.4217945414046005,1
TCGA-A7-A13D-01A-13R-A12P-07,-9.441989453374823,0
TCGA-AN-A03Y-01A-21R-A00Z-07,-8.572215083770889,1
TCGA-E9-A1ND-01A-11R-A144-07,-8.61712922178675,0
TCGA-EW-A1P5-01A-11R-A144-07,-6.919070347320269,1
TCGA-EW-A423-01A-11R-A24H-07,-9.447713090337222,1
TCGA-A7-A5ZV-01A-11R-A28M-07,-10.415851922826032,1
TCGA-C8-A8HP-01A-11R-A36F-07,-8.660850141667536,1
TCGA-AQ-A54O-01A-11R-A266-07,-10.314543918393497,1
TCGA-E9-A5FK-01A-11R-A27Q-07,-9.417526432292473,1
TCGA-D8-A142-01A-11R-A115-07,-7.723876877226326,1
TCGA-BH-A0BC-01A-22R-A084-07,-5.997863453402365,1
TCGA-A2-A0EY-01A-11R-A034-07,-7.434552022178986,1
TCGA-D8-A1J8-01A-11R-A13Q-07,-10.228363973577153,1
TCGA-A8-A06Y-01A-21R-A00Z-07,-7.416091154498151,0
TCGA-EW-A1J1-01A-11R-A13Q-07,-8.091090621902083,1
TCGA-BH-A0C0-01A-21R-A056-07,-8.307660177498459,0
TCGA-AC-A2FK-01A-12R-A180-07,-8.552311391681686,0
TCGA-A2-A3XV-01A-21R-A239-07,-11.932009803875019,0
TCGA-BH-A0HB-01A-11R-A056-07,-7.849061360565387,1
TCGA-AN-A0XL-01A-11R-A10J-07,-6.002222343699399,1
TCGA-E2-A10B-01A-11R-A10J-07,-5.87763684301329,1
TCGA-A2-A04X-01A-21R-A034-07,-8.376121417790122,1
TCGA-AR-A1AN-01A-11R-A12P-07,-6.136068715110246,1
TCGA-A2-A0EM-01A-11R-A034-07,-6.057083849558279,0
TCGA-B6-A0WS-01A-11R-A115-07,-5.548151571120163,1
TCGA-D8-A1XD-01A-11R-A14D-07,-7.925348109912946,1
TCGA-A8-A091-01A-11R-A00Z-07,-8.184300881272211,1
TCGA-E9-A2JS-01A-11R-A180-07,-8.516712951762795,0
TCGA-A2-A1G1-01A-21R-A13Q-07,-10.09501337824386,1
TCGA-E9-A22B-01A-11R-A157-07,-7.463457105205021,0
TCGA-D8-A27G-01A-11R-A16F-07,-5.273390446727304,1
TCGA-A7-A13E-01A-11R-A12P-07,-9.359714796559961,1
TCGA-BH-A0AY-01A-21R-A00Z-07,-6.295475864688261,0
TCGA-E2-A1L7-01A-11R-A144-07,-7.875842915624047,1
TCGA-AN-A046-01A-21R-A034-07,-6.380792920155119,0
TCGA-AN-A0AL-01A-11R-A00Z-07,-9.250363755312593,0
TCGA-D8-A27K-01A-11R-A16F-07,-6.671325572721185,1
TCGA-BH-A0DO-01B-11R-A12D-07,-6.323799245691023,0
TCGA-A7-A4SB-01A-21R-A266-07,-7.72195508682194,0
TCGA-EW-A6SB-01A-12R-A32P-07,-10.19991092955421,1
TCGA-D8-A1JM-01A-11R-A13Q-07,-10.332983888583193,1
TCGA-OL-A66J-01A-11R-A29R-07,-7.478159957815726,1
TCGA-D8-A13Y-01A-11R-A115-07,-10.283475921177004,1
TCGA-AR-A24N-01A-11R-A169-07,-7.43165684891219,1
TCGA-BH-A0B1-01A-12R-A056-07,-6.953438510414738,1
TCGA-B6-A0RN-01A-12R-A084-07,-6.1051775257144945,1
TCGA-A2-A0T1-01A-21R-A084-07,-7.861651853744209,1
TCGA-AN-A0AM-01A-11R-A034-07,-8.370043137089553,1
TCGA-E2-A1LA-01A-11R-A144-07,-7.4846554969788395,0
TCGA-JL-A3YW-01A-12R-A239-07,-9.0713647843784,0
TCGA-BH-A0H3-01A-11R-A12P-07,-6.333614894477823,1
TCGA-E2-A1IF-01A-11R-A144-07,-7.316420572253349,1
TCGA-C8-A26X-01A-31R-A16F-07,-8.509160157818386,1
TCGA-A8-A09B-01A-11R-A00Z-07,-5.336802647075065,0
TCGA-A7-A26G-01A-21R-A169-07,-9.24442762276603,1
TCGA-AC-A2FE-01A-11R-A19W-07,-5.50608928030468,1
TCGA-A8-A08G-01A-11R-A00Z-07,-7.322451425034668,0
TCGA-AN-A0FJ-01A-11R-A00Z-07,-9.919162815949491,1
TCGA-B6-A0RV-01A-11R-A084-07,-5.458241899128838,1
TCGA-B6-A0WV-01A-11R-A109-07,-7.6829690305867535,1
TCGA-A8-A07P-01A-11R-A00Z-07,-7.878480174907406,1
TCGA-A8-A08H-01A-21R-A00Z-07,-8.169742808612117,1
TCGA-AR-A0TW-01A-11R-A084-07,-9.008323699200904,1
TCGA-E2-A15F-01A-11R-A115-07,-6.7838334288886335,1
TCGA-B6-A0WX-01A-11R-A109-07,-7.984070433010066,1
TCGA-D8-A1Y1-01A-21R-A14M-07,-6.480090975458725,1
TCGA-E2-A14Z-01A-11R-A115-07,-6.260613170591012,0
TCGA-A2-A25A-01A-12R-A16F-07,-6.814277064141848,0
TCGA-A2-A0CT-01A-31R-A056-07,-8.246836078424526,1
TCGA-HN-A2OB-01A-21R-A27Q-07,-6.280484461592414,0
TCGA-B6-A0RT-01A-21R-A084-07,-8.526183582530093,1
TCGA-AR-A24T-01A-11R-A169-07,-6.89585808441414,1
TCGA-E9-A1R0-01A-22R-A16F-07,-5.783955291153677,1
TCGA-E9-A5FL-01A-11R-A27Q-07,-10.811407312910577,1
TCGA-E2-A3DX-01A-21R-A213-07,-6.820385575282969,1
TCGA-E2-A14T-01A-11R-A115-07,-7.763989823169716,1
TCGA-A2-A4RY-01A-31R-A266-07,-7.8208962744350785,1
TCGA-AR-A2LK-01A-11R-A180-07,-7.399243375760762,1
TCGA-BH-A42U-01A-12R-A24H-07,-9.470576303770375,1
TCGA-AO-A12C-01A-11R-A10J-07,-7.063875262598054,0
TCGA-A2-A3XY-01A-11R-A239-07,-8.556351165638581,1
TCGA-D8-A73X-01A-11R-A32P-07,-5.486911752257541,1
TCGA-AR-A2LO-01A-31R-A18M-07,-5.733681411972675,1
TCGA-AO-A0JJ-01A-11R-A056-07,-5.358764073477488,0
TCGA-LD-A74U-01A-13R-A33J-07,-6.8039619639506,1
TCGA-AN-A0XN-01A-21R-A109-07,-7.052786473297088,1
TCGA-E2-A107-01A-11R-A10J-07,-7.964770761501752,1
TCGA-A7-A6VV-01A-22R-A33J-07,-8.896214976224329,1
TCGA-AC-A5XS-01A-11R-A29R-07,-7.641474562950644,1
TCGA-BH-A0H6-01A-21R-A056-07,-6.488258113325847,1
TCGA-AC-A23C-01A-12R-A169-07,-7.137666349250768,1
TCGA-E9-A1NH-01A-11R-A14D-07,-5.903571886022963,1
TCGA-D8-A1XW-01A-11R-A14M-07,-9.134331553134542,1
TCGA-AO-A0JG-01A-31R-A084-07,-7.125302657573927,0
TCGA-BH-A18N-01A-11R-A12D-07,-7.722884919410603,1
TCGA-A1-A0SO-01A-22R-A084-07,-10.818922497529597,0
TCGA-BH-A0B5-01A-11R-A12P-07,-5.871452530865951,0
TCGA-A8-A09T-01A-11R-A00Z-07,-5.985543407564026,1
TCGA-BH-A0BR-01A-21R-A115-07,-7.495590321829537,1
TCGA-D8-A27W-01A-11R-A16F-07,-8.667697154480072,1
TCGA-BH-A0BW-01A-11R-A115-07,-9.59293217094744,1
TCGA-GM-A2DB-01A-31R-A18M-07,-10.14284822228067,0
TCGA-AC-A2QH-01A-11R-A18M-07,-11.560472612510155,1
TCGA-D8-A1JB-01A-11R-A13Q-07,-6.356166724819304,1
TCGA-BH-A1ES-01A-11R-A137-07,-7.753203387125964,1
TCGA-OL-A97C-01A-32R-A41B-07,-7.60756031429309,1
TCGA-A2-A0YF-01A-21R-A109-07,-7.817999963496698,1
TCGA-D8-A1XS-01A-11R-A14M-07,-7.622338415544214,1
TCGA-D8-A140-01A-11R-A115-07,-7.699856940411227,1
TCGA-A8-A09Q-01A-11R-A00Z-07,-7.840686167833599,1
TCGA-B6-A0I1-01A-11R-A21T-07,-10.374657437830226,1
TCGA-AO-A0JE-01A-11R-A056-07,-7.821473101498149,1
TCGA-A2-A1FW-01A-11R-A13Q-07,-10.023922625502962,1
TCGA-D8-A1XY-01A-11R-A14M-07,-6.8790701293893965,1
TCGA-A2-A04R-01A-41R-A109-07,-7.747521668696361,0
TCGA-A2-A1FX-01A-11R-A13Q-07,-7.2842135063569735,1
TCGA-A8-A07W-01A-11R-A00Z-07,-8.018321716993794,1
TCGA-D8-A1XK-01A-21R-A14M-07,-10.416132515904929,1
TCGA-D8-A3Z5-01A-41R-A24H-07,-8.342282543033857,1
TCGA-LL-A5YM-01A-11R-A28M-07,-11.816395880691232,1
TCGA-B6-A0IJ-01A-11R-A034-07,-10.067076749476733,0
TCGA-A8-A06N-01A-11R-A00Z-07,-9.28736939058005,1
TCGA-GM-A2DM-01A-11R-A180-07,-6.574800859991528,1
TCGA-E2-A15D-01A-11R-A115-07,-6.1190352090557765,1
TCGA-B6-A1KI-01A-11R-A14M-07,-6.222709388327573,1
TCGA-D8-A1JS-01A-11R-A13Q-07,-9.288590185368454,1
TCGA-PE-A5DD-01A-12R-A27Q-07,-8.236883192605633,1
TCGA-BH-A0BG-01A-11R-A115-07,-8.163400551859258,1
TCGA-LL-A6FQ-01A-11R-A31O-07,-10.390438883370035,0
TCGA-E2-A1IN-01A-11R-A13Q-07,-5.660554317565907,1
TCGA-A8-A06T-01A-11R-A00Z-07,-7.323701779876618,1
TCGA-B6-A402-01A-11R-A239-07,-9.570877263369324,1
TCGA-E2-A9RU-01A-11R-A41B-07,-9.98597174427336,1
TCGA-A2-A3XW-01A-11R-A239-07,-10.215166763937013,1
TCGA-B6-A0RU-01A-11R-A084-07,-8.530808832038472,0
TCGA-A8-A086-01A-11R-A00Z-07,-5.945224813195073,1
TCGA-B6-A40C-01A-11R-A239-07,-7.786115933733483,1
TCGA-D8-A1JF-01A-11R-A13Q-07,-9.992903507422454,1
TCGA-A2-A0T6-01A-11R-A084-07,-6.42179772049911,1
TCGA-BH-A1FG-01A-11R-A13Q-07,-8.10221910384786,0
TCGA-GM-A3NY-01A-11R-A21T-07,-9.577011830261913,1
TCGA-AN-A0AK-01A-21R-A00Z-07,-9.43019378200533,1
TCGA-BH-A1FC-01A-11R-A13Q-07,-10.378733928400987,1
TCGA-E9-A227-01A-11R-A157-07,-5.836583111926192,1
TCGA-BH-A18P-01A-11R-A12D-07,-7.165065995296897,1
TCGA-E2-A15R-01A-11R-A115-07,-9.096076481384097,1
TCGA-BH-A0WA-01A-11R-A109-07,-8.958277415101998,0
TCGA-BH-A42T-01A-11R-A24H-07,-8.901390157587713,1
TCGA-AC-A23H-01A-11R-A157-07,-8.64460154344159,1
TCGA-OL-A66I-01A-21R-A29R-07,-9.123028612156828,1
TCGA-S3-AA17-01A-11R-A41B-07,-7.691603232636406,1
TCGA-AR-A1AL-01A-21R-A12P-07,-7.083029720437385,0
TCGA-AC-A2B8-01A-11R-A17B-07,-5.944386920210621,1
TCGA-D8-A1XO-01A-11R-A14M-07,-6.576819185727791,1
TCGA-C8-A26Y-01A-11R-A16F-07,-8.922563309065625,1
TCGA-BH-A0DG-01A-21R-A12P-07,-5.971336914309318,1
TCGA-E9-A243-01A-21R-A169-07,-9.303059804331033,1
TCGA-A2-A04W-01A-31R-A115-07,-8.697117660837325,1
TCGA-A8-A09G-01A-21R-A00Z-07,-8.373543938540896,1
TCGA-BH-A0DI-01A-21R-A12P-07,-6.019177561078041,1
TCGA-E2-A152-01A-11R-A12D-07,-7.7571929601841205,1
TCGA-AQ-A7U7-01A-22R-A352-07,-7.478579958267038,1
TCGA-BH-A0BZ-01A-31R-A12P-07,-6.780621727454145,1
TCGA-EW-A1OV-01A-11R-A144-07,-8.275289062621738,1
TCGA-A8-A0A7-01A-11R-A00Z-07,-7.836595587779004,1
TCGA-BH-A1EN-01A-11R-A13Q-07,-9.187357959579247,1
TCGA-E2-A1IE-01A-11R-A13Q-07,-7.165757178492023,1
TCGA-BH-A0HW-01A-11R-A034-07,-8.62995283889657,1
TCGA-BH-A0BJ-01A-11R-A056-07,-5.625318354137944,1
TCGA-AO-A03N-01B-11R-A10J-07,-9.257262900060248,1
TCGA-EW-A1P3-01A-11R-A144-07,-6.773189693206124,1
TCGA-B6-A0I2-01A-11R-A034-07,-10.186396660951925,0
TCGA-EW-A1PD-01A-11R-A144-07,-6.782593069260177,1
TCGA-B6-A0IH-01A-11R-A115-07,-6.947365447257529,0
TCGA-E2-A15M-01A-11R-A12D-07,-7.631809097754206,1
TCGA-BH-A0H9-01A-11R-A056-07,-6.759429206662922,0
TCGA-BH-A0HL-01A-11R-A10U-07,-8.507990905434937,0
TCGA-A8-A07G-01A-11R-A034-07,-6.647057755060866,1
TCGA-E2-A1IL-01A-11R-A14D-07,-6.253045306011765,1
TCGA-AR-A0U4-01A-11R-A109-07,-9.300022388978329,1
TCGA-D8-A147-01A-11R-A115-07,-9.219046332434273,1
TCGA-BH-A0HY-01A-11R-A056-07,-8.056312998847176,1
TCGA-D8-A1XT-01A-11R-A14M-07,-8.759000393133736,0
TCGA-E2-A14W-01A-11R-A12D-07,-8.557580217866558,1
TCGA-E9-A1RB-01A-11R-A157-07,-8.680921955986811,1
TCGA-LL-A5YL-01A-12R-A29R-07,-9.127153160371615,0
TCGA-WT-AB41-01A-11R-A41B-07,-11.01372664121091,1
TCGA-A8-A09Z-01A-11R-A00Z-07,-8.832801030627214,0
TCGA-AN-A0FX-01A-11R-A034-07,-8.314978307525127,1
TCGA-B6-A409-01A-11R-A24H-07,-10.260841754676179,1
TCGA-EW-A1PG-01A-11R-A144-07,-8.406566573960072,1
TCGA-OL-A6VR-01A-32R-A33J-07,-7.742020483848116,1
TCGA-BH-A1FN-01A-11R-A13Q-07,-8.55106994259089,1
TCGA-AR-A2LR-01A-12R-A18M-07,-9.38022789760026,1
TCGA-A7-A5ZX-01A-12R-A29R-07,-6.4159221442921,1
TCGA-LL-A73Y-01A-11R-A33J-07,-7.600351172990953,1
TCGA-A2-A25D-01A-12R-A16F-07,-7.178614862144835,0
TCGA-BH-A0C7-01B-11R-A115-07,-7.43934122365988,1
TCGA-E2-A570-01A-11R-A29R-07,-6.829239906999804,1
TCGA-BH-A1FL-01A-11R-A13Q-07,-6.743761317065384,1
TCGA-A1-A0SG-01A-11R-A144-07,-6.61082967311646,1
TCGA-A8-A07U-01A-11R-A034-07,-9.280244510751674,0
TCGA-E2-A15L-01A-11R-A12D-07,-5.876147655176103,1
TCGA-E9-A1R4-01A-21R-A14D-07,-6.999498226522026,0
TCGA-AR-A0TS-01A-11R-A115-07,-8.634580792024682,1
TCGA-E2-A10F-01A-11R-A10J-07,-5.26720747887357,1
TCGA-AO-A128-01A-11R-A10J-07,-9.05247883517696,1
TCGA-AR-A0U3-01A-11R-A109-07,-8.276771353695663,1
TCGA-BH-A0DL-01A-11R-A115-07,-9.137493860165936,1
TCGA-A7-A0D9-01A-31R-A056-07,-7.267969475755448,1
TCGA-AN-A0FD-01A-11R-A034-07,-6.702583082705533,1
TCGA-A2-A0YK-01A-22R-A109-07,-7.521041086919715,1
TCGA-BH-A1FH-01A-12R-A13Q-07,-7.831628183520522,1
TCGA-C8-A12T-01A-11R-A115-07,-8.025204861408731,1
TCGA-B6-A2IU-01A-32R-A18M-07,-7.363379448004688,1
TCGA-4H-AAAK-01A-12R-A41B-07,-5.831448950588094,1
TCGA-E2-A1IU-01A-11R-A14D-07,-6.934242688374223,0
TCGA-3C-AALK-01A-11R-A41B-07,-6.1707087408913806,1
TCGA-D8-A27M-01A-11R-A16F-07,-9.005076154719907,1
TCGA-E2-A56Z-01A-12R-A29R-07,-8.379410791631495,1
TCGA-AO-A1KQ-01A-11R-A13Q-07,-8.195429786481997,1
TCGA-AR-A2LE-01A-11R-A180-07,-7.34905814619184,1
TCGA-E2-A1BC-01A-11R-A12P-07,-7.300000152138346,1
TCGA-BH-A0E6-01A-11R-A034-07,-10.285031720614034,1
TCGA-AO-A0J2-01A-11R-A034-07,-9.73101490933066,1
TCGA-A7-A6VX-01A-12R-A33J-07,-7.446291823752586,0
TCGA-E2-A1LI-01A-12R-A157-07,-9.24671095384223,0
TCGA-AR-A1AT-01A-11R-A12P-07,-7.319024928770286,1
TCGA-A7-A426-01A-22R-A24H-07,-7.628981642732604,1
TCGA-A2-A25C-01A-11R-A169-07,-7.8802670430773825,1
TCGA-B6-A0RL-01A-11R-A084-07,-8.734395285348961,1
TCGA-OK-A5Q2-01A-11R-A27Q-07,-5.5986446247912145,1
TCGA-E9-A244-01A-11R-A169-07,-9.768562842619115,1
TCGA-E9-A1R6-01A-11R-A14D-07,-7.511768113841001,1
TCGA-BH-A8G0-01A-11R-A352-07,-6.930388692656269,1
TCGA-EW-A1IZ-01A-11R-A13Q-07,-7.543336342786168,0
TCGA-AO-A0J5-01A-11R-A034-07,-7.041700171493006,1
TCGA-E2-A1AZ-01A-11R-A12P-07,-8.563583620761149,1
TCGA-B6-A0RE-01A-11R-A056-07,-9.352059704231078,1
TCGA-A7-A4SE-01A-11R-A266-07,-9.241108439207188,0
TCGA-LL-A740-01A-21R-A32P-07,-7.820327666819797,1
TCGA-A8-A07R-01A-21R-A034-07,-10.753756321617228,0
TCGA-S3-AA10-01A-21R-A41B-07,-9.449965549571308,1
TCGA-A7-A4SF-01A-11R-A266-07,-9.626576196008557,0
TCGA-A7-A0CG-01A-12R-A056-07,-6.451538801985903,0
TCGA-E2-A1LS-01A-12R-A157-07,-10.615714228457167,1
TCGA-AR-A24P-01A-11R-A169-07,-6.476690319136044,0
TCGA-E9-A54Y-01A-11R-A466-07,-12.006136242646425,1
TCGA-AO-A0JA-01A-11R-A056-07,-6.28039485043537,1
TCGA-A8-A08A-01A-11R-A32Y-07,-6.214704052302824,1
TCGA-AR-A24V-01A-21R-A169-07,-6.890548744494994,1
TCGA-A2-A0CO-01A-13R-A22K-07,-7.410230287951574,1
TCGA-E2-A15I-01A-21R-A137-07,-8.264561544132176,0
TCGA-A2-A0SU-01A-11R-A084-07,-6.631474281406412,0
TCGA-AC-A3OD-01A-11R-A21T-07,-10.412638245392287,1
TCGA-AC-A3YJ-01A-11R-A22U-07,-8.67189882743966,0
TCGA-AR-A0TZ-01A-12R-A084-07,-8.573199777839212,1
TCGA-A2-A0D3-01A-11R-A115-07,-7.370510608274365,1
TCGA-BH-A18L-01A-32R-A12D-07,-9.282284624297091,1
TCGA-EW-A2FW-01A-11R-A17B-07,-8.411968783133096,1
TCGA-A2-A0YL-01A-21R-A109-07,-5.936524555401586,1
TCGA-E9-A54X-01A-11R-A266-07,-8.1046388143889,1
TCGA-BH-A18F-01A-11R-A12D-07,-5.86372267849678,1
TCGA-W8-A86G-01A-21R-A36F-07,-8.130130114490312,1
TCGA-A8-A08T-01A-21R-A00Z-07,-6.1185459686480845,1
TCGA-BH-A1EX-01A-11R-A13Q-07,-7.049847605091407,0
TCGA-A8-A08O-01A-21R-A056-07,-6.573332716145799,0
TCGA-AC-A6IX-01A-12R-A32P-07,-5.807146642986351,1
TCGA-C8-A27B-01A-11R-A169-07,-10.221565589312803,1
TCGA-PL-A8LZ-01A-31R-A36F-07,-8.434592189674477,1
TCGA-AR-A1AQ-01A-11R-A12P-07,-8.814272304166659,1
TCGA-BH-A1FU-01A-11R-A14D-07,-7.824967412708089,1
