sample_id,score,y_member
TCGA-E2-A158-01A-11R-A12D-07,-9.932995232500527,1
TCGA-AO-A1KO-01A-31R-A13Q-07,-8.845437713720342,1
TCGA-AR-A0TX-01A-11R-A084-07,-7.856220074565326,0
TCGA-D8-A1XB-01A-11R-A14D-07,-5.291477750971883,1
TCGA-B6-A0IG-01A-11R-A034-07,-8.06094570289023,1
TCGA-AC-A5EH-01A-11R-A28M-07,-7.79112027081168,1
TCGA-LL-A7SZ-01A-32R-A352-07,-11.264775133170255,1
TCGA-A7-A26J-01A-11R-A169-07,-6.786360081005705,1
TCGA-E9-A22H-01A-11R-A157-07,-7.651733187961028,1
TCGA-BH-A208-01A-11R-A157-07,-8.370519208243419,1
TCGA-BH-A6R9-01A-21R-A32P-07,-8.653311859272504,1
TCGA-OL-A5S0-01A-11R-A28M-07,-9.351110254125848,1
TCGA-A1-A0SD-01A-11R-A115-07,-5.363357198314031,1
TCGA-AO-A0JB-01A-11R-A32Y-07,-9.020841667538205,1
TCGA-E2-A1BD-01A-11R-A12P-07,-6.726818994870248,1
TCGA-AN-A0AS-01A-11R-A00Z-07,-6.307603151178855,1
TCGA-A7-A13G-01A-11R-A13Q-07,-11.004842084358131,1
TCGA-B6-A0RS-01A-11R-A084-07,-7.759265746260855,1
TCGA-A2-A4S0-01A-21R-A266-07,-7.901980671691888,0
TCGA-BH-A1F5-01A-12R-A13Q-07,-9.743924236123494,1
TCGA-A2-A0CX-01A-21R-A00Z-07,-7.397165997412303,1
TCGA-A7-A13D-01A-13R-A12P-07,-9.222895328483624,0
TCGA-AN-A03Y-01A-21R-A00Z-07,-8.396900265490062,1
TCGA-E9-A1ND-01A-11R-A144-07,-8.327049024639809,0
TCGA-EW-A1P5-01A-11R-A144-07,-6.535691077181665,1
TCGA-EW-A423-01A-11R-A24H-07,-9.21022338285085,1
TCGA-A7-A5ZV-01A-11R-A28M-07,-10.22031392729651,1
TCGA-C8-A8HP-01A-11R-A36F-07,-8.800976111578207,1
TCGA-AQ-A54O-01A-11R-A266-07,-10.206778364347368,1
TCGA-E9-A5FK-01A-11R-A27Q-07,-9.225728223945413,1
TCGA-D8-A142-01A-11R-A115-07,-7.751948767390718,1
TCGA-BH-A0BC-01A-22R-A084-07,-5.7035883705846455,1
TCGA-A2-A0EY-01A-11R-A034-07,-7.153520843594465,1
TCGA-D8-A1J8-01A-11R-A13Q-07,-10.055451089977925,1
TCGA-A8-A06Y-01A-21R-A00Z-07,-7.314325610152488,0
TCGA-EW-A1J1-01A-11R-A13Q-07,-7.719360316197783,1
TCGA-BH-A0C0-01A-21R-A056-07,-7.982901810024483,0
TCGA-AC-A2FK-01A-12R-A180-07,-8.44480857124523,0
TCGA-A2-A3XV-01A-21R-A239-07,-12.020440173482346,0
TCGA-BH-A0HB-01A-11R-A056-07,-7.607839944329272,1
TCGA-AN-A0XL-01A-11R-A10J-07,-5.961846366101748,1
TCGA-E2-A10B-01A-11R-A10J-07,-5.690094103777001,1
TCGA-A2-A04X-01A-21R-A034-07,-8.380938615266377,1
TCGA-AR-A1AN-01A-11R-A12P-07,-5.938681827232045,1
TCGA-A2-A0EM-01A-11R-A034-07,-5.9208914070920935,0
TCGA-B6-A0WS-01A-11R-A115-07,-5.29735659643861,1
TCGA-D8-A1XD-01A-11R-A14D-07,-7.926088647191175,1
TCGA-A8-A091-01A-11R-A00Z-07,-7.868545129858869,1
TCGA-E9-A2JS-01A-11R-A180-07,-8.0406937970367,0
TCGA-A2-A1G1-01A-21R-A13Q-07,-9.998888202391601,1
TCGA-E9-A22B-01A-11R-A157-07,-7.382324857190906,0
TCGA-D8-A27G-01A-11R-A16F-07,-5.051828240963989,1
TCGA-A7-A13E-01A-11R-A12P-07,-9.233953232746655,1
TCGA-BH-A0AY-01A-21R-A00Z-07,-6.0838306445492005,0
TCGA-E2-A1L7-01A-11R-A144-07,-7.617163649781558,1
TCGA-AN-A046-01A-21R-A034-07,-5.938561848640007,0
TCGA-AN-A0AL-01A-11R-A00Z-07,-9.224892961477014,0
TCGA-D8-A27K-01A-11R-A16F-07,-6.452514963955931,1
TCGA-BH-A0DO-01B-11R-A12D-07,-6.185109997672332,0
TCGA-A7-A4SB-01A-21R-A266-07,-7.721428567109739,0
TCGA-EW-A6SB-01A-12R-A32P-07,-9.70295646520528,1
TCGA-D8-A1JM-01A-11R-A13Q-07,-10.127407406085537,1
TCGA-OL-A66J-01A-11R-A29R-07,-7.276437060836507,1
TCGA-D8-A13Y-01A-11R-A115-07,-10.065581531552766,1
TCGA-AR-A24N-01A-11R-A169-07,-7.184060387562455,1
