sample_id,score,y_member
TCGA-E2-A158-01A-11R-A12D-07,-9.897103253703028,1
TCGA-AO-A1KO-01A-31R-A13Q-07,-8.51172298805186,1
TCGA-AR-A0TX-01A-11R-A084-07,-6.762296946226173,0
TCGA-D8-A1XB-01A-11R-A14D-07,-4.784431704910947,1
TCGA-B6-A0IG-01A-11R-A034-07,-7.9026123333368465,1
TCGA-AC-A5EH-01A-11R-A28M-07,-6.878570438274661,1
TCGA-LL-A7SZ-01A-32R-A352-07,-11.41141613195736,1
TCGA-A7-A26J-01A-11R-A169-07,-6.597573596049594,1
TCGA-E9-A22H-01A-11R-A157-07,-7.018569283550036,1
TCGA-BH-A208-01A-11R-A157-07,-7.747931097036039,1
TCGA-BH-A6R9-01A-21R-A32P-07,-7.935290096483569,1
TCGA-OL-A5S0-01A-11R-A28M-07,-9.18778757624563,1
TCGA-A1-A0SD-01A-11R-A115-07,-4.892707442803555,1
TCGA-AO-A0JB-01A-11R-A32Y-07,-9.025608866545344,1
TCGA-E2-A1BD-01A-11R-A12P-07,-6.379541985159207,1
TCGA-AN-A0AS-01A-11R-A00Z-07,-6.148535959756987,1
TCGA-A7-A13G-01A-11R-A13Q-07,-11.136126274870406,1
TCGA-B6-A0RS-01A-11R-A084-07,-6.854848629460689,1
TCGA-A2-A4S0-01A-21R-A266-07,-7.610977055381463,0
TCGA-BH-A1F5-01A-12R-A13Q-07,-9.685738959781443,1
TCGA-A2-A0CX-01A-21R-A00Z-07,-6.306993967478007,1
TCGA-A7-A13D-01A-13R-A12P-07,-8.868086157883832,0
TCGA-AN-A03Y-01A-21R-A00Z-07,-8.025278065228546,1
TCGA-E9-A1ND-01A-11R-A144-07,-7.808418703351499,0
TCGA-EW-A1P5-01A-11R-A144-07,-6.311648783636551,1
TCGA-EW-A423-01A-11R-A24H-07,-9.177199989299568,1
TCGA-A7-A5ZV-01A-11R-A28M-07,-10.13204299189547,1
TCGA-C8-A8HP-01A-11R-A36F-07,-8.35542574701583,1
TCGA-AQ-A54O-01A-11R-A266-07,-10.269283282378694,1
TCGA-E9-A5FK-01A-11R-A27Q-07,-9.170509779770644,1
TCGA-D8-A142-01A-11R-A115-07,-7.0002117233836545,1
TCGA-BH-A0BC-01A-22R-A084-07,-5.401645840167144,1
TCGA-A2-A0EY-01A-11R-A034-07,-6.586843791201383,1
TCGA-D8-A1J8-01A-11R-A13Q-07,-9.968224749319893,1
