sample_id,score,y_member
TCGA-E2-A158-01A-11R-A12D-07,-8.982964757429363,1
TCGA-AO-A1KO-01A-31R-A13Q-07,-7.498104843906154,1
TCGA-AR-A0TX-01A-11R-A084-07,-6.164667631862295,0
TCGA-D8-A1XB-01A-11R-A14D-07,-4.2111102526179565,1
TCGA-B6-A0IG-01A-11R-A034-07,-7.056954715167572,1
TCGA-AC-A5EH-01A-11R-A28M-07,-6.435277398398727,1
TCGA-LL-A7SZ-01A-32R-A352-07,-10.59409409217979,1
TCGA-A7-A26J-01A-11R-A169-07,-6.17447132179586,1
TCGA-E9-A22H-01A-11R-A157-07,-6.4337096759723975,1
TCGA-BH-A208-01A-11R-A157-07,-7.029101390889092,1
TCGA-BH-A6R9-01A-21R-A32P-07,-7.352794247496583,1
TCGA-OL-A5S0-01A-11R-A28M-07,-8.499337808257595,1
TCGA-A1-A0SD-01A-11R-A115-07,-4.5402063137695965,1
TCGA-AO-A0JB-01A-11R-A32Y-07,-8.086849688957685,1
TCGA-E2-A1BD-01A-11R-A12P-07,-5.974036906613909,1
TCGA-AN-A0AS-01A-11R-A00Z-07,-5.708702125901097,1
TCGA-A7-A13G-01A-11R-A13Q-07,-9.925391891164091,1
TCGA-B6-A0RS-01A-11R-A084-07,-6.241368303021131,1
TCGA-A2-A4S0-01A-21R-A266-07,-7.26165417180948,0
TCGA-BH-A1F5-01A-12R-A13Q-07,-8.83142304701657,1
TCGA-A2-A0CX-01A-21R-A00Z-07,-5.661478709233757,1
TCGA-A7-A13D-01A-13R-A12P-07,-8.154556895837356,0
TCGA-AN-A03Y-01A-21R-A00Z-07,-7.32972637799292,1
TCGA-E9-A1ND-01A-11R-A144-07,-7.283624058941424,0
TCGA-EW-A1P5-01A-11R-A144-07,-5.843484338511464,1
TCGA-EW-A423-01A-11R-A24H-07,-8.37818689558122,1
TCGA-A7-A5ZV-01A-11R-A28M-07,-9.41882857112017,1
TCGA-C8-A8HP-01A-11R-A36F-07,-7.468318508029696,1
TCGA-AQ-A54O-01A-11R-A266-07,-9.523979426185072,1
TCGA-E9-A5FK-01A-11R-A27Q-07,-8.663658023365963,1
