sample_id,score,y_member
TCGA-E2-A158-01A-11R-A12D-07,-8.918502860405644,1
TCGA-AO-A1KO-01A-31R-A13Q-07,-7.836653558864629,0
TCGA-AR-A0TX-01A-11R-A084-07,-5.902587011562368,1
TCGA-D8-A1XB-01A-11R-A14D-07,-4.569892994299742,1
TCGA-B6-A0IG-01A-11R-A034-07,-6.902230422755612,0
TCGA-AC-A5EH-01A-11R-A28M-07,-6.216743200548525,0
TCGA-LL-A7SZ-01A-32R-A352-07,-10.403129108037197,1
TCGA-A7-A26J-01A-11R-A169-07,-5.813106880141421,1
TCGA-E9-A22H-01A-11R-A157-07,-6.732706576225245,0
TCGA-BH-A208-01A-11R-A157-07,-6.912441599262317,1
TCGA-BH-A6R9-01A-21R-A32P-07,-7.241437871719384,0
TCGA-OL-A5S0-01A-11R-A28M-07,-8.839168288464602,1
TCGA-A1-A0SD-01A-11R-A115-07,-4.709751017966503,1
TCGA-AO-A0JB-01A-11R-A32Y-07,-8.214757749656995,1
TCGA-E2-A1BD-01A-11R-A12P-07,-6.235829637390123,0
TCGA-AN-A0AS-01A-11R-A00Z-07,-5.780699026188293,1
TCGA-A7-A13G-01A-11R-A13Q-07,-10.150091784340042,1
TCGA-B6-A0RS-01A-11R-A084-07,-6.133827405540686,1
TCGA-A2-A4S0-01A-21R-A266-07,-6.84366919004685,1
TCGA-BH-A1F5-01A-12R-A13Q-07,-9.000805338601626,0
TCGA-A2-A0CX-01A-21R-A00Z-07,-6.189034201719143,1
TCGA-A7-A13D-01A-13R-A12P-07,-8.13993351766751,1
TCGA-AN-A03Y-01A-21R-A00Z-07,-7.191821910719571,1
TCGA-E9-A1ND-01A-11R-A144-07,-7.07204419106864,1
TCGA-EW-A1P5-01A-11R-A144-07,-5.69155163103528,0
TCGA-EW-A423-01A-11R-A24H-07,-8.634210107487828,1
TCGA-A7-A5ZV-01A-11R-A28M-07,-9.47691599758791,1
TCGA-C8-A8HP-01A-11R-A36F-07,-7.593383136874869,1
TCGA-AQ-A54O-01A-11R-A266-07,-9.340624877730146,0
TCGA-E9-A5FK-01A-11R-A27Q-07,-8.445279236938243,1
TCGA-D8-A142-01A-11R-A115-07,-6.573476505664249,0
TCGA-BH-A0BC-01A-22R-A084-07,-5.053615630141145,0
TCGA-A2-A0EY-01A-11R-A034-07,-6.32264881775337,1
TCGA-D8-A1J8-01A-11R-A13Q-07,-8.962142288033984,1
TCGA-A8-A06Y-01A-21R-A00Z-07,-6.524248087910757,1
TCGA-EW-A1J1-01A-11R-A13Q-07,-6.991214495258413,1
TCGA-BH-A0C0-01A-21R-A056-07,-6.615576337320049,1
TCGA-AC-A2FK-01A-12R-A180-07,-6.46845361760525,1
TCGA-A2-A3XV-01A-21R-A239-07,-11.343097957752487,1
TCGA-BH-A0HB-01A-11R-A056-07,-6.570647920139626,1
TCGA-AN-A0XL-01A-11R-A10J-07,-5.175873661348837,1
TCGA-E2-A10B-01A-11R-A10J-07,-4.982871626837205,1
TCGA-A2-A04X-01A-21R-A034-07,-6.622030187521795,1
TCGA-AR-A1AN-01A-11R-A12P-07,-5.327551705422223,1
TCGA-A2-A0EM-01A-11R-A034-07,-5.33407990881677,1
TCGA-B6-A0WS-01A-11R-A115-07,-4.564994336891806,1
TCGA-D8-A1XD-01A-11R-A14D-07,-6.86785464115851,1
TCGA-A8-A091-01A-11R-A00Z-07,-7.416115899371429,0
TCGA-E9-A2JS-01A-11R-A180-07,-7.297366211936682,1
TCGA-A2-A1G1-01A-21R-A13Q-07,-8.888332694883703,1
TCGA-E9-A22B-01A-11R-A157-07,-6.4786705749468405,1
TCGA-D8-A27G-01A-11R-A16F-07,-4.772287757654244,1
TCGA-A7-A13E-01A-11R-A12P-07,-8.381903747560134,0
TCGA-BH-A0AY-01A-21R-A00Z-07,-5.1774048524156715,1
TCGA-E2-A1L7-01A-11R-A144-07,-6.450804400407228,1
TCGA-AN-A046-01A-21R-A034-07,-5.108213366612286,1
TCGA-AN-A0AL-01A-11R-A00Z-07,-7.836680111377151,1
TCGA-D8-A27K-01A-11R-A16F-07,-6.129124347379592,1
TCGA-BH-A0DO-01B-11R-A12D-07,-5.252838660750422,1
TCGA-A7-A4SB-01A-21R-A266-07,-7.024548206868253,1
TCGA-EW-A6SB-01A-12R-A32P-07,-8.809891493297615,1
TCGA-D8-A1JM-01A-11R-A13Q-07,-9.107794725780419,1
TCGA-OL-A66J-01A-11R-A29R-07,-6.233985697959717,0
TCGA-D8-A13Y-01A-11R-A115-07,-9.222928523095405,1
TCGA-AR-A24N-01A-11R-A169-07,-6.288986159964623,1
TCGA-BH-A0B1-01A-12R-A056-07,-5.855514056867176,0
TCGA-B6-A0RN-01A-12R-A084-07,-5.005985019002982,1
TCGA-A2-A0T1-01A-21R-A084-07,-6.0522956403442185,1
TCGA-AN-A0AM-01A-11R-A034-07,-6.602798456225039,0
TCGA-E2-A1LA-01A-11R-A144-07,-6.240973336790243,1
TCGA-JL-A3YW-01A-12R-A239-07,-6.820464942707554,1
TCGA-BH-A0H3-01A-11R-A12P-07,-5.393787476535155,0
TCGA-E2-A1IF-01A-11R-A144-07,-6.016773410804551,0
TCGA-C8-A26X-01A-31R-A16F-07,-6.701854424444004,0
TCGA-A8-A09B-01A-11R-A00Z-07,-4.966127394935767,1
TCGA-A7-A26G-01A-21R-A169-07,-7.675846609648865,1
TCGA-AC-A2FE-01A-11R-A19W-07,-4.620676447654565,0
TCGA-A8-A08G-01A-11R-A00Z-07,-6.067949824071644,1
TCGA-AN-A0FJ-01A-11R-A00Z-07,-8.571585500484847,1
TCGA-B6-A0RV-01A-11R-A084-07,-4.213913365471867,1
TCGA-B6-A0WV-01A-11R-A109-07,-6.283790696759286,1
TCGA-A8-A07P-01A-11R-A00Z-07,-6.99438314039811,0
TCGA-A8-A08H-01A-21R-A00Z-07,-6.393320856777115,0
TCGA-AR-A0TW-01A-11R-A084-07,-7.9657942082196636,1
TCGA-E2-A15F-01A-11R-A115-07,-6.27831543188622,1
TCGA-B6-A0WX-01A-11R-A109-07,-6.623010295353883,1
TCGA-D8-A1Y1-01A-21R-A14M-07,-5.066207640483046,1
TCGA-E2-A14Z-01A-11R-A115-07,-5.3644742359813895,1
TCGA-A2-A25A-01A-12R-A16F-07,-4.765673597864475,1
TCGA-A2-A0CT-01A-31R-A056-07,-7.389368766929135,1
TCGA-HN-A2OB-01A-21R-A27Q-07,-4.886058982835927,1
TCGA-B6-A0RT-01A-21R-A084-07,-6.873299161258908,1
TCGA-AR-A24T-01A-11R-A169-07,-6.118453941774956,0
TCGA-E9-A1R0-01A-22R-A16F-07,-4.8997975208352305,1
TCGA-E9-A5FL-01A-11R-A27Q-07,-9.845692186498503,1
TCGA-E2-A3DX-01A-21R-A213-07,-5.834619727564721,1
TCGA-E2-A14T-01A-11R-A115-07,-6.940856620409769,1
TCGA-A2-A4RY-01A-31R-A266-07,-6.622803895514764,1
TCGA-AR-A2LK-01A-11R-A180-07,-6.049485324223785,1
TCGA-BH-A42U-01A-12R-A24H-07,-8.174380317210375,1
TCGA-AO-A12C-01A-11R-A10J-07,-5.91107059569677,1
TCGA-A2-A3XY-01A-11R-A239-07,-7.931570230988832,1
TCGA-D8-A73X-01A-11R-A32P-07,-5.042874261771896,0
TCGA-AR-A2LO-01A-31R-A18M-07,-4.763441048967869,1
TCGA-AO-A0JJ-01A-11R-A056-07,-4.341640774043963,1
TCGA-LD-A74U-01A-13R-A33J-07,-5.044318254643323,1
TCGA-AN-A0XN-01A-21R-A109-07,-5.887267600804335,0
TCGA-E2-A107-01A-11R-A10J-07,-7.301797845500231,1
TCGA-A7-A6VV-01A-22R-A33J-07,-7.61480005995083,1
TCGA-AC-A5XS-01A-11R-A29R-07,-6.5690518116037735,0
TCGA-BH-A0H6-01A-21R-A056-07,-5.219380314608805,0
TCGA-AC-A23C-01A-12R-A169-07,-6.498279153378652,1
TCGA-E9-A1NH-01A-11R-A14D-07,-4.903636350668646,0
TCGA-D8-A1XW-01A-11R-A14M-07,-7.460569790399845,1
TCGA-AO-A0JG-01A-31R-A084-07,-5.769327589061431,1
TCGA-BH-A18N-01A-11R-A12D-07,-6.552065728136384,1
TCGA-A1-A0SO-01A-22R-A084-07,-9.717004294963221,1
TCGA-BH-A0B5-01A-11R-A12P-07,-4.760759596186671,1
TCGA-A8-A09T-01A-11R-A00Z-07,-5.179634271676288,1
TCGA-BH-A0BR-01A-21R-A115-07,-6.219072462833621,1
TCGA-D8-A27W-01A-11R-A16F-07,-7.195367407108673,1
TCGA-BH-A0BW-01A-11R-A115-07,-8.281531777221234,1
TCGA-GM-A2DB-01A-31R-A18M-07,-8.575538972795826,1
TCGA-AC-A2QH-01A-11R-A18M-07,-10.436767997553622,1
TCGA-D8-A1JB-01A-11R-A13Q-07,-5.807718999519257,1
TCGA-BH-A1ES-01A-11R-A137-07,-6.326450383000778,1
TCGA-OL-A97C-01A-32R-A41B-07,-6.018113537663366,1
TCGA-A2-A0YF-01A-21R-A109-07,-7.116237320136108,0
TCGA-D8-A1XS-01A-11R-A14M-07,-5.819749854084345,1
TCGA-D8-A140-01A-11R-A115-07,-6.448949753925434,1
TCGA-A8-A09Q-01A-11R-A00Z-07,-6.405433741217384,1
TCGA-B6-A0I1-01A-11R-A21T-07,-9.366057447657417,1
TCGA-AO-A0JE-01A-11R-A056-07,-6.073045888134799,1
TCGA-A2-A1FW-01A-11R-A13Q-07,-8.601802819956555,1
TCGA-D8-A1XY-01A-11R-A14M-07,-6.534814990021808,1
TCGA-A2-A04R-01A-41R-A109-07,-6.416898493081643,1
TCGA-A2-A1FX-01A-11R-A13Q-07,-5.778438110937421,1
TCGA-A8-A07W-01A-11R-A00Z-07,-6.16882128144893,0
TCGA-D8-A1XK-01A-21R-A14M-07,-8.82153591826037,1
TCGA-D8-A3Z5-01A-41R-A24H-07,-7.5995672316814495,0
TCGA-LL-A5YM-01A-11R-A28M-07,-11.372032537825634,1
TCGA-B6-A0IJ-01A-11R-A034-07,-8.434532794093293,1
TCGA-A8-A06N-01A-11R-A00Z-07,-8.461887490890204,1
TCGA-GM-A2DM-01A-11R-A180-07,-5.515222979138372,1
TCGA-E2-A15D-01A-11R-A115-07,-4.99676639515259,1
TCGA-B6-A1KI-01A-11R-A14M-07,-5.217509347830536,1
TCGA-D8-A1JS-01A-11R-A13Q-07,-8.781331831934205,1
TCGA-PE-A5DD-01A-12R-A27Q-07,-7.110060426734804,1
TCGA-BH-A0BG-01A-11R-A115-07,-6.802181323170545,1
TCGA-LL-A6FQ-01A-11R-A31O-07,-9.849828015712978,1
TCGA-E2-A1IN-01A-11R-A13Q-07,-4.2904891038793185,0
TCGA-A8-A06T-01A-11R-A00Z-07,-7.021370798617427,1
TCGA-B6-A402-01A-11R-A239-07,-8.10312701795671,1
TCGA-E2-A9RU-01A-11R-A41B-07,-9.548451624334504,0
TCGA-A2-A3XW-01A-11R-A239-07,-9.069574149110109,1
TCGA-B6-A0RU-01A-11R-A084-07,-7.429362097163806,1
TCGA-A8-A086-01A-11R-A00Z-07,-5.045491173825447,1
TCGA-B6-A40C-01A-11R-A239-07,-6.001916425736241,1
TCGA-D8-A1JF-01A-11R-A13Q-07,-9.138625891307257,0
TCGA-A2-A0T6-01A-11R-A084-07,-5.502990068470948,1
TCGA-BH-A1FG-01A-11R-A13Q-07,-7.18528615274766,1
TCGA-GM-A3NY-01A-11R-A21T-07,-8.146991751808494,1
TCGA-AN-A0AK-01A-21R-A00Z-07,-8.217232970510858,1
TCGA-BH-A1FC-01A-11R-A13Q-07,-9.208263467906132,1
TCGA-E9-A227-01A-11R-A157-07,-4.799165893278248,1
TCGA-BH-A18P-01A-11R-A12D-07,-5.73415039419489,1
TCGA-E2-A15R-01A-11R-A115-07,-8.316412427083328,1
TCGA-BH-A0WA-01A-11R-A109-07,-7.380328348728935,1
TCGA-BH-A42T-01A-11R-A24H-07,-7.559955544518316,1
TCGA-AC-A23H-01A-11R-A157-07,-6.8260406362300055,1
TCGA-OL-A66I-01A-21R-A29R-07,-8.036332455022706,0
TCGA-S3-AA17-01A-11R-A41B-07,-6.608936401886552,1
TCGA-AR-A1AL-01A-21R-A12P-07,-5.630481355569665,1
TCGA-AC-A2B8-01A-11R-A17B-07,-5.173450750718828,1
TCGA-D8-A1XO-01A-11R-A14M-07,-5.321757861033862,0
TCGA-C8-A26Y-01A-11R-A16F-07,-7.741858680282579,0
TCGA-BH-A0DG-01A-21R-A12P-07,-4.568322871017987,1
TCGA-E9-A243-01A-21R-A169-07,-8.151610456049005,1
TCGA-A2-A04W-01A-31R-A115-07,-7.675869588504788,1
TCGA-A8-A09G-01A-21R-A00Z-07,-7.066538864857857,1
TCGA-BH-A0DI-01A-21R-A12P-07,-5.141892307036471,0
TCGA-E2-A152-01A-11R-A12D-07,-5.543165831670957,0
TCGA-AQ-A7U7-01A-22R-A352-07,-6.034653243057358,0
TCGA-BH-A0BZ-01A-31R-A12P-07,-5.624525652511706,1
TCGA-EW-A1OV-01A-11R-A144-07,-6.050564827788164,1
TCGA-A8-A0A7-01A-11R-A00Z-07,-5.932923562812404,1
TCGA-BH-A1EN-01A-11R-A13Q-07,-7.922982600179679,1
TCGA-E2-A1IE-01A-11R-A13Q-07,-6.153742792366135,1
TCGA-BH-A0HW-01A-11R-A034-07,-7.380572187233437,0
TCGA-BH-A0BJ-01A-11R-A056-07,-4.413694610266173,0
TCGA-AO-A03N-01B-11R-A10J-07,-7.959134844790638,1
TCGA-EW-A1P3-01A-11R-A144-07,-5.980414060407357,1
TCGA-B6-A0I2-01A-11R-A034-07,-8.789236179680623,1
TCGA-EW-A1PD-01A-11R-A144-07,-5.485335863375913,1
TCGA-B6-A0IH-01A-11R-A115-07,-5.8372197255252525,1
TCGA-E2-A15M-01A-11R-A12D-07,-6.458843592637294,1
TCGA-BH-A0H9-01A-11R-A056-07,-5.4668511149474766,1
TCGA-BH-A0HL-01A-11R-A10U-07,-7.5311893256573725,1
TCGA-A8-A07G-01A-11R-A034-07,-5.418652436918703,1
TCGA-E2-A1IL-01A-11R-A14D-07,-5.636244786445652,1
TCGA-AR-A0U4-01A-11R-A109-07,-8.26661748797598,1
TCGA-D8-A147-01A-11R-A115-07,-8.16976522164727,0
TCGA-BH-A0HY-01A-11R-A056-07,-7.142119867462174,0
TCGA-D8-A1XT-01A-11R-A14M-07,-7.3525853510228805,1
TCGA-E2-A14W-01A-11R-A12D-07,-7.047282326065443,1
TCGA-E9-A1RB-01A-11R-A157-07,-7.371757473192832,1
TCGA-LL-A5YL-01A-12R-A29R-07,-8.627094403682019,1
TCGA-WT-AB41-01A-11R-A41B-07,-10.427703043341497,1
TCGA-A8-A09Z-01A-11R-A00Z-07,-7.575097487625516,1
TCGA-AN-A0FX-01A-11R-A034-07,-6.933903328398918,1
TCGA-B6-A409-01A-11R-A24H-07,-9.455654928794749,0
TCGA-EW-A1PG-01A-11R-A144-07,-6.7266646955850735,1
TCGA-OL-A6VR-01A-32R-A33J-07,-6.767742860250589,1
TCGA-BH-A1FN-01A-11R-A13Q-07,-6.894518098194513,1
TCGA-AR-A2LR-01A-12R-A18M-07,-8.158686950912504,1
TCGA-A7-A5ZX-01A-12R-A29R-07,-5.089855281912235,1
TCGA-LL-A73Y-01A-11R-A33J-07,-6.414480149168486,1
TCGA-A2-A25D-01A-12R-A16F-07,-6.331655995647317,1
TCGA-BH-A0C7-01B-11R-A115-07,-5.646990607391538,1
TCGA-E2-A570-01A-11R-A29R-07,-5.707746664332779,1
TCGA-BH-A1FL-01A-11R-A13Q-07,-5.95906671487752,1
TCGA-A1-A0SG-01A-11R-A144-07,-5.806791423056138,1
TCGA-A8-A07U-01A-11R-A034-07,-7.554125978910275,1
TCGA-E2-A15L-01A-11R-A12D-07,-4.903450813113497,0
TCGA-E9-A1R4-01A-21R-A14D-07,-5.998089838792288,1
TCGA-AR-A0TS-01A-11R-A115-07,-7.508894484894231,0
TCGA-E2-A10F-01A-11R-A10J-07,-4.191915779668996,1
TCGA-AO-A128-01A-11R-A10J-07,-7.678777060872674,0
TCGA-AR-A0U3-01A-11R-A109-07,-7.117743973850196,1
TCGA-BH-A0DL-01A-11R-A115-07,-7.659189745027635,1
TCGA-A7-A0D9-01A-31R-A056-07,-6.51349311691861,0
TCGA-AN-A0FD-01A-11R-A034-07,-5.4228162928199355,1
TCGA-A2-A0YK-01A-22R-A109-07,-5.723089459725294,1
TCGA-BH-A1FH-01A-12R-A13Q-07,-6.748353583457241,1
TCGA-C8-A12T-01A-11R-A115-07,-5.8491081136583905,1
TCGA-B6-A2IU-01A-32R-A18M-07,-6.493177333716772,1
TCGA-4H-AAAK-01A-12R-A41B-07,-4.244553101432203,1
TCGA-E2-A1IU-01A-11R-A14D-07,-5.543465509744798,1
TCGA-3C-AALK-01A-11R-A41B-07,-4.699055704673106,1
TCGA-D8-A27M-01A-11R-A16F-07,-7.351278793492494,0
TCGA-E2-A56Z-01A-12R-A29R-07,-7.018350763064714,1
TCGA-AO-A1KQ-01A-11R-A13Q-07,-6.994132063865436,1
TCGA-AR-A2LE-01A-11R-A180-07,-6.3878840612968535,1
TCGA-E2-A1BC-01A-11R-A12P-07,-6.273690459824165,0
TCGA-BH-A0E6-01A-11R-A034-07,-9.24413945220778,1
TCGA-AO-A0J2-01A-11R-A034-07,-8.165216604195763,1
TCGA-A7-A6VX-01A-12R-A33J-07,-5.816808731592332,1
TCGA-E2-A1LI-01A-12R-A157-07,-8.475599839957134,1
TCGA-AR-A1AT-01A-11R-A12P-07,-5.684702771112468,1
TCGA-A7-A426-01A-22R-A24H-07,-6.589231734111654,0
TCGA-A2-A25C-01A-11R-A169-07,-6.693212591933603,0
TCGA-B6-A0RL-01A-11R-A084-07,-7.240771714714004,0
TCGA-OK-A5Q2-01A-11R-A27Q-07,-4.798858247443187,0
TCGA-E9-A244-01A-11R-A169-07,-8.86069269638583,1
TCGA-E9-A1R6-01A-11R-A14D-07,-6.4833885770160204,1
TCGA-BH-A8G0-01A-11R-A352-07,-5.802752307063223,1
TCGA-EW-A1IZ-01A-11R-A13Q-07,-6.279353292751442,1
TCGA-AO-A0J5-01A-11R-A034-07,-6.133332987793572,1
TCGA-E2-A1AZ-01A-11R-A12P-07,-7.7790825094003075,1
TCGA-B6-A0RE-01A-11R-A056-07,-7.953171025227634,1
TCGA-A7-A4SE-01A-11R-A266-07,-7.821065141272352,1
TCGA-LL-A740-01A-21R-A32P-07,-7.425640646498996,1
TCGA-A8-A07R-01A-21R-A034-07,-9.228416156353722,1
TCGA-S3-AA10-01A-21R-A41B-07,-7.77160358185188,1
TCGA-A7-A4SF-01A-11R-A266-07,-7.5137191196471536,1
TCGA-A7-A0CG-01A-12R-A056-07,-5.16242280813359,1
TCGA-E2-A1LS-01A-12R-A157-07,-10.063708915112723,0
TCGA-AR-A24P-01A-11R-A169-07,-5.720823125240514,1
TCGA-E9-A54Y-01A-11R-A466-07,-11.026731042803991,0
TCGA-AO-A0JA-01A-11R-A056-07,-5.298790260666513,0
TCGA-A8-A08A-01A-11R-A32Y-07,-5.16040019034722,1
TCGA-AR-A24V-01A-21R-A169-07,-5.936516729398542,1
TCGA-A2-A0CO-01A-13R-A22K-07,-6.633431708079164,1
TCGA-E2-A15I-01A-21R-A137-07,-7.2222524964068295,1
TCGA-A2-A0SU-01A-11R-A084-07,-5.670178214451863,1
TCGA-AC-A3OD-01A-11R-A21T-07,-9.252652176702062,1
TCGA-AC-A3YJ-01A-11R-A22U-07,-8.235843050659554,1
TCGA-AR-A0TZ-01A-12R-A084-07,-7.020607448175808,1
TCGA-A2-A0D3-01A-11R-A115-07,-6.611528219805646,1
TCGA-BH-A18L-01A-32R-A12D-07,-8.371233616267041,0
TCGA-EW-A2FW-01A-11R-A17B-07,-7.251556593192007,0
