sample_id,score,y_member
TCGA-E2-A158-01A-11R-A12D-07,-0.04865062956890204,0
TCGA-AO-A1KO-01A-31R-A13Q-07,-0.58790819962006,1
TCGA-AR-A0TX-01A-11R-A084-07,-0.38005454106906866,1
TCGA-D8-A1XB-01A-11R-A14D-07,-0.2471264485793954,1
TCGA-B6-A0IG-01A-11R-A034-07,-0.0737866824470559,1
TCGA-AC-A5EH-01A-11R-A28M-07,-0.3196320091725827,1
TCGA-LL-A7SZ-01A-32R-A352-07,0.038926020098612554,1
TCGA-A7-A26J-01A-11R-A169-07,-0.16346484373224945,0
TCGA-E9-A22H-01A-11R-A157-07,-0.1971059581286997,1
TCGA-BH-A208-01A-11R-A157-07,-0.7527673752458174,1
TCGA-BH-A6R9-01A-21R-A32P-07,-0.8157575495334021,1
TCGA-OL-A5S0-01A-11R-A28M-07,-0.1768513150790072,0
TCGA-A1-A0SD-01A-11R-A115-07,-0.2892156587288177,1
TCGA-AO-A0JB-01A-11R-A32Y-07,-0.500553517146364,1
TCGA-E2-A1BD-01A-11R-A12P-07,-0.1358380930340289,1
TCGA-AN-A0AS-01A-11R-A00Z-07,-0.16060259416291178,1
TCGA-A7-A13G-01A-11R-A13Q-07,0.055199634854092884,1
TCGA-B6-A0RS-01A-11R-A084-07,-0.35868743954439025,1
TCGA-A2-A4S0-01A-21R-A266-07,-0.12466666492950944,1
TCGA-BH-A1F5-01A-12R-A13Q-07,0.02794479700071906,1
TCGA-A2-A0CX-01A-21R-A00Z-07,-0.4663827630104863,0
TCGA-A7-A13D-01A-13R-A12P-07,-0.19026641965591243,1
TCGA-AN-A03Y-01A-21R-A00Z-07,-0.20382788029602097,1
TCGA-E9-A1ND-01A-11R-A144-07,-0.19917010671702443,1
TCGA-EW-A1P5-01A-11R-A144-07,-0.17608394631282326,1
TCGA-EW-A423-01A-11R-A24H-07,-0.021087002847553025,1
TCGA-A7-A5ZV-01A-11R-A28M-07,-0.11029342963349595,1
TCGA-C8-A8HP-01A-11R-A36F-07,-0.3149240026025386,0
