sample_id,score,y_member
TCGA-E2-A158-01A-11R-A12D-07,-9.282744276450972,1
TCGA-AO-A1KO-01A-31R-A13Q-07,-7.946420057191054,1
TCGA-AR-A0TX-01A-11R-A084-07,-6.2761680824035055,0
TCGA-D8-A1XB-01A-11R-A14D-07,-4.180502403689761,1
TCGA-B6-A0IG-01A-11R-A034-07,-7.153676323015792,1
TCGA-AC-A5EH-01A-11R-A28M-07,-6.447031899211127,1
TCGA-LL-A7SZ-01A-32R-A352-07,-10.818109268583108,1
TCGA-A7-A26J-01A-11R-A169-07,-6.161613484306373,1
TCGA-E9-A22H-01A-11R-A157-07,-6.5476125741790705,1
TCGA-BH-A208-01A-11R-A157-07,-7.301440316912523,1
TCGA-BH-A6R9-01A-21R-A32P-07,-7.529153704517367,1
TCGA-OL-A5S0-01A-11R-A28M-07,-8.735675936578652,1
TCGA-A1-A0SD-01A-11R-A115-07,-4.462765121542016,1
TCGA-AO-A0JB-01A-11R-A32Y-07,-8.728345835790245,1
TCGA-E2-A1BD-01A-11R-A12P-07,-5.959270953104733,1
TCGA-AN-A0AS-01A-11R-A00Z-07,-5.734191646213619,1
TCGA-A7-A13G-01A-11R-A13Q-07,-10.084446142952517,1
TCGA-B6-A0RS-01A-11R-A084-07,-6.494985516137471,1
TCGA-A2-A4S0-01A-21R-A266-07,-7.321890585485133,0
TCGA-BH-A1F5-01A-12R-A13Q-07,-8.936430855353866,1
TCGA-A2-A0CX-01A-21R-A00Z-07,-5.80137684319621,1
TCGA-A7-A13D-01A-13R-A12P-07,-8.344302035008091,0
TCGA-AN-A03Y-01A-21R-A00Z-07,-7.482149235635317,1
TCGA-E9-A1ND-01A-11R-A144-07,-7.443724322081651,0
TCGA-EW-A1P5-01A-11R-A144-07,-5.823302465389161,1
TCGA-EW-A423-01A-11R-A24H-07,-8.489761442489812,1
TCGA-A7-A5ZV-01A-11R-A28M-07,-9.73716456597249,1
TCGA-C8-A8HP-01A-11R-A36F-07,-7.742992395754101,1
TCGA-AQ-A54O-01A-11R-A266-07,-9.871332289033822,1
TCGA-E9-A5FK-01A-11R-A27Q-07,-8.744874334618395,1
TCGA-D8-A142-01A-11R-A115-07,-6.49776446214731,1
TCGA-BH-A0BC-01A-22R-A084-07,-4.945703649953428,1
TCGA-A2-A0EY-01A-11R-A034-07,-6.127990328926344,1
TCGA-D8-A1J8-01A-11R-A13Q-07,-9.357529397967076,1
TCGA-A8-A06Y-01A-21R-A00Z-07,-6.550658568606073,0
TCGA-EW-A1J1-01A-11R-A13Q-07,-7.058150187175832,1
TCGA-BH-A0C0-01A-21R-A056-07,-6.836915259656826,0
TCGA-AC-A2FK-01A-12R-A180-07,-6.767590836732279,0
TCGA-A2-A3XV-01A-21R-A239-07,-11.721064661530429,0
TCGA-BH-A0HB-01A-11R-A056-07,-7.01979286893375,1
TCGA-AN-A0XL-01A-11R-A10J-07,-5.118407801272044,1
TCGA-E2-A10B-01A-11R-A10J-07,-4.944076850489493,1
TCGA-A2-A04X-01A-21R-A034-07,-7.2530534846252035,1
TCGA-AR-A1AN-01A-11R-A12P-07,-5.183505716728339,1
TCGA-A2-A0EM-01A-11R-A034-07,-5.005051266530719,0
TCGA-B6-A0WS-01A-11R-A115-07,-4.449192285035149,1
TCGA-D8-A1XD-01A-11R-A14D-07,-7.251885784496494,1
TCGA-A8-A091-01A-11R-A00Z-07,-7.216714227390666,1
TCGA-E9-A2JS-01A-11R-A180-07,-7.356809076575845,0
TCGA-A2-A1G1-01A-21R-A13Q-07,-9.313708200902669,1
TCGA-E9-A22B-01A-11R-A157-07,-6.598045449301928,0
TCGA-D8-A27G-01A-11R-A16F-07,-4.270755604827985,1
TCGA-A7-A13E-01A-11R-A12P-07,-8.291014415447403,1
TCGA-BH-A0AY-01A-21R-A00Z-07,-5.331993636083303,0
TCGA-E2-A1L7-01A-11R-A144-07,-7.0189295962496745,1
TCGA-AN-A046-01A-21R-A034-07,-5.146552750110731,0
TCGA-AN-A0AL-01A-11R-A00Z-07,-8.00434342954066,0
TCGA-D8-A27K-01A-11R-A16F-07,-5.602078293055179,1
TCGA-BH-A0DO-01B-11R-A12D-07,-5.501210634600936,0
TCGA-A7-A4SB-01A-21R-A266-07,-6.926208841204144,0
TCGA-EW-A6SB-01A-12R-A32P-07,-9.178219195250964,1
TCGA-D8-A1JM-01A-11R-A13Q-07,-9.252871259851851,1
TCGA-OL-A66J-01A-11R-A29R-07,-6.507999936203035,1
TCGA-D8-A13Y-01A-11R-A115-07,-9.257985732397763,1
TCGA-AR-A24N-01A-11R-A169-07,-6.265695204028528,1
TCGA-BH-A0B1-01A-12R-A056-07,-5.888902014095565,1
TCGA-B6-A0RN-01A-12R-A084-07,-5.089424880594704,1
TCGA-A2-A0T1-01A-21R-A084-07,-6.337904930160812,1
TCGA-AN-A0AM-01A-11R-A034-07,-7.221441173933943,1
TCGA-E2-A1LA-01A-11R-A144-07,-6.591739222731614,0
TCGA-JL-A3YW-01A-12R-A239-07,-7.861424211207721,0
TCGA-BH-A0H3-01A-11R-A12P-07,-5.144545265856151,1
TCGA-E2-A1IF-01A-11R-A144-07,-6.351064920670268,1
TCGA-C8-A26X-01A-31R-A16F-07,-7.116920195536688,1
TCGA-A8-A09B-01A-11R-A00Z-07,-4.294383379152982,0
TCGA-A7-A26G-01A-21R-A169-07,-8.299817693075351,1
TCGA-AC-A2FE-01A-11R-A19W-07,-4.404897153568219,1
TCGA-A8-A08G-01A-11R-A00Z-07,-5.762843590904425,0
TCGA-AN-A0FJ-01A-11R-A00Z-07,-8.968115043534986,1
TCGA-B6-A0RV-01A-11R-A084-07,-4.040778531457872,1
TCGA-B6-A0WV-01A-11R-A109-07,-6.30284530571722,1
TCGA-A8-A07P-01A-11R-A00Z-07,-7.085820216956102,1
TCGA-A8-A08H-01A-21R-A00Z-07,-6.54528353322087,1
TCGA-AR-A0TW-01A-11R-A084-07,-8.084260332406012,1
TCGA-E2-A15F-01A-11R-A115-07,-5.904446379726279,1
TCGA-B6-A0WX-01A-11R-A109-07,-6.662373765552088,1
TCGA-D8-A1Y1-01A-21R-A14M-07,-5.132080120390251,1
TCGA-E2-A14Z-01A-11R-A115-07,-5.070927244291954,0
TCGA-A2-A25A-01A-12R-A16F-07,-4.804809635466815,0
TCGA-A2-A0CT-01A-31R-A056-07,-7.65190179006929,1
TCGA-HN-A2OB-01A-21R-A27Q-07,-5.10501722761133,0
TCGA-B6-A0RT-01A-21R-A084-07,-7.195675064704859,1
TCGA-AR-A24T-01A-11R-A169-07,-5.9178845890273335,1
TCGA-E9-A1R0-01A-22R-A16F-07,-4.842248749197424,1
TCGA-E9-A5FL-01A-11R-A27Q-07,-10.130640665974926,1
TCGA-E2-A3DX-01A-21R-A213-07,-5.754460097803748,1
TCGA-E2-A14T-01A-11R-A115-07,-7.044068661425444,1
TCGA-A2-A4RY-01A-31R-A266-07,-6.414221007831166,1
TCGA-AR-A2LK-01A-11R-A180-07,-6.2578312569210395,1
TCGA-BH-A42U-01A-12R-A24H-07,-8.509419259331212,1
TCGA-AO-A12C-01A-11R-A10J-07,-6.288307810785645,0
TCGA-A2-A3XY-01A-11R-A239-07,-7.6323264678194365,1
TCGA-D8-A73X-01A-11R-A32P-07,-4.56587315188454,1
TCGA-AR-A2LO-01A-31R-A18M-07,-4.793470951550205,1
TCGA-AO-A0JJ-01A-11R-A056-07,-4.388839227510479,0
TCGA-LD-A74U-01A-13R-A33J-07,-5.592690011924078,1
TCGA-AN-A0XN-01A-21R-A109-07,-6.465379794249224,1
TCGA-E2-A107-01A-11R-A10J-07,-6.7960193291681685,1
TCGA-A7-A6VV-01A-22R-A33J-07,-7.811853254145129,1
TCGA-AC-A5XS-01A-11R-A29R-07,-6.80817904453546,1
TCGA-BH-A0H6-01A-21R-A056-07,-5.325185364801929,1
TCGA-AC-A23C-01A-12R-A169-07,-6.170653234487558,1
TCGA-E9-A1NH-01A-11R-A14D-07,-4.806124995560939,1
TCGA-D8-A1XW-01A-11R-A14M-07,-8.19452097216869,1
TCGA-AO-A0JG-01A-31R-A084-07,-6.1213589743601675,0
TCGA-BH-A18N-01A-11R-A12D-07,-6.853462379228058,1
TCGA-A1-A0SO-01A-22R-A084-07,-9.959113071305945,0
TCGA-BH-A0B5-01A-11R-A12P-07,-4.895815740801703,0
TCGA-A8-A09T-01A-11R-A00Z-07,-5.0247054824803445,1
TCGA-BH-A0BR-01A-21R-A115-07,-6.314570201215429,1
TCGA-D8-A27W-01A-11R-A16F-07,-7.497653681239408,1
TCGA-BH-A0BW-01A-11R-A115-07,-8.42862913728194,1
TCGA-GM-A2DB-01A-31R-A18M-07,-9.53424259060453,0
TCGA-AC-A2QH-01A-11R-A18M-07,-10.715892476380393,1
TCGA-D8-A1JB-01A-11R-A13Q-07,-5.438717888859503,1
TCGA-BH-A1ES-01A-11R-A137-07,-6.642500827957329,1
TCGA-OL-A97C-01A-32R-A41B-07,-6.34499636826166,1
TCGA-A2-A0YF-01A-21R-A109-07,-7.020288593177235,1
TCGA-D8-A1XS-01A-11R-A14M-07,-6.210736892095481,1
