sample_id,score,y_member
TCGA-E2-A158-01A-11R-A12D-07,-1.6705683767452668,1
TCGA-AO-A1KO-01A-31R-A13Q-07,-3.3538910897371825,1
TCGA-AR-A0TX-01A-11R-A084-07,-2.3655908147041655,1
TCGA-D8-A1XB-01A-11R-A14D-07,-2.598016384547998,0
TCGA-B6-A0IG-01A-11R-A034-07,-1.6308118948347248,1
TCGA-AC-A5EH-01A-11R-A28M-07,-2.1425574201620767,1
TCGA-LL-A7SZ-01A-32R-A352-07,-0.9045531942479055,0
TCGA-A7-A26J-01A-11R-A169-07,-2.1490016208534577,1
TCGA-E9-A22H-01A-11R-A157-07,-2.4944032350653416,1
TCGA-BH-A208-01A-11R-A157-07,-3.871814739002645,1
TCGA-BH-A6R9-01A-21R-A32P-07,-3.9399157957966113,1
TCGA-OL-A5S0-01A-11R-A28M-07,-1.9848873769862838,1
TCGA-A1-A0SD-01A-11R-A115-07,-2.6749939931157245,0
TCGA-AO-A0JB-01A-11R-A32Y-07,-2.9456753688141926,1
TCGA-E2-A1BD-01A-11R-A12P-07,-1.9714287398688026,1
TCGA-AN-A0AS-01A-11R-A00Z-07,-1.962853860064851,0
TCGA-A7-A13G-01A-11R-A13Q-07,-0.9669333014180976,1
TCGA-B6-A0RS-01A-11R-A084-07,-1.9332280517065252,0
TCGA-A2-A4S0-01A-21R-A266-07,-1.7459790949615996,1
TCGA-BH-A1F5-01A-12R-A13Q-07,-1.4206681048166583,1
TCGA-A2-A0CX-01A-21R-A00Z-07,-2.256557769253896,1
TCGA-A7-A13D-01A-13R-A12P-07,-2.1289198954624227,1
TCGA-AN-A03Y-01A-21R-A00Z-07,-2.3716062525359436,0
TCGA-E9-A1ND-01A-11R-A144-07,-2.434646887346255,1
TCGA-EW-A1P5-01A-11R-A144-07,-2.214411856512211,1
TCGA-EW-A423-01A-11R-A24H-07,-1.3304612010791306,0
TCGA-A7-A5ZV-01A-11R-A28M-07,-1.7851485516801966,1
TCGA-C8-A8HP-01A-11R-A36F-07,-1.5002376693370776,1
TCGA-AQ-A54O-01A-11R-A266-07,-1.4246577755906003,1
TCGA-E9-A5FK-01A-11R-A27Q-07,-1.3422806187954717,1
TCGA-D8-A142-01A-11R-A115-07,-2.763943024480587,1
TCGA-BH-A0BC-01A-22R-A084-07,-2.289669761741732,1
TCGA-A2-A0EY-01A-11R-A034-07,-2.801103268846081,0
TCGA-D8-A1J8-01A-11R-A13Q-07,-1.672121788026743,0
TCGA-A8-A06Y-01A-21R-A00Z-07,-1.9522393023575482,1
TCGA-EW-A1J1-01A-11R-A13Q-07,-1.6887167080336312,0
TCGA-BH-A0C0-01A-21R-A056-07,-2.491247530023895,1
TCGA-AC-A2FK-01A-12R-A180-07,-4.328442224252125,1
TCGA-A2-A3XV-01A-21R-A239-07,-0.21502700405984151,1
TCGA-BH-A0HB-01A-11R-A056-07,-1.5362357679969085,1
TCGA-AN-A0XL-01A-11R-A10J-07,-2.2414885269501625,0
TCGA-E2-A10B-01A-11R-A10J-07,-2.659316890570794,0
TCGA-A2-A04X-01A-21R-A034-07,-1.7192199263606942,0
TCGA-AR-A1AN-01A-11R-A12P-07,-2.278566889098989,1
