sample_id,score,y_member
TCGA-E2-A158-01A-11R-A12D-07,-0.2400293817645702,1
TCGA-AO-A1KO-01A-31R-A13Q-07,-14.385964104950338,1
TCGA-AR-A0TX-01A-11R-A084-07,-1.0438246215501852,0
TCGA-D8-A1XB-01A-11R-A14D-07,-0.7125362502304644,1
TCGA-B6-A0IG-01A-11R-A034-07,-0.28820498668393485,1
TCGA-AC-A5EH-01A-11R-A28M-07,-1.010738181745461,1
TCGA-LL-A7SZ-01A-32R-A352-07,0.016604956178857554,1
TCGA-A7-A26J-01A-11R-A169-07,-0.48998369558486765,1
TCGA-E9-A22H-01A-11R-A157-07,-0.4626917917572865,1
TCGA-BH-A208-01A-11R-A157-07,-14.462611132967405,1
TCGA-BH-A6R9-01A-21R-A32P-07,-14.498087454122972,1
TCGA-OL-A5S0-01A-11R-A28M-07,-0.38368409177690066,1
TCGA-A1-A0SD-01A-11R-A115-07,-0.7587729927098152,1
TCGA-AO-A0JB-01A-11R-A32Y-07,-14.300717898221249,1
TCGA-E2-A1BD-01A-11R-A12P-07,-0.5135886223577134,1
TCGA-AN-A0AS-01A-11R-A00Z-07,-0.4940642662694355,1
TCGA-A7-A13G-01A-11R-A13Q-07,0.014845556949787567,1
TCGA-B6-A0RS-01A-11R-A084-07,-1.0081209231295287,1
TCGA-A2-A4S0-01A-21R-A266-07,-0.38361085158949804,0
TCGA-BH-A1F5-01A-12R-A13Q-07,-0.17147409539212904,1
TCGA-A2-A0CX-01A-21R-A00Z-07,-1.1227329340886107,1
TCGA-A7-A13D-01A-13R-A12P-07,-0.461754068760492,0
TCGA-AN-A03Y-01A-21R-A00Z-07,-0.4629321111921443,1
TCGA-E9-A1ND-01A-11R-A144-07,-0.5410590857712387,0
TCGA-EW-A1P5-01A-11R-A144-07,-0.5760978317966482,1
TCGA-EW-A423-01A-11R-A24H-07,-0.18217909957563905,1
TCGA-A7-A5ZV-01A-11R-A28M-07,-0.27025463506530467,1
TCGA-C8-A8HP-01A-11R-A36F-07,-0.9039364653552658,1
TCGA-AQ-A54O-01A-11R-A266-07,-0.12333015891037788,1
TCGA-E9-A5FK-01A-11R-A27Q-07,-0.2499012244466982,1
TCGA-D8-A142-01A-11R-A115-07,-0.5832044827818448,1
TCGA-BH-A0BC-01A-22R-A084-07,-0.6100077133934497,1
TCGA-A2-A0EY-01A-11R-A034-07,-0.5415030563246604,1
TCGA-D8-A1J8-01A-11R-A13Q-07,-0.19793318403298146,1
TCGA-A8-A06Y-01A-21R-A00Z-07,-0.44252378873231124,0
TCGA-EW-A1J1-01A-11R-A13Q-07,-0.3548308194719867,1
TCGA-BH-A0C0-01A-21R-A056-07,-0.49317882410421027,0
TCGA-AC-A2FK-01A-12R-A180-07,-14.512205588496364,0
TCGA-A2-A3XV-01A-21R-A239-07,-0.28378256076578523,0
TCGA-BH-A0HB-01A-11R-A056-07,-0.3307671520291537,1
TCGA-AN-A0XL-01A-11R-A10J-07,-0.6897707101008833,1
TCGA-E2-A10B-01A-11R-A10J-07,-0.6551052350624503,1
TCGA-A2-A04X-01A-21R-A034-07,-0.9720981411053,1
TCGA-AR-A1AN-01A-11R-A12P-07,-0.6151164282515987,1
TCGA-A2-A0EM-01A-11R-A034-07,-0.6713719149366735,0
TCGA-B6-A0WS-01A-11R-A115-07,-0.7474170863322787,1
TCGA-D8-A1XD-01A-11R-A14D-07,-0.40330789924020644,1
TCGA-A8-A091-01A-11R-A00Z-07,-0.3934466190602557,1
TCGA-E9-A2JS-01A-11R-A180-07,-0.42815190350791255,0
TCGA-A2-A1G1-01A-21R-A13Q-07,-0.3225022074475724,1
TCGA-E9-A22B-01A-11R-A157-07,-0.4566186804797331,0
