sample_id,score,y_member
TCGA-E2-A158-01A-11R-A12D-07,0.012921681936133893,1
TCGA-AO-A1KO-01A-31R-A13Q-07,0.005071196465782675,0
TCGA-AR-A0TX-01A-11R-A084-07,-0.00023601408973107293,1
TCGA-D8-A1XB-01A-11R-A14D-07,0.0003831185130444047,1
TCGA-B6-A0IG-01A-11R-A034-07,-0.017626416217025587,0
TCGA-AC-A5EH-01A-11R-A28M-07,-0.020488605601771764,0
TCGA-LL-A7SZ-01A-32R-A352-07,-0.00045275008784664145,1
TCGA-A7-A26J-01A-11R-A169-07,0.008821392352466515,1
TCGA-E9-A22H-01A-11R-A157-07,-0.006080935999164981,0
TCGA-BH-A208-01A-11R-A157-07,0.00447181471671119,1
TCGA-BH-A6R9-01A-21R-A32P-07,-0.010944523951983979,0
TCGA-OL-A5S0-01A-11R-A28M-07,0.003447941446194222,1
TCGA-A1-A0SD-01A-11R-A115-07,0.0038044996989746328,1
TCGA-AO-A0JB-01A-11R-A32Y-07,0.010794390501700833,1
TCGA-E2-A1BD-01A-11R-A12P-07,-0.01580407789335677,0
TCGA-AN-A0AS-01A-11R-A00Z-07,0.0006426360221084304,1
TCGA-A7-A13G-01A-11R-A13Q-07,0.016957820912781953,1
TCGA-B6-A0RS-01A-11R-A084-07,0.002839625738504964,1
TCGA-A2-A4S0-01A-21R-A266-07,0.004069708019899713,1
TCGA-BH-A1F5-01A-12R-A13Q-07,-0.004325754922740155,0
TCGA-A2-A0CX-01A-21R-A00Z-07,0.005642342268502634,1
TCGA-A7-A13D-01A-13R-A12P-07,-0.00018639658059204506,1
TCGA-AN-A03Y-01A-21R-A00Z-07,0.004712087268769436,1
TCGA-E9-A1ND-01A-11R-A144-07,-0.0027792186093660125,1
TCGA-EW-A1P5-01A-11R-A144-07,-0.010058937661602197,0
TCGA-EW-A423-01A-11R-A24H-07,0.00577608286621077,1
TCGA-A7-A5ZV-01A-11R-A28M-07,0.0077275070157248925,1
TCGA-C8-A8HP-01A-11R-A36F-07,-0.005799466302650415,1
TCGA-AQ-A54O-01A-11R-A266-07,-0.000994125121965222,0
TCGA-E9-A5FK-01A-11R-A27Q-07,0.007162081571592217,1
TCGA-D8-A142-01A-11R-A115-07,-0.017771466298263726,0
TCGA-BH-A0BC-01A-22R-A084-07,-0.0145653149124596,0
TCGA-A2-A0EY-01A-11R-A034-07,-0.006647073316801951,1
TCGA-D8-A1J8-01A-11R-A13Q-07,0.00411491298952056,1
TCGA-A8-A06Y-01A-21R-A00Z-07,0.0047605383002227355,1
TCGA-EW-A1J1-01A-11R-A13Q-07,0.011701031637012468,1
TCGA-BH-A0C0-01A-21R-A056-07,-0.007415224210115383,1
TCGA-AC-A2FK-01A-12R-A180-07,0.00792816047337207,1
TCGA-A2-A3XV-01A-21R-A239-07,0.01565546557890898,1
TCGA-BH-A0HB-01A-11R-A056-07,0.008132363176808545,1
TCGA-AN-A0XL-01A-11R-A10J-07,-0.0023354191093034257,1
TCGA-E2-A10B-01A-11R-A10J-07,0.004351868767080037,1
TCGA-A2-A04X-01A-21R-A034-07,0.0045317044238529355,1
TCGA-AR-A1AN-01A-11R-A12P-07,0.0018826106857196142,1
TCGA-A2-A0EM-01A-11R-A034-07,0.015233501297488912,1
TCGA-B6-A0WS-01A-11R-A115-07,0.003456180069714606,1
