sample_id,score,y_member
TCGA-E2-A158-01A-11R-A12D-07,-1.6723141628646967,1
TCGA-AO-A1KO-01A-31R-A13Q-07,-1.8338341058899146,1
TCGA-AR-A0TX-01A-11R-A084-07,-2.052868018180896,1
TCGA-D8-A1XB-01A-11R-A14D-07,-1.001953748069054,1
TCGA-B6-A0IG-01A-11R-A034-07,-1.0185446683643784,1
TCGA-AC-A5EH-01A-11R-A28M-07,-2.225810988383738,1
TCGA-LL-A7SZ-01A-32R-A352-07,-1.0515275559500106,1
TCGA-A7-A26J-01A-11R-A169-07,-0.8976282676532369,1
TCGA-E9-A22H-01A-11R-A157-07,-1.5800363330157663,1
TCGA-BH-A208-01A-11R-A157-07,-2.387028878237109,0
TCGA-BH-A6R9-01A-21R-A32P-07,-2.0938097513659155,1
TCGA-OL-A5S0-01A-11R-A28M-07,-1.8587269059970821,1
TCGA-A1-A0SD-01A-11R-A115-07,-0.8481201689512596,1
TCGA-AO-A0JB-01A-11R-A32Y-07,-2.2376108717463987,0
TCGA-E2-A1BD-01A-11R-A12P-07,-1.0930928511867044,1
TCGA-AN-A0AS-01A-11R-A00Z-07,-0.9307666997583979,1
TCGA-A7-A13G-01A-11R-A13Q-07,-1.1490361645703777,0
TCGA-B6-A0RS-01A-11R-A084-07,-2.3349657292623536,1
TCGA-A2-A4S0-01A-21R-A266-07,-0.9564377531634433,1
TCGA-BH-A1F5-01A-12R-A13Q-07,-0.9772723243730199,1
TCGA-A2-A0CX-01A-21R-A00Z-07,-2.323736718111824,1
TCGA-A7-A13D-01A-13R-A12P-07,-1.4773183194855635,1
TCGA-AN-A03Y-01A-21R-A00Z-07,-1.7808144634782213,1
TCGA-E9-A1ND-01A-11R-A144-07,-1.984992520735553,1
TCGA-EW-A1P5-01A-11R-A144-07,-0.8908278832139935,1
TCGA-EW-A423-01A-11R-A24H-07,-0.9917082853777022,1
TCGA-A7-A5ZV-01A-11R-A28M-07,-2.185754774112593,0
TCGA-C8-A8HP-01A-11R-A36F-07,-2.2600620670275395,1
TCGA-AQ-A54O-01A-11R-A266-07,-1.8051533870746825,1
TCGA-E9-A5FK-01A-11R-A27Q-07,-1.0775250984543248,1
TCGA-D8-A142-01A-11R-A115-07,-2.0854092657613386,1
TCGA-BH-A0BC-01A-22R-A084-07,-0.9861246166684458,1
TCGA-A2-A0EY-01A-11R-A034-07,-1.5996352425745965,1
TCGA-D8-A1J8-01A-11R-A13Q-07,-1.6522572756842542,1
TCGA-A8-A06Y-01A-21R-A00Z-07,-1.045265215451358,1
TCGA-EW-A1J1-01A-11R-A13Q-07,-1.050049470621244,1
TCGA-BH-A0C0-01A-21R-A056-07,-1.8118637607135735,1
TCGA-AC-A2FK-01A-12R-A180-07,-1.956472776185273,1
TCGA-A2-A3XV-01A-21R-A239-07,-2.073766179045361,1
TCGA-BH-A0HB-01A-11R-A056-07,-1.011081521385731,0
TCGA-AN-A0XL-01A-11R-A10J-07,-1.0402925040689464,1
