sample_id,score,y_member
TCGA-E2-A158-01A-11R-A12D-07,-0.1915360451349826,1
TCGA-AO-A1KO-01A-31R-A13Q-07,-0.3454777114856819,1
TCGA-AR-A0TX-01A-11R-A084-07,-0.5674154024636154,0
TCGA-D8-A1XB-01A-11R-A14D-07,-0.7467185894383674,1
TCGA-B6-A0IG-01A-11R-A034-07,-0.4447908828272614,1
TCGA-AC-A5EH-01A-11R-A28M-07,-0.5879479753173098,1
TCGA-LL-A7SZ-01A-32R-A352-07,-0.1481887630679187,1
TCGA-A7-A26J-01A-11R-A169-07,-0.583182463147041,1
TCGA-E9-A22H-01A-11R-A157-07,-0.4457629819026362,1
TCGA-BH-A208-01A-11R-A157-07,-0.4408689167031226,1
TCGA-BH-A6R9-01A-21R-A32P-07,-0.4216425385762212,1
TCGA-OL-A5S0-01A-11R-A28M-07,-0.30266115017094497,1
TCGA-A1-A0SD-01A-11R-A115-07,-0.8293349227096966,1
TCGA-AO-A0JB-01A-11R-A32Y-07,-0.309049886819696,1
TCGA-E2-A1BD-01A-11R-A12P-07,-0.5523196725730487,1
TCGA-AN-A0AS-01A-11R-A00Z-07,-0.6244341292938906,1
TCGA-A7-A13G-01A-11R-A13Q-07,-0.05329299979323235,1
TCGA-B6-A0RS-01A-11R-A084-07,-0.5527398453516716,1
TCGA-A2-A4S0-01A-21R-A266-07,-0.43119406248479913,0
TCGA-BH-A1F5-01A-12R-A13Q-07,-0.23017371445015772,1
TCGA-A2-A0CX-01A-21R-A00Z-07,-0.6078438967555825,1
TCGA-A7-A13D-01A-13R-A12P-07,-0.3467184587256679,0
TCGA-AN-A03Y-01A-21R-A00Z-07,-0.48876793075302,1
TCGA-E9-A1ND-01A-11R-A144-07,-0.4772245409807668,0
TCGA-EW-A1P5-01A-11R-A144-07,-0.6619583950561547,1
TCGA-EW-A423-01A-11R-A24H-07,-0.2858004153784747,1
TCGA-A7-A5ZV-01A-11R-A28M-07,-0.24554027621854746,1
TCGA-C8-A8HP-01A-11R-A36F-07,-0.41321866400452795,1
TCGA-AQ-A54O-01A-11R-A266-07,-0.22504559798206483,1
TCGA-E9-A5FK-01A-11R-A27Q-07,-0.3261284886670171,1
TCGA-D8-A142-01A-11R-A115-07,-0.5454730891210932,1
TCGA-BH-A0BC-01A-22R-A084-07,-0.7157227866786817,1
TCGA-A2-A0EY-01A-11R-A034-07,-0.6033552291577977,1
TCGA-D8-A1J8-01A-11R-A13Q-07,-0.21001304892011324,1
TCGA-A8-A06Y-01A-21R-A00Z-07,-0.5343362763955395,0
TCGA-EW-A1J1-01A-11R-A13Q-07,-0.41260222177450817,1
TCGA-BH-A0C0-01A-21R-A056-07,-0.5479447370245102,0
TCGA-AC-A2FK-01A-12R-A180-07,-0.47025300383696245,0
TCGA-A2-A3XV-01A-21R-A239-07,-0.04303147807239905,0
TCGA-BH-A0HB-01A-11R-A056-07,-0.4943052294554694,1
TCGA-AN-A0XL-01A-11R-A10J-07,-0.7559618726651607,1
TCGA-E2-A10B-01A-11R-A10J-07,-0.7277768596142986,1
TCGA-A2-A04X-01A-21R-A034-07,-0.4904629497208102,1
TCGA-AR-A1AN-01A-11R-A12P-07,-0.7059850979311164,1
TCGA-A2-A0EM-01A-11R-A034-07,-0.7147980422717122,0
TCGA-B6-A0WS-01A-11R-A115-07,-0.8435088792184294,1
TCGA-D8-A1XD-01A-11R-A14D-07,-0.5030044315483674,1
TCGA-A8-A091-01A-11R-A00Z-07,-0.430950429241282,1
TCGA-E9-A2JS-01A-11R-A180-07,-0.43419089867182786,0
TCGA-A2-A1G1-01A-21R-A13Q-07,-0.2519215851333583,1
TCGA-E9-A22B-01A-11R-A157-07,-0.5721317253322135,0
TCGA-D8-A27G-01A-11R-A16F-07,-0.853559630175087,1
TCGA-A7-A13E-01A-11R-A12P-07,-0.34167266785281036,1
TCGA-BH-A0AY-01A-21R-A00Z-07,-0.7311780531012624,0
TCGA-E2-A1L7-01A-11R-A144-07,-0.5209937723722446,1
TCGA-AN-A046-01A-21R-A034-07,-0.7201790261067403,0
TCGA-AN-A0AL-01A-11R-A00Z-07,-0.34176759284118263,0
