sample_id,score,y_member
TCGA-E2-A158-01A-11R-A12D-07,-0.2569489070985458,1
TCGA-AO-A1KO-01A-31R-A13Q-07,-9.400016178392606,1
TCGA-AR-A0TX-01A-11R-A084-07,-0.9567621204275241,1
TCGA-D8-A1XB-01A-11R-A14D-07,-0.7577978181944823,0
TCGA-B6-A0IG-01A-11R-A034-07,-0.38381611634821367,1
TCGA-AC-A5EH-01A-11R-A28M-07,-0.9570030888175637,1
TCGA-LL-A7SZ-01A-32R-A352-07,-0.06681710480987846,0
TCGA-A7-A26J-01A-11R-A169-07,-0.5623404409360563,1
TCGA-E9-A22H-01A-11R-A157-07,-0.4924552895857372,1
TCGA-BH-A208-01A-11R-A157-07,-9.48026323173054,1
TCGA-BH-A6R9-01A-21R-A32P-07,-9.501145052609553,1
TCGA-OL-A5S0-01A-11R-A28M-07,-0.38040977741346993,1
TCGA-A1-A0SD-01A-11R-A115-07,-0.8377853551697387,0
TCGA-AO-A0JB-01A-11R-A32Y-07,-9.33271293150954,1
TCGA-E2-A1BD-01A-11R-A12P-07,-0.5555291257969888,1
TCGA-AN-A0AS-01A-11R-A00Z-07,-0.5804900135423324,0
TCGA-A7-A13G-01A-11R-A13Q-07,-0.019314125069908927,1
TCGA-B6-A0RS-01A-11R-A084-07,-0.9173356145787136,0
TCGA-A2-A4S0-01A-21R-A266-07,-0.42619834487107766,1
TCGA-BH-A1F5-01A-12R-A13Q-07,-0.20081939741709864,1
TCGA-A2-A0CX-01A-21R-A00Z-07,-1.0217393156871994,1
TCGA-A7-A13D-01A-13R-A12P-07,-0.45301832179916135,1
TCGA-AN-A03Y-01A-21R-A00Z-07,-0.5252718111760467,0
TCGA-E9-A1ND-01A-11R-A144-07,-0.5476876155970413,1
TCGA-EW-A1P5-01A-11R-A144-07,-0.6498245106203269,1
TCGA-EW-A423-01A-11R-A24H-07,-0.25429755970209333,0
TCGA-A7-A5ZV-01A-11R-A28M-07,-0.27702891246645306,1
TCGA-C8-A8HP-01A-11R-A36F-07,-0.7894295714111395,1
TCGA-AQ-A54O-01A-11R-A266-07,-0.19294993289343962,1
TCGA-E9-A5FK-01A-11R-A27Q-07,-0.3037369616094857,1
TCGA-D8-A142-01A-11R-A115-07,-0.5977325438914084,1
TCGA-BH-A0BC-01A-22R-A084-07,-0.6813316686059535,1
TCGA-A2-A0EY-01A-11R-A034-07,-0.6017913260509581,0
TCGA-D8-A1J8-01A-11R-A13Q-07,-0.21816730273175694,0
TCGA-A8-A06Y-01A-21R-A00Z-07,-0.5117476752891482,1
TCGA-EW-A1J1-01A-11R-A13Q-07,-0.39231530302837253,0
TCGA-BH-A0C0-01A-21R-A056-07,-0.5650034429021117,1
TCGA-AC-A2FK-01A-12R-A180-07,-9.523009341492292,1
TCGA-A2-A3XV-01A-21R-A239-07,-0.2938122752552626,1
TCGA-BH-A0HB-01A-11R-A056-07,-0.4201289079121948,1
TCGA-AN-A0XL-01A-11R-A10J-07,-0.7485532517425622,0
TCGA-E2-A10B-01A-11R-A10J-07,-0.7149441485684846,0
TCGA-A2-A04X-01A-21R-A034-07,-0.8346821685740086,0
TCGA-AR-A1AN-01A-11R-A12P-07,-0.6855466515799133,1
TCGA-A2-A0EM-01A-11R-A034-07,-0.7202759892569758,1
TCGA-B6-A0WS-01A-11R-A115-07,-0.8300890801379087,1
TCGA-D8-A1XD-01A-11R-A14D-07,-0.4714945765388177,1
TCGA-A8-A091-01A-11R-A00Z-07,-0.4217996934873885,1
TCGA-E9-A2JS-01A-11R-A180-07,-0.4776061510797966,1
TCGA-A2-A1G1-01A-21R-A13Q-07,-0.33764310541053294,1
TCGA-E9-A22B-01A-11R-A157-07,-0.5278433664254744,1
TCGA-D8-A27G-01A-11R-A16F-07,-0.8352905853693521,1
TCGA-A7-A13E-01A-11R-A12P-07,-0.4384851597656616,1
TCGA-BH-A0AY-01A-21R-A00Z-07,-0.6997889044965213,1
TCGA-E2-A1L7-01A-11R-A144-07,-0.52016366686,1
TCGA-AN-A046-01A-21R-A034-07,-0.7072658182548454,1
TCGA-AN-A0AL-01A-11R-A00Z-07,-0.4409546982191913,1
TCGA-D8-A27K-01A-11R-A16F-07,-0.5772621050663107,1
TCGA-BH-A0DO-01B-11R-A12D-07,-0.7127059159586392,1
TCGA-A7-A4SB-01A-21R-A266-07,-0.4777491404101822,1
TCGA-EW-A6SB-01A-12R-A32P-07,-0.4117904700185354,0
TCGA-D8-A1JM-01A-11R-A13Q-07,-0.24008962910916898,1
TCGA-OL-A66J-01A-11R-A29R-07,-0.5466911582070284,1
TCGA-D8-A13Y-01A-11R-A115-07,-0.2662192737737565,1
TCGA-AR-A24N-01A-11R-A169-07,-0.554590577609691,1
TCGA-BH-A0B1-01A-12R-A056-07,-0.5763541729486027,1
TCGA-B6-A0RN-01A-12R-A084-07,-0.7526954125715728,1
TCGA-A2-A0T1-01A-21R-A084-07,-0.9013275722589045,1
TCGA-AN-A0AM-01A-11R-A034-07,-0.5406982876917,1
TCGA-E2-A1LA-01A-11R-A144-07,-0.6051009822724726,1
TCGA-JL-A3YW-01A-12R-A239-07,-0.6976820891984251,1
TCGA-BH-A0H3-01A-11R-A12P-07,-0.6880195366017436,1
TCGA-E2-A1IF-01A-11R-A144-07,-0.5751080644470776,1
TCGA-C8-A26X-01A-31R-A16F-07,-0.9096135518248906,1
TCGA-A8-A09B-01A-11R-A00Z-07,-0.7628291675179389,1
TCGA-A7-A26G-01A-21R-A169-07,-0.3886176902077847,0
TCGA-AC-A2FE-01A-11R-A19W-07,-0.8487913691197878,1
TCGA-A8-A08G-01A-11R-A00Z-07,-0.6680333205247817,1
TCGA-AN-A0FJ-01A-11R-A00Z-07,-0.404885705907202,1
TCGA-B6-A0RV-01A-11R-A084-07,-0.8199142560763076,0
TCGA-B6-A0WV-01A-11R-A109-07,-0.6361014269229368,0
