sample_id,score,y_member
TCGA-E2-A158-01A-11R-A12D-07,-1.2758912549827295,1
TCGA-AO-A1KO-01A-31R-A13Q-07,-1.287392466096413,1
TCGA-AR-A0TX-01A-11R-A084-07,-1.608514473182537,0
TCGA-D8-A1XB-01A-11R-A14D-07,-0.8901308834056354,1
TCGA-B6-A0IG-01A-11R-A034-07,-1.0762671176100815,1
TCGA-AC-A5EH-01A-11R-A28M-07,-1.6238798688626999,1
TCGA-LL-A7SZ-01A-32R-A352-07,-1.1349622510378186,1
TCGA-A7-A26J-01A-11R-A169-07,-1.0103047051766356,1
TCGA-E9-A22H-01A-11R-A157-07,-1.6623263437609803,1
TCGA-BH-A208-01A-11R-A157-07,-1.2941553694775176,1
TCGA-BH-A6R9-01A-21R-A32P-07,-1.37490266492645,1
TCGA-OL-A5S0-01A-11R-A28M-07,-1.394586154789708,1
TCGA-A1-A0SD-01A-11R-A115-07,-0.9761907390416202,1
TCGA-AO-A0JB-01A-11R-A32Y-07,-1.4949433510983396,1
TCGA-E2-A1BD-01A-11R-A12P-07,-0.945344598366204,1
TCGA-AN-A0AS-01A-11R-A00Z-07,-1.0534242194207657,1
TCGA-A7-A13G-01A-11R-A13Q-07,-1.1158386907174738,1
TCGA-B6-A0RS-01A-11R-A084-07,-1.5680518584660124,1
TCGA-A2-A4S0-01A-21R-A266-07,-1.0941874777567158,0
TCGA-BH-A1F5-01A-12R-A13Q-07,-0.948724510769529,1
TCGA-A2-A0CX-01A-21R-A00Z-07,-1.6885714786141723,1
TCGA-A7-A13D-01A-13R-A12P-07,-1.5558544104445002,0
TCGA-AN-A03Y-01A-21R-A00Z-07,-1.793789882536087,1
TCGA-E9-A1ND-01A-11R-A144-07,-1.5233603494834118,0
TCGA-EW-A1P5-01A-11R-A144-07,-0.9886371844873053,1
TCGA-EW-A423-01A-11R-A24H-07,-1.0683663100060556,1
TCGA-A7-A5ZV-01A-11R-A28M-07,-1.4052676782612743,1
TCGA-C8-A8HP-01A-11R-A36F-07,-1.7846495914887464,1
TCGA-AQ-A54O-01A-11R-A266-07,-1.6727657986129443,1
TCGA-E9-A5FK-01A-11R-A27Q-07,-0.9524197666487847,1
TCGA-D8-A142-01A-11R-A115-07,-1.6117018970875194,1
TCGA-BH-A0BC-01A-22R-A084-07,-0.9954004466763011,1
TCGA-A2-A0EY-01A-11R-A034-07,-1.6696542031632942,1
TCGA-D8-A1J8-01A-11R-A13Q-07,-1.7011598480328354,1
TCGA-A8-A06Y-01A-21R-A00Z-07,-1.0134339293545094,0
TCGA-EW-A1J1-01A-11R-A13Q-07,-0.99667899124162,1
TCGA-BH-A0C0-01A-21R-A056-07,-1.8552701682730262,0
TCGA-AC-A2FK-01A-12R-A180-07,-1.3788663783485913,0
TCGA-A2-A3XV-01A-21R-A239-07,-1.7547375833141274,0
TCGA-BH-A0HB-01A-11R-A056-07,-1.1496645365960154,1
TCGA-AN-A0XL-01A-11R-A10J-07,-0.9532927911692676,1
TCGA-E2-A10B-01A-11R-A10J-07,-0.9532890376243092,1
TCGA-A2-A04X-01A-21R-A034-07,-1.7167351067127674,1
TCGA-AR-A1AN-01A-11R-A12P-07,-0.8810475888229504,1
TCGA-A2-A0EM-01A-11R-A034-07,-0.977860306223811,0
TCGA-B6-A0WS-01A-11R-A115-07,-1.1347712645534753,1
TCGA-D8-A1XD-01A-11R-A14D-07,-0.879002224335727,1
TCGA-A8-A091-01A-11R-A00Z-07,-0.9097276956223467,1
TCGA-E9-A2JS-01A-11R-A180-07,-1.7808441711431222,0
TCGA-A2-A1G1-01A-21R-A13Q-07,-1.2028114166937367,1
TCGA-E9-A22B-01A-11R-A157-07,-1.109296955072443,0
TCGA-D8-A27G-01A-11R-A16F-07,-1.0816682667745674,1
TCGA-A7-A13E-01A-11R-A12P-07,-1.4917336559810874,1
TCGA-BH-A0AY-01A-21R-A00Z-07,-1.0281483660376611,0
TCGA-E2-A1L7-01A-11R-A144-07,-1.9896584868776732,1
TCGA-AN-A046-01A-21R-A034-07,-0.9848046374631061,0
TCGA-AN-A0AL-01A-11R-A00Z-07,-1.3031194028359396,0
TCGA-D8-A27K-01A-11R-A16F-07,-0.9384400932792524,1
TCGA-BH-A0DO-01B-11R-A12D-07,-0.931939357847042,0
TCGA-A7-A4SB-01A-21R-A266-07,-0.9147819405268112,0
TCGA-EW-A6SB-01A-12R-A32P-07,-1.4105415025414385,1
TCGA-D8-A1JM-01A-11R-A13Q-07,-1.3985196153354644,1
TCGA-OL-A66J-01A-11R-A29R-07,-0.9153637090144111,1
TCGA-D8-A13Y-01A-11R-A115-07,-1.9276060527506156,1
TCGA-AR-A24N-01A-11R-A169-07,-1.5876304195337898,1
TCGA-BH-A0B1-01A-12R-A056-07,-0.989343867504991,1
TCGA-B6-A0RN-01A-12R-A084-07,-0.8654211396242139,1
TCGA-A2-A0T1-01A-21R-A084-07,-1.7182615099039542,1
TCGA-AN-A0AM-01A-11R-A034-07,-1.8342754968740633,1
TCGA-E2-A1LA-01A-11R-A144-07,-1.0277345953306143,0
TCGA-JL-A3YW-01A-12R-A239-07,-1.5853743272278737,0
TCGA-BH-A0H3-01A-11R-A12P-07,-0.8231541750572101,1
TCGA-E2-A1IF-01A-11R-A144-07,-0.907535945622521,1
TCGA-C8-A26X-01A-31R-A16F-07,-1.8816139015696236,1
TCGA-A8-A09B-01A-11R-A00Z-07,-0.9253669417946252,0
TCGA-A7-A26G-01A-21R-A169-07,-1.53515901741916,1
TCGA-AC-A2FE-01A-11R-A19W-07,-0.8972868152853789,1
TCGA-A8-A08G-01A-11R-A00Z-07,-1.8732157759048138,0
TCGA-AN-A0FJ-01A-11R-A00Z-07,-1.4738851777611057,1
TCGA-B6-A0RV-01A-11R-A084-07,-0.9485538383517421,1
TCGA-B6-A0WV-01A-11R-A109-07,-1.7525231073506249,1
TCGA-A8-A07P-01A-11R-A00Z-07,-1.0063164459387517,1
TCGA-A8-A08H-01A-21R-A00Z-07,-1.4990840425736691,1
TCGA-AR-A0TW-01A-11R-A084-07,-1.1631010807344184,1
TCGA-E2-A15F-01A-11R-A115-07,-0.9845728870595783,1
TCGA-B6-A0WX-01A-11R-A109-07,-1.4874255012736814,1
