sample_id,score,y_member
TCGA-E2-A158-01A-11R-A12D-07,-2.4459194517369856,1
TCGA-AO-A1KO-01A-31R-A13Q-07,-2.1837818832168994,0
TCGA-AR-A0TX-01A-11R-A084-07,-2.422516896787706,1
TCGA-D8-A1XB-01A-11R-A14D-07,-1.3594053336517247,1
TCGA-B6-A0IG-01A-11R-A034-07,-1.3076854290029953,0
TCGA-AC-A5EH-01A-11R-A28M-07,-2.492294440930244,0
TCGA-LL-A7SZ-01A-32R-A352-07,-1.5104124450356644,1
TCGA-A7-A26J-01A-11R-A169-07,-1.3668669035723513,1
TCGA-E9-A22H-01A-11R-A157-07,-2.0312765106211956,0
TCGA-BH-A208-01A-11R-A157-07,-2.5797489240759224,1
TCGA-BH-A6R9-01A-21R-A32P-07,-2.6587155860318106,0
TCGA-OL-A5S0-01A-11R-A28M-07,-2.3885980555234814,1
TCGA-A1-A0SD-01A-11R-A115-07,-1.3366527473246856,1
TCGA-AO-A0JB-01A-11R-A32Y-07,-2.054612503872261,1
TCGA-E2-A1BD-01A-11R-A12P-07,-1.4176176719867857,0
TCGA-AN-A0AS-01A-11R-A00Z-07,-1.2835106904354276,1
TCGA-A7-A13G-01A-11R-A13Q-07,-1.3996661215306283,1
TCGA-B6-A0RS-01A-11R-A084-07,-2.3638197905057208,1
TCGA-A2-A4S0-01A-21R-A266-07,-1.3820844059178252,1
TCGA-BH-A1F5-01A-12R-A13Q-07,-1.3904509831561893,0
TCGA-A2-A0CX-01A-21R-A00Z-07,-2.263031973160875,1
TCGA-A7-A13D-01A-13R-A12P-07,-2.152157276835361,1
TCGA-AN-A03Y-01A-21R-A00Z-07,-2.256337546497552,1
TCGA-E9-A1ND-01A-11R-A144-07,-2.1244991928623267,1
TCGA-EW-A1P5-01A-11R-A144-07,-1.275122746669997,0
TCGA-EW-A423-01A-11R-A24H-07,-1.3861369565444952,1
TCGA-A7-A5ZV-01A-11R-A28M-07,-2.134426811483674,1
TCGA-C8-A8HP-01A-11R-A36F-07,-2.4234953479092085,1
TCGA-AQ-A54O-01A-11R-A266-07,-2.466058061555915,0
TCGA-E9-A5FK-01A-11R-A27Q-07,-1.4793692142909025,1
TCGA-D8-A142-01A-11R-A115-07,-2.5538430195123842,0
TCGA-BH-A0BC-01A-22R-A084-07,-1.3685445223112362,0
TCGA-A2-A0EY-01A-11R-A034-07,-2.4648304654667443,1
TCGA-D8-A1J8-01A-11R-A13Q-07,-2.109638613928384,1
TCGA-A8-A06Y-01A-21R-A00Z-07,-1.310167568730618,1
TCGA-EW-A1J1-01A-11R-A13Q-07,-1.2610994907012663,1
TCGA-BH-A0C0-01A-21R-A056-07,-2.3532359584772657,1
TCGA-AC-A2FK-01A-12R-A180-07,-2.716346705599092,1
TCGA-A2-A3XV-01A-21R-A239-07,-2.391228568527027,1
TCGA-BH-A0HB-01A-11R-A056-07,-1.2634797725171585,1
TCGA-AN-A0XL-01A-11R-A10J-07,-1.293318603979156,1
TCGA-E2-A10B-01A-11R-A10J-07,-1.2975934405647231,1
TCGA-A2-A04X-01A-21R-A034-07,-2.321062107172285,1
TCGA-AR-A1AN-01A-11R-A12P-07,-1.2366873172146609,1
