sample_id,score,y_member
TCGA-E2-A158-01A-11R-A12D-07,-0.14873399334147383,0
TCGA-AO-A1KO-01A-31R-A13Q-07,-0.16159689670570726,1
TCGA-AR-A0TX-01A-11R-A084-07,-0.2016472616775272,1
TCGA-D8-A1XB-01A-11R-A14D-07,-0.1672824317442744,1
TCGA-B6-A0IG-01A-11R-A034-07,-0.15921402177199775,1
TCGA-AC-A5EH-01A-11R-A28M-07,-0.18476683630844187,1
TCGA-LL-A7SZ-01A-32R-A352-07,-0.1773659755717492,1
TCGA-A7-A26J-01A-11R-A169-07,-0.14444346537080904,0
TCGA-E9-A22H-01A-11R-A157-07,-0.18563664405240768,1
TCGA-BH-A208-01A-11R-A157-07,-0.16717848835158322,1
TCGA-BH-A6R9-01A-21R-A32P-07,-0.17598081287680473,1
TCGA-OL-A5S0-01A-11R-A28M-07,-0.16385219345491914,0
TCGA-A1-A0SD-01A-11R-A115-07,-0.14755000653472947,1
TCGA-AO-A0JB-01A-11R-A32Y-07,-0.18383277349977,1
TCGA-E2-A1BD-01A-11R-A12P-07,-0.15953823342239376,1
TCGA-AN-A0AS-01A-11R-A00Z-07,-0.1793616638350226,1
TCGA-A7-A13G-01A-11R-A13Q-07,-0.1738007444385801,1
TCGA-B6-A0RS-01A-11R-A084-07,-0.1863833877134629,1
TCGA-A2-A4S0-01A-21R-A266-07,-0.19840182412834853,1
TCGA-BH-A1F5-01A-12R-A13Q-07,-0.20011693733298497,1
TCGA-A2-A0CX-01A-21R-A00Z-07,-0.18617327155707714,0
TCGA-A7-A13D-01A-13R-A12P-07,-0.18995509149255088,1
TCGA-AN-A03Y-01A-21R-A00Z-07,-0.18411630660639663,1
TCGA-E9-A1ND-01A-11R-A144-07,-0.19197868895467632,1
TCGA-EW-A1P5-01A-11R-A144-07,-0.1732856171456615,1
TCGA-EW-A423-01A-11R-A24H-07,-0.14701099005230595,1
TCGA-A7-A5ZV-01A-11R-A28M-07,-0.1821174927192585,1
TCGA-C8-A8HP-01A-11R-A36F-07,-0.16270667229294847,0
TCGA-AQ-A54O-01A-11R-A266-07,-0.16670531796148796,1
TCGA-E9-A5FK-01A-11R-A27Q-07,-0.12311766977011994,0
TCGA-D8-A142-01A-11R-A115-07,-0.18861903934871518,1
TCGA-BH-A0BC-01A-22R-A084-07,-0.1689428441766858,1
TCGA-A2-A0EY-01A-11R-A034-07,-0.14716287576561957,1
TCGA-D8-A1J8-01A-11R-A13Q-07,-0.17863897994139882,1
TCGA-A8-A06Y-01A-21R-A00Z-07,-0.19789793608324577,1
TCGA-EW-A1J1-01A-11R-A13Q-07,-0.21622110052556529,1
TCGA-BH-A0C0-01A-21R-A056-07,-0.18699456595573924,1
TCGA-AC-A2FK-01A-12R-A180-07,-0.16478250060663668,1
TCGA-A2-A3XV-01A-21R-A239-07,-0.15599980383170733,1
TCGA-BH-A0HB-01A-11R-A056-07,-0.17699351702133645,1
TCGA-AN-A0XL-01A-11R-A10J-07,-0.12715819348153798,1
TCGA-E2-A10B-01A-11R-A10J-07,-0.1418213953404641,1
TCGA-A2-A04X-01A-21R-A034-07,-0.1444336393503621,1
TCGA-AR-A1AN-01A-11R-A12P-07,-0.2050549007926221,1
TCGA-A2-A0EM-01A-11R-A034-07,-0.14208171201415634,1
TCGA-B6-A0WS-01A-11R-A115-07,-0.1655640626779396,0
TCGA-D8-A1XD-01A-11R-A14D-07,-0.191397510328592,0
TCGA-A8-A091-01A-11R-A00Z-07,-0.1329895766619131,1
TCGA-E9-A2JS-01A-11R-A180-07,-0.21897320526539182,1
TCGA-A2-A1G1-01A-21R-A13Q-07,-0.21912764460395173,1
TCGA-E9-A22B-01A-11R-A157-07,-0.17705470639396398,1
TCGA-D8-A27G-01A-11R-A16F-07,-0.18088658998976945,1
TCGA-A7-A13E-01A-11R-A12P-07,-0.18168336224066697,1
TCGA-BH-A0AY-01A-21R-A00Z-07,-0.18061723442598024,1
TCGA-E2-A1L7-01A-11R-A144-07,-0.202407227277704,0
TCGA-AN-A046-01A-21R-A034-07,-0.14710613162281239,1
TCGA-AN-A0AL-01A-11R-A00Z-07,-0.1894325706793146,1
TCGA-D8-A27K-01A-11R-A16F-07,-0.1563051881639724,0
TCGA-BH-A0DO-01B-11R-A12D-07,-0.1519226991313783,1
TCGA-A7-A4SB-01A-21R-A266-07,-0.15605440094133402,1
TCGA-EW-A6SB-01A-12R-A32P-07,-0.18153542920716353,1
TCGA-D8-A1JM-01A-11R-A13Q-07,-0.20283419551453152,1
TCGA-OL-A66J-01A-11R-A29R-07,-0.18045409377768437,1
TCGA-D8-A13Y-01A-11R-A115-07,-0.18423657992650577,1
TCGA-AR-A24N-01A-11R-A169-07,-0.19063734900522214,1
TCGA-BH-A0B1-01A-12R-A056-07,-0.17698259597458302,1
TCGA-B6-A0RN-01A-12R-A084-07,-0.1601391014323995,0
TCGA-A2-A0T1-01A-21R-A084-07,-0.17865069047730092,1
TCGA-AN-A0AM-01A-11R-A034-07,-0.18620304360857634,1
TCGA-E2-A1LA-01A-11R-A144-07,-0.1364462556412609,1
TCGA-JL-A3YW-01A-12R-A239-07,-0.18867709079587625,1
TCGA-BH-A0H3-01A-11R-A12P-07,-0.1532050036809907,1
TCGA-E2-A1IF-01A-11R-A144-07,-0.1942257309665191,1
TCGA-C8-A26X-01A-31R-A16F-07,-0.21495580148286803,1
TCGA-A8-A09B-01A-11R-A00Z-07,-0.1553387316095705,1
TCGA-A7-A26G-01A-21R-A169-07,-0.20016894363807272,1
TCGA-AC-A2FE-01A-11R-A19W-07,-0.14319298816454987,1
TCGA-A8-A08G-01A-11R-A00Z-07,-0.17026598130553441,1
TCGA-AN-A0FJ-01A-11R-A00Z-07,-0.16712319441321874,1
TCGA-B6-A0RV-01A-11R-A084-07,-0.18061862910555937,1
TCGA-B6-A0WV-01A-11R-A109-07,-0.13845436829933433,1
TCGA-A8-A07P-01A-11R-A00Z-07,-0.12732608812282195,1
TCGA-A8-A08H-01A-21R-A00Z-07,-0.20224472141989752,1
TCGA-AR-A0TW-01A-11R-A084-07,-0.17646923266542724,0
TCGA-E2-A15F-01A-11R-A115-07,-0.17696505679794367,1
TCGA-B6-A0WX-01A-11R-A109-07,-0.20222259699850714,0
TCGA-D8-A1Y1-01A-21R-A14M-07,-0.17431218064227152,1
TCGA-E2-A14Z-01A-11R-A115-07,-0.17159118680700086,1
TCGA-A2-A25A-01A-12R-A16F-07,-0.1804744877489214,1
TCGA-A2-A0CT-01A-31R-A056-07,-0.1657351842078915,0
TCGA-HN-A2OB-01A-21R-A27Q-07,-0.10435794284769448,1
TCGA-B6-A0RT-01A-21R-A084-07,-0.19660718408482442,1
TCGA-AR-A24T-01A-11R-A169-07,-0.14168950461724777,1
TCGA-E9-A1R0-01A-22R-A16F-07,-0.12382409380547336,1
TCGA-E9-A5FL-01A-11R-A27Q-07,-0.14727054528848688,1
TCGA-E2-A3DX-01A-21R-A213-07,-0.1363253004689876,0
TCGA-E2-A14T-01A-11R-A115-07,-0.19596664189155397,1
TCGA-A2-A4RY-01A-31R-A266-07,-0.15664415006749458,1
TCGA-AR-A2LK-01A-11R-A180-07,-0.17575366111209195,1
TCGA-BH-A42U-01A-12R-A24H-07,-0.13680019272752528,0
TCGA-AO-A12C-01A-11R-A10J-07,-0.14764880746971248,1
