sample_id,score,y_member
TCGA-B0-5115-01A-01R-1420-07,0.22483503718829467,0
TCGA-EJ-A46E-01A-31R-A250-07,0.40039113035716706,0
TCGA-DD-AAE7-01A-11R-A41C-07,0.8470452540848868,1
TCGA-Z6-A8JE-01A-11R-A37I-31,0.5918323299778616,0
TCGA-A8-A08F-01A-11R-A00Z-07,0.891627752073131,1
TCGA-59-2350-01A-01R-1569-13,0.6449042755264126,1
TCGA-CZ-4858-01A-01R-1305-07,0.7963491228060824,1
TCGA-CZ-5470-01A-01R-1503-07,0.6903223870790157,1
TCGA-AN-A0XN-01A-21R-A109-07,0.6503368087149465,1
TCGA-37-A5EL-01A-11R-A26W-07,0.9036027648493521,1
TCGA-46-6025-01A-11R-1820-07,0.3926938245090609,0
TCGA-AN-A0XS-01A-22R-A109-07,0.7542994050411191,1
TCGA-M7-A725-01A-12R-A32O-07,0.3021313505729298,0
TCGA-XN-A8T3-01A-11R-A36G-07,0.6783279733769343,1
TCGA-3K-AAZ8-01A-12R-A39D-07,0.8532153601950706,1
TCGA-B9-5155-01A-01R-1592-07,0.34451650168469483,0
TCGA-OK-A5Q2-01A-11R-A27Q-07,0.3847489004940916,0
TCGA-2Y-A9H8-01A-11R-A39D-07,0.9350351436311682,1
TCGA-30-1866-01A-02R-1568-13,0.8566347803991592,1
TCGA-SX-A7SO-01A-11R-A355-07,0.5445917595412254,0
TCGA-55-7283-01A-11R-2039-07,0.5911132188724839,1
TCGA-M7-A720-01A-12R-A32O-07,0.3972903241878968,0
TCGA-91-6828-01A-11R-1858-07,0.7878631945259654,1
TCGA-D8-A1JF-01A-11R-A13Q-07,0.9029884891372787,1
TCGA-D8-A1JG-01B-11R-A13Q-07,0.9436588333881271,1
TCGA-AL-3468-01A-02R-1351-07,0.7945538522021822,1
TCGA-21-1082-01A-01R-0692-07,0.8695138248065014,1
TCGA-A4-8311-01A-11R-2404-07,0.5844035887789077,0
TCGA-BD-A3EP-01A-11R-A22L-07,0.5252895153116997,1
TCGA-92-7340-01A-21R-2045-07,0.8397384006336517,1
TCGA-EJ-A65B-01A-12R-A30B-07,0.38423325561474264,0
TCGA-HC-8261-01B-05R-2302-07,0.2676580662775718,0
TCGA-AZ-6601-01A-11R-1774-07,0.23720542815232473,0
TCGA-B0-4703-01A-01R-1277-07,0.5207887893408253,1
TCGA-AA-A004-01A-01R-A00A-07,0.926831574311,1
TCGA-30-1862-01A-02R-1568-13,0.33572718409976354,0
TCGA-09-2045-01A-01R-1568-13,0.8156829074794373,1
TCGA-E2-A10F-01A-11R-A10J-07,0.4861459612248946,1
TCGA-OL-A6VO-01A-12R-A33J-07,0.5768515898781807,0
TCGA-BQ-5884-01A-11R-1592-07,0.41956109660680746,0
TCGA-49-4507-01A-01R-1206-07,0.855676255830008,1
TCGA-ZG-A9LS-01A-12R-A41O-07,0.751073786784918,1
TCGA-AN-A0FW-01A-11R-A034-07,0.5734905615109979,0
TCGA-A6-A5ZU-01A-11R-A28H-07,0.4751417068550871,0
TCGA-QU-A6IL-01A-11R-A31N-07,0.6795337481690968,1
TCGA-67-4679-01B-01R-1755-07,0.8512603239281301,1
TCGA-DM-A28G-01A-11R-A16W-07,0.5878644576208688,1
TCGA-IB-AAUV-01A-11R-A38C-07,0.5346364159607708,1
TCGA-FB-AAPZ-01A-11R-A41B-07,0.6847472992394091,1
TCGA-DD-AAEG-01A-11R-A39D-07,0.9257692974870623,1
TCGA-24-0975-01A-02R-1565-13,0.8208833903610705,1
TCGA-AA-3841-01A-01R-0905-07,0.7406682752945065,1
TCGA-75-6211-01A-11R-1755-07,0.8240542713393882,1
TCGA-IB-7887-01A-11R-2156-07,0.7318392555345671,1
TCGA-78-7161-01A-11R-2039-07,0.4094993935294316,0
TCGA-B0-5699-01A-11R-1541-07,0.662616658701933,1
TCGA-DD-A113-01A-11R-A131-07,0.9381088428202273,1
