sample_id,score,y_member
TCGA-B0-5115-01A-01R-1420-07,0.6655578914567456,1
TCGA-EJ-A46E-01A-31R-A250-07,0.7234102009439122,1
TCGA-DD-AAE7-01A-11R-A41C-07,0.20414716507569983,0
TCGA-Z6-A8JE-01A-11R-A37I-31,0.8176669379108756,1
TCGA-A8-A08F-01A-11R-A00Z-07,0.2705548176608726,0
TCGA-59-2350-01A-01R-1569-13,0.7542773831088607,1
TCGA-CZ-4858-01A-01R-1305-07,0.8831431234234162,1
TCGA-CZ-5470-01A-01R-1503-07,0.75727211542519,1
TCGA-AN-A0XN-01A-21R-A109-07,0.29227939249552026,0
TCGA-37-A5EL-01A-11R-A26W-07,0.8044804261965753,1
TCGA-46-6025-01A-11R-1820-07,0.8022950464079438,1
TCGA-AN-A0XS-01A-22R-A109-07,0.42529618519735396,0
TCGA-M7-A725-01A-12R-A32O-07,0.8208467344394893,1
TCGA-XN-A8T3-01A-11R-A36G-07,0.7257448423091365,1
TCGA-3K-AAZ8-01A-12R-A39D-07,0.21464540882881622,0
TCGA-B9-5155-01A-01R-1592-07,0.7676305104877689,1
TCGA-OK-A5Q2-01A-11R-A27Q-07,0.5739086527949973,1
TCGA-2Y-A9H8-01A-11R-A39D-07,0.8205728528844323,1
TCGA-30-1866-01A-02R-1568-13,0.8356666239003119,1
TCGA-SX-A7SO-01A-11R-A355-07,0.8465555844604478,1
TCGA-55-7283-01A-11R-2039-07,0.7530127906611069,1
TCGA-M7-A720-01A-12R-A32O-07,0.6984341376633518,1
TCGA-91-6828-01A-11R-1858-07,0.6940887298400804,1
TCGA-D8-A1JF-01A-11R-A13Q-07,0.7816629836451241,1
TCGA-D8-A1JG-01B-11R-A13Q-07,0.7744283802767046,1
TCGA-AL-3468-01A-02R-1351-07,0.7640355789833085,1
TCGA-21-1082-01A-01R-0692-07,0.7262583288217983,1
TCGA-A4-8311-01A-11R-2404-07,0.6695587807821629,1
TCGA-BD-A3EP-01A-11R-A22L-07,0.6738171258269958,1
TCGA-92-7340-01A-21R-2045-07,0.7619896940120306,1
TCGA-EJ-A65B-01A-12R-A30B-07,0.73778581001141,1
TCGA-HC-8261-01B-05R-2302-07,0.8454264541487606,1
TCGA-AZ-6601-01A-11R-1774-07,0.7609332136106937,1
TCGA-B0-4703-01A-01R-1277-07,0.7366567836222719,1
TCGA-AA-A004-01A-01R-A00A-07,0.8741857989162791,1
TCGA-30-1862-01A-02R-1568-13,0.7375305534791727,1
TCGA-09-2045-01A-01R-1568-13,0.23516759942624668,0
TCGA-E2-A10F-01A-11R-A10J-07,0.36499933250676,0
TCGA-OL-A6VO-01A-12R-A33J-07,0.8025780057788237,1
TCGA-BQ-5884-01A-11R-1592-07,0.8427976057145901,1
TCGA-49-4507-01A-01R-1206-07,0.23178703865065076,0
TCGA-ZG-A9LS-01A-12R-A41O-07,0.1804140646117278,0
TCGA-AN-A0FW-01A-11R-A034-07,0.7647691425696237,1
TCGA-A6-A5ZU-01A-11R-A28H-07,0.8585206948010661,1
TCGA-QU-A6IL-01A-11R-A31N-07,0.7705119731063942,1
TCGA-67-4679-01B-01R-1755-07,0.7628482581997147,1
TCGA-DM-A28G-01A-11R-A16W-07,0.6852417739891825,1
TCGA-IB-AAUV-01A-11R-A38C-07,0.7450033607904164,1
TCGA-FB-AAPZ-01A-11R-A41B-07,0.7607413898212613,1
TCGA-DD-AAEG-01A-11R-A39D-07,0.2325114838497816,0
TCGA-24-0975-01A-02R-1565-13,0.18782517547731756,0
TCGA-AA-3841-01A-01R-0905-07,0.7590923161227244,1
TCGA-75-6211-01A-11R-1755-07,0.8044383223080753,1
TCGA-IB-7887-01A-11R-2156-07,0.8594133690406428,1
TCGA-78-7161-01A-11R-2039-07,0.8036556628229075,1
TCGA-B0-5699-01A-11R-1541-07,0.766834073462637,1
TCGA-DD-A113-01A-11R-A131-07,0.8351745480633737,1
TCGA-E9-A1R2-01A-11R-A14D-07,0.7084341259367969,1
TCGA-78-7536-01A-11R-2066-07,0.8474691000326539,1
TCGA-B6-A0WY-01A-11R-A109-07,0.3749514814511733,0
TCGA-ZP-A9CY-01A-11R-A38B-07,0.22510751574300045,0
TCGA-EJ-5495-01A-01R-1580-07,0.6323798558681242,1
TCGA-2H-A9GJ-01A-11R-A37I-31,0.8699862401577921,1
TCGA-AA-3955-01A-02R-1022-07,0.26592699946071563,0
TCGA-20-1684-01A-01R-1566-13,0.7888615734498312,1
TCGA-AA-3697-01A-01R-1723-07,0.6970339525916166,1
TCGA-56-5898-01A-11R-1635-07,0.7003267444686406,1
TCGA-BP-4801-01A-02R-1420-07,0.7547186370271424,1
TCGA-D8-A146-01A-31R-A115-07,0.5876561066466118,1
TCGA-DD-AACJ-01A-11R-A41C-07,0.8057677318385122,1
TCGA-BQ-5892-01A-11R-1592-07,0.8220029056098921,1
TCGA-BH-A0BF-01A-21R-A12P-07,0.618641414344523,1
TCGA-HZ-8003-01A-21R-2204-07,0.8002808037822073,1
TCGA-BH-A1EU-01A-11R-A137-07,0.36945001978326597,0
TCGA-61-1900-01A-01R-1567-13,0.8083199523377088,1
TCGA-AM-5821-01A-01R-1653-07,0.8516494954595504,1
TCGA-A7-A26J-01A-11R-A169-07,0.6689222057518777,1
TCGA-AR-A1AT-01A-11R-A12P-07,0.7141616758969224,1
TCGA-OL-A5S0-01A-11R-A28M-07,0.31129367167739086,0
TCGA-63-6202-01A-11R-1820-07,0.7849678254970177,1
TCGA-A2-A3XV-01A-21R-A239-07,0.793337185611805,1
TCGA-CH-5772-01A-11R-1580-07,0.7665026092884848,1
TCGA-OL-A5DA-01A-11R-A27Q-07,0.6460547896394123,1
TCGA-2Z-A9J1-01A-11R-A38C-07,0.15730009710476597,0
TCGA-LN-A8I0-01A-11R-A36D-31,0.8523226659347906,1
TCGA-50-8460-01A-11R-2326-07,0.21517842841348694,0
TCGA-86-8279-01A-11R-2287-07,0.765643831627079,1
TCGA-56-A4ZJ-01A-11R-A262-07,0.2258353408582659,0
