sample_id,score,y_member
TCGA-B0-5115-01A-01R-1420-07,0.460489129370071,0
TCGA-EJ-A46E-01A-31R-A250-07,0.5154828359077483,0
TCGA-DD-AAE7-01A-11R-A41C-07,0.3296188929501856,1
TCGA-Z6-A8JE-01A-11R-A37I-31,0.9559243046782758,0
TCGA-A8-A08F-01A-11R-A00Z-07,0.8660683956610713,1
TCGA-59-2350-01A-01R-1569-13,0.599844615090519,1
TCGA-CZ-4858-01A-01R-1305-07,0.8662242375895308,1
TCGA-CZ-5470-01A-01R-1503-07,0.739811200124349,1
TCGA-AN-A0XN-01A-21R-A109-07,0.8556222677149529,1
TCGA-37-A5EL-01A-11R-A26W-07,0.6353912235343185,1
TCGA-46-6025-01A-11R-1820-07,0.5806329738406834,0
TCGA-AN-A0XS-01A-22R-A109-07,0.8948855492663498,1
TCGA-M7-A725-01A-12R-A32O-07,0.7817489418375936,0
TCGA-XN-A8T3-01A-11R-A36G-07,0.7899540584801871,1
TCGA-3K-AAZ8-01A-12R-A39D-07,0.3200188377166666,1
TCGA-B9-5155-01A-01R-1592-07,0.32715094633726677,0
TCGA-OK-A5Q2-01A-11R-A27Q-07,0.8881355942996482,0
TCGA-2Y-A9H8-01A-11R-A39D-07,0.57030985527028,1
TCGA-30-1866-01A-02R-1568-13,0.6830463052728747,1
TCGA-SX-A7SO-01A-11R-A355-07,0.689453774720381,0
TCGA-55-7283-01A-11R-2039-07,0.7686487893266841,1
TCGA-M7-A720-01A-12R-A32O-07,0.5368583608164701,0
TCGA-91-6828-01A-11R-1858-07,0.6740686961078514,1
TCGA-D8-A1JF-01A-11R-A13Q-07,0.8764362578974941,1
TCGA-D8-A1JG-01B-11R-A13Q-07,0.9225370025499615,1
TCGA-AL-3468-01A-02R-1351-07,0.49937421972708734,1
TCGA-21-1082-01A-01R-0692-07,0.6780910689923071,1
TCGA-A4-8311-01A-11R-2404-07,0.23116334116711304,0
TCGA-BD-A3EP-01A-11R-A22L-07,0.5740413729845455,1
TCGA-92-7340-01A-21R-2045-07,0.6512059613337586,1
TCGA-EJ-A65B-01A-12R-A30B-07,0.4657531135363849,0
TCGA-HC-8261-01B-05R-2302-07,0.572231648365056,0
TCGA-AZ-6601-01A-11R-1774-07,0.7192784873324543,0
TCGA-B0-4703-01A-01R-1277-07,0.6390731183425972,1
TCGA-AA-A004-01A-01R-A00A-07,0.3066706036519996,1
TCGA-30-1862-01A-02R-1568-13,0.7428891768033755,0
TCGA-09-2045-01A-01R-1568-13,0.7335498256021876,1
TCGA-E2-A10F-01A-11R-A10J-07,0.8197984339216337,1
TCGA-OL-A6VO-01A-12R-A33J-07,0.9287534750446562,0
TCGA-BQ-5884-01A-11R-1592-07,0.677701818386929,0
TCGA-49-4507-01A-01R-1206-07,0.7139655714064465,1
TCGA-ZG-A9LS-01A-12R-A41O-07,0.8110515478939426,1
TCGA-AN-A0FW-01A-11R-A034-07,0.9060980667772502,0
TCGA-A6-A5ZU-01A-11R-A28H-07,0.8109278302376021,0
TCGA-QU-A6IL-01A-11R-A31N-07,0.32107742631388014,1
TCGA-67-4679-01B-01R-1755-07,0.7442466160227296,1
TCGA-DM-A28G-01A-11R-A16W-07,0.414295928327225,1
TCGA-IB-AAUV-01A-11R-A38C-07,0.5322351908220485,1
TCGA-FB-AAPZ-01A-11R-A41B-07,0.7410051813751756,1
TCGA-DD-AAEG-01A-11R-A39D-07,0.5023487357949168,1
TCGA-24-0975-01A-02R-1565-13,0.6517686142172554,1
TCGA-AA-3841-01A-01R-0905-07,0.14081009162376826,1
TCGA-75-6211-01A-11R-1755-07,0.8043834706530215,1
TCGA-IB-7887-01A-11R-2156-07,0.8445350245962142,1
TCGA-78-7161-01A-11R-2039-07,0.7919585736306866,0
TCGA-B0-5699-01A-11R-1541-07,0.5685472882028616,1
TCGA-DD-A113-01A-11R-A131-07,0.6283594104312563,1
TCGA-E9-A1R2-01A-11R-A14D-07,0.9085384638994844,1
TCGA-78-7536-01A-11R-2066-07,0.787356245031412,1
TCGA-B6-A0WY-01A-11R-A109-07,0.9101973684971366,1
TCGA-ZP-A9CY-01A-11R-A38B-07,0.19429162248495313,1
TCGA-EJ-5495-01A-01R-1580-07,0.5054102590274898,1
TCGA-2H-A9GJ-01A-11R-A37I-31,0.9528871537734663,0
TCGA-AA-3955-01A-02R-1022-07,0.29699738205807447,1
TCGA-20-1684-01A-01R-1566-13,0.6494080547643085,1
TCGA-AA-3697-01A-01R-1723-07,0.4691042299918454,0
TCGA-56-5898-01A-11R-1635-07,0.62823594188273,0
TCGA-BP-4801-01A-02R-1420-07,0.5578473964097618,0
TCGA-D8-A146-01A-31R-A115-07,0.8304620942454343,0
TCGA-DD-AACJ-01A-11R-A41C-07,0.20365538233123867,1
TCGA-BQ-5892-01A-11R-1592-07,0.7805940914867349,1
TCGA-BH-A0BF-01A-21R-A12P-07,0.8908060750924814,1
TCGA-HZ-8003-01A-21R-2204-07,0.7069046727859851,1
TCGA-BH-A1EU-01A-11R-A137-07,0.717378140085542,1
TCGA-61-1900-01A-01R-1567-13,0.7102565213101787,1
TCGA-AM-5821-01A-01R-1653-07,0.6334648591358227,0
