sample_id,score,y_member
TCGA-B0-5115-01A-01R-1420-07,-0.23087162899743444,1
TCGA-EJ-A46E-01A-31R-A250-07,-0.10613913641835228,1
TCGA-DD-AAE7-01A-11R-A41C-07,-0.5663217091197852,1
TCGA-Z6-A8JE-01A-11R-A37I-31,-0.1834903090466013,1
TCGA-A8-A08F-01A-11R-A00Z-07,-0.179828107793053,1
TCGA-59-2350-01A-01R-1569-13,-0.16956404527949656,1
TCGA-CZ-4858-01A-01R-1305-07,-0.35942472859737706,1
TCGA-CZ-5470-01A-01R-1503-07,-0.3082541202820424,1
TCGA-AN-A0XN-01A-21R-A109-07,-0.11153615200594627,1
TCGA-37-A5EL-01A-11R-A26W-07,-0.3119393742516592,1
TCGA-46-6025-01A-11R-1820-07,-0.41889761766423944,1
TCGA-AN-A0XS-01A-22R-A109-07,-0.11113485876687547,1
TCGA-M7-A725-01A-12R-A32O-07,-0.21087496729841815,1
TCGA-XN-A8T3-01A-11R-A36G-07,-0.08520674651636634,0
TCGA-3K-AAZ8-01A-12R-A39D-07,-0.6643458379770297,1
TCGA-B9-5155-01A-01R-1592-07,-0.25984292605931647,1
TCGA-OK-A5Q2-01A-11R-A27Q-07,-0.06866245182193335,1
TCGA-2Y-A9H8-01A-11R-A39D-07,-0.5531757512837993,1
TCGA-30-1866-01A-02R-1568-13,-0.19201697026759115,1
TCGA-SX-A7SO-01A-11R-A355-07,-0.45915660552158954,1
TCGA-55-7283-01A-11R-2039-07,-0.2213184949714448,1
TCGA-M7-A720-01A-12R-A32O-07,-0.11199456671482501,1
TCGA-91-6828-01A-11R-1858-07,-0.13117377598418117,1
TCGA-D8-A1JF-01A-11R-A13Q-07,-0.23519108178087367,1
TCGA-D8-A1JG-01B-11R-A13Q-07,-0.10251537218139112,1
TCGA-AL-3468-01A-02R-1351-07,-0.3195128789852175,1
TCGA-21-1082-01A-01R-0692-07,-0.19334932283502426,1
TCGA-A4-8311-01A-11R-2404-07,-0.20504089727174554,1
TCGA-BD-A3EP-01A-11R-A22L-07,-0.4463159048459555,1
TCGA-92-7340-01A-21R-2045-07,-0.22353026131819595,1
TCGA-EJ-A65B-01A-12R-A30B-07,-0.1384233804664543,1
TCGA-HC-8261-01B-05R-2302-07,-0.1376063557822524,1
TCGA-AZ-6601-01A-11R-1774-07,-0.14027744627653732,1
TCGA-B0-4703-01A-01R-1277-07,-0.26155401025134606,1
TCGA-AA-A004-01A-01R-A00A-07,-0.4007202840636929,1
TCGA-30-1862-01A-02R-1568-13,-0.09182948729011417,1
TCGA-09-2045-01A-01R-1568-13,-0.150557379375265,1
TCGA-E2-A10F-01A-11R-A10J-07,-0.03458861244260094,1
TCGA-OL-A6VO-01A-12R-A33J-07,-0.22158003219451727,1
TCGA-BQ-5884-01A-11R-1592-07,-0.31508771347664,1
TCGA-49-4507-01A-01R-1206-07,-0.1736128346822892,1
TCGA-ZG-A9LS-01A-12R-A41O-07,-0.03827299354818884,1
TCGA-AN-A0FW-01A-11R-A034-07,-0.17286676899007747,1
TCGA-A6-A5ZU-01A-11R-A28H-07,-0.19888903229106134,1
TCGA-QU-A6IL-01A-11R-A31N-07,-0.2604178521840949,1
TCGA-67-4679-01B-01R-1755-07,-0.1589974615265057,0
TCGA-DM-A28G-01A-11R-A16W-07,-0.22537977048025745,1
TCGA-IB-AAUV-01A-11R-A38C-07,-0.14824292975437472,1
TCGA-FB-AAPZ-01A-11R-A41B-07,-0.11561627876038917,1
TCGA-DD-AAEG-01A-11R-A39D-07,-0.600566331007063,1
TCGA-24-0975-01A-02R-1565-13,-0.19857051250275884,1
TCGA-AA-3841-01A-01R-0905-07,-0.3480361286936876,0
TCGA-75-6211-01A-11R-1755-07,-0.25725883431067637,1
TCGA-IB-7887-01A-11R-2156-07,-0.2192439211083491,1
TCGA-78-7161-01A-11R-2039-07,-0.1762475514154312,1
TCGA-B0-5699-01A-11R-1541-07,-0.32052922687354457,1
TCGA-DD-A113-01A-11R-A131-07,-0.5192495600828613,1
TCGA-E9-A1R2-01A-11R-A14D-07,-0.14427621830142096,1
TCGA-78-7536-01A-11R-2066-07,-0.21945701220969302,1
TCGA-B6-A0WY-01A-11R-A109-07,-0.06771132141603732,1
TCGA-ZP-A9CY-01A-11R-A38B-07,-0.5651585474555619,1
TCGA-EJ-5495-01A-01R-1580-07,-0.0809065729192581,0
TCGA-2H-A9GJ-01A-11R-A37I-31,-0.3048242350033267,1
TCGA-AA-3955-01A-02R-1022-07,-0.22503965208359752,1
TCGA-20-1684-01A-01R-1566-13,-0.30562964949886917,1
TCGA-AA-3697-01A-01R-1723-07,-0.1795363610353156,1
TCGA-56-5898-01A-11R-1635-07,-0.19362411181678366,1
TCGA-BP-4801-01A-02R-1420-07,-0.3742158919458864,1
TCGA-D8-A146-01A-31R-A115-07,-0.06393747472035315,1
TCGA-DD-AACJ-01A-11R-A41C-07,-0.7819315147118476,0
TCGA-BQ-5892-01A-11R-1592-07,-0.25045883317465417,1
TCGA-BH-A0BF-01A-21R-A12P-07,-0.061535178729869036,0
TCGA-HZ-8003-01A-21R-2204-07,-0.04191541828786392,0
TCGA-BH-A1EU-01A-11R-A137-07,-0.1038797939158948,1
TCGA-61-1900-01A-01R-1567-13,-0.3129985715585729,0
TCGA-AM-5821-01A-01R-1653-07,-0.37666481823579656,1
TCGA-A7-A26J-01A-11R-A169-07,-0.0734291740879432,1
TCGA-AR-A1AT-01A-11R-A12P-07,-0.1255755713601257,1
TCGA-OL-A5S0-01A-11R-A28M-07,-0.1238412173261436,1
TCGA-63-6202-01A-11R-1820-07,-0.1327635921157231,1
TCGA-A2-A3XV-01A-21R-A239-07,-0.39799377122574126,0
TCGA-CH-5772-01A-11R-1580-07,-0.15908201964764318,1
TCGA-OL-A5DA-01A-11R-A27Q-07,-0.09991709844388029,1
TCGA-2Z-A9J1-01A-11R-A38C-07,-0.2342365586834532,1
TCGA-LN-A8I0-01A-11R-A36D-31,-0.31895946925760543,0
TCGA-50-8460-01A-11R-2326-07,-0.11691321657955073,1
TCGA-86-8279-01A-11R-2287-07,-0.09268293251207885,1
TCGA-56-A4ZJ-01A-11R-A262-07,-0.20336975863609835,1
TCGA-67-3770-01A-01R-0946-07,-0.15256911985296648,1
TCGA-A2-A0YF-01A-21R-A109-07,-0.1898013810214148,1
TCGA-85-A50Z-01A-21R-A262-07,-0.2546965757573399,1
TCGA-G9-6363-01A-21R-1789-07,-0.10429777479430745,1
TCGA-G7-6790-01A-11R-1965-07,-0.25845449649212243,0
TCGA-AR-A1AM-01A-41R-A22K-07,-0.016830170457497403,0
TCGA-E2-A10C-01A-21R-A10J-07,-0.26205756069855274,1
TCGA-AA-A00L-01A-01R-A002-07,-0.31953307222272587,0
TCGA-55-7995-01A-11R-2187-07,-0.20944058470220664,1
TCGA-G4-6309-01A-21R-1839-07,-0.2577936105168326,1
TCGA-CJ-4908-01A-01R-1426-07,-0.1723786916686336,1
TCGA-EJ-A46B-01A-31R-A250-07,-0.11011653050103272,0
