sample_id,score,y_member
TCGA-B0-5115-01A-01R-1420-07,-0.24425225372192494,1
TCGA-EJ-A46E-01A-31R-A250-07,-0.11032045465256615,1
TCGA-DD-AAE7-01A-11R-A41C-07,-0.25872351173579167,1
TCGA-Z6-A8JE-01A-11R-A37I-31,-0.17955245049071225,1
TCGA-A8-A08F-01A-11R-A00Z-07,-0.0797569388458048,1
TCGA-59-2350-01A-01R-1569-13,-0.12563837958729426,1
TCGA-CZ-4858-01A-01R-1305-07,0.05132754089382284,1
TCGA-CZ-5470-01A-01R-1503-07,-0.15662558758058723,1
TCGA-AN-A0XN-01A-21R-A109-07,-0.05727397878176481,1
TCGA-37-A5EL-01A-11R-A26W-07,-0.07461788943822491,1
TCGA-46-6025-01A-11R-1820-07,-0.1014646012411538,1
TCGA-AN-A0XS-01A-22R-A109-07,-0.09956580922580713,1
TCGA-M7-A725-01A-12R-A32O-07,-0.13263232075437023,1
TCGA-XN-A8T3-01A-11R-A36G-07,-0.24914353012951065,0
TCGA-3K-AAZ8-01A-12R-A39D-07,-0.32450344141179926,1
TCGA-B9-5155-01A-01R-1592-07,-0.1988489769100989,1
TCGA-OK-A5Q2-01A-11R-A27Q-07,-0.07803850203331393,1
TCGA-2Y-A9H8-01A-11R-A39D-07,-0.22416350693078377,1
TCGA-30-1866-01A-02R-1568-13,-0.14560195489713917,1
TCGA-SX-A7SO-01A-11R-A355-07,-0.1716059929802201,1
TCGA-55-7283-01A-11R-2039-07,-0.11411670108085194,1
TCGA-M7-A720-01A-12R-A32O-07,-0.2387512806968758,1
TCGA-91-6828-01A-11R-1858-07,-0.10091745311484782,1
TCGA-D8-A1JF-01A-11R-A13Q-07,-0.05021781223117428,1
TCGA-D8-A1JG-01B-11R-A13Q-07,-0.05322830390364616,1
TCGA-AL-3468-01A-02R-1351-07,-0.2102426891989168,1
TCGA-21-1082-01A-01R-0692-07,-0.07415588300841515,1
TCGA-A4-8311-01A-11R-2404-07,-0.21932611586596654,1
TCGA-BD-A3EP-01A-11R-A22L-07,-0.14560798114730178,1
TCGA-92-7340-01A-21R-2045-07,-0.0942491998692837,1
TCGA-EJ-A65B-01A-12R-A30B-07,-0.12497796098037886,1
TCGA-HC-8261-01B-05R-2302-07,0.08909742494716254,1
TCGA-AZ-6601-01A-11R-1774-07,-0.16034822420606862,1
TCGA-B0-4703-01A-01R-1277-07,-0.16676115647132586,1
TCGA-AA-A004-01A-01R-A00A-07,0.023978421228579398,1
