sample_id,score,y_member
TCGA-B0-5115-01A-01R-1420-07,-0.8915270216148043,1
TCGA-EJ-A46E-01A-31R-A250-07,-0.9383203183398302,1
TCGA-DD-AAE7-01A-11R-A41C-07,-2.132293065455168,1
TCGA-Z6-A8JE-01A-11R-A37I-31,-1.1444623481521405,1
TCGA-A8-A08F-01A-11R-A00Z-07,-0.8945059585272644,1
TCGA-59-2350-01A-01R-1569-13,-1.3638212190799137,1
TCGA-CZ-4858-01A-01R-1305-07,-1.1496982722408056,1
TCGA-CZ-5470-01A-01R-1503-07,-0.7522563611418682,1
TCGA-AN-A0XN-01A-21R-A109-07,-0.6164757062581411,1
TCGA-37-A5EL-01A-11R-A26W-07,-1.8009831794447615,1
TCGA-46-6025-01A-11R-1820-07,-1.752711301861255,1
TCGA-AN-A0XS-01A-22R-A109-07,-0.49229269849397794,1
TCGA-M7-A725-01A-12R-A32O-07,-1.2744548200825028,1
TCGA-XN-A8T3-01A-11R-A36G-07,-0.2822560203424495,0
TCGA-3K-AAZ8-01A-12R-A39D-07,-3.580154821409978,1
TCGA-B9-5155-01A-01R-1592-07,-1.8619502516954538,1
TCGA-OK-A5Q2-01A-11R-A27Q-07,-0.17091456236723568,1
TCGA-2Y-A9H8-01A-11R-A39D-07,-2.637464881915151,1
TCGA-30-1866-01A-02R-1568-13,-2.1262174562825957,1
TCGA-SX-A7SO-01A-11R-A355-07,-1.7606090016543237,1
TCGA-55-7283-01A-11R-2039-07,-0.6085501341182642,1
TCGA-M7-A720-01A-12R-A32O-07,-0.7883534768380865,1
TCGA-91-6828-01A-11R-1858-07,-0.5522068322069069,1
TCGA-D8-A1JF-01A-11R-A13Q-07,-2.061713750332639,1
TCGA-D8-A1JG-01B-11R-A13Q-07,-1.2299280631435054,1
TCGA-AL-3468-01A-02R-1351-07,-1.2896718404786804,1
TCGA-21-1082-01A-01R-0692-07,-0.8342123056568593,1
TCGA-A4-8311-01A-11R-2404-07,-1.1920336509084992,1
TCGA-BD-A3EP-01A-11R-A22L-07,-0.9872370475915537,1
TCGA-92-7340-01A-21R-2045-07,-0.6057739007431946,1
TCGA-EJ-A65B-01A-12R-A30B-07,-1.5209683805922978,1
TCGA-HC-8261-01B-05R-2302-07,-2.2042485627906916,1
TCGA-AZ-6601-01A-11R-1774-07,-0.4962257846234143,1
TCGA-B0-4703-01A-01R-1277-07,-0.7547516160027641,1
TCGA-AA-A004-01A-01R-A00A-07,-4.856836844958493,1
TCGA-30-1862-01A-02R-1568-13,-0.6697294159121171,1
