sample_id,score,y_member
TCGA-B0-5115-01A-01R-1420-07,-1.3914121681956269,1
TCGA-EJ-A46E-01A-31R-A250-07,-1.5371466539753993,1
TCGA-DD-AAE7-01A-11R-A41C-07,-2.605956047871288,1
TCGA-Z6-A8JE-01A-11R-A37I-31,-1.9909307908975458,1
TCGA-A8-A08F-01A-11R-A00Z-07,-1.151171894338157,1
TCGA-59-2350-01A-01R-1569-13,-1.892556453796227,1
TCGA-CZ-4858-01A-01R-1305-07,-1.5822827285545178,1
TCGA-CZ-5470-01A-01R-1503-07,-1.2286110598591988,1
TCGA-AN-A0XN-01A-21R-A109-07,-1.0203309159252882,1
TCGA-37-A5EL-01A-11R-A26W-07,-2.335121329759681,1
TCGA-46-6025-01A-11R-1820-07,-2.1948313687685252,1
TCGA-AN-A0XS-01A-22R-A109-07,-0.8160867933964528,1
TCGA-M7-A725-01A-12R-A32O-07,-1.7264760094524587,1
TCGA-XN-A8T3-01A-11R-A36G-07,-1.3756038143546934,0
TCGA-3K-AAZ8-01A-12R-A39D-07,-3.9653376071371502,1
TCGA-B9-5155-01A-01R-1592-07,-2.442807338864273,1
TCGA-OK-A5Q2-01A-11R-A27Q-07,-0.5726025234205365,1
TCGA-2Y-A9H8-01A-11R-A39D-07,-3.12489572623518,1
TCGA-30-1866-01A-02R-1568-13,-2.621214300196298,1
TCGA-SX-A7SO-01A-11R-A355-07,-2.5697404688908523,1
TCGA-55-7283-01A-11R-2039-07,-1.0830003748227752,1
TCGA-M7-A720-01A-12R-A32O-07,-1.3843736551963814,1
TCGA-91-6828-01A-11R-1858-07,-1.1621866169452217,1
TCGA-D8-A1JF-01A-11R-A13Q-07,-2.2765301447903346,1
TCGA-D8-A1JG-01B-11R-A13Q-07,-1.5161939586851243,1
TCGA-AL-3468-01A-02R-1351-07,-2.0237103909557215,1
TCGA-21-1082-01A-01R-0692-07,-1.3817777789999002,1
TCGA-A4-8311-01A-11R-2404-07,-1.9250142371931727,1
TCGA-BD-A3EP-01A-11R-A22L-07,-1.5615626640606166,1
TCGA-92-7340-01A-21R-2045-07,-1.163511005889963,1
TCGA-EJ-A65B-01A-12R-A30B-07,-2.0009009470081334,1
