sample_id,score,y_member
TCGA-B0-5115-01A-01R-1420-07,-0.8815534910407694,1
TCGA-EJ-A46E-01A-31R-A250-07,-0.9403635603643826,1
TCGA-DD-AAE7-01A-11R-A41C-07,-2.1159836456697003,1
TCGA-Z6-A8JE-01A-11R-A37I-31,-1.1508449406228898,1
TCGA-A8-A08F-01A-11R-A00Z-07,-0.8838706261402305,1
TCGA-59-2350-01A-01R-1569-13,-1.3665071922253138,1
TCGA-CZ-4858-01A-01R-1305-07,-1.1240842069300776,1
TCGA-CZ-5470-01A-01R-1503-07,-0.7473767981791398,1
TCGA-AN-A0XN-01A-21R-A109-07,-0.6128540466574846,1
TCGA-37-A5EL-01A-11R-A26W-07,-1.8033194768246916,1
TCGA-46-6025-01A-11R-1820-07,-1.737201644742449,1
TCGA-AN-A0XS-01A-22R-A109-07,-0.48071676644346295,1
TCGA-M7-A725-01A-12R-A32O-07,-1.2630888496420827,1
TCGA-XN-A8T3-01A-11R-A36G-07,-0.2753290129420862,0
TCGA-3K-AAZ8-01A-12R-A39D-07,-3.575758755530808,1
TCGA-B9-5155-01A-01R-1592-07,-1.855160003222965,1
TCGA-OK-A5Q2-01A-11R-A27Q-07,-0.16080194514664323,1
TCGA-2Y-A9H8-01A-11R-A39D-07,-2.621812532155661,1
TCGA-30-1866-01A-02R-1568-13,-2.1130224963549225,1
TCGA-SX-A7SO-01A-11R-A355-07,-1.7391101664027113,1
TCGA-55-7283-01A-11R-2039-07,-0.6041783829622025,1
TCGA-M7-A720-01A-12R-A32O-07,-0.7820216159013081,1
TCGA-91-6828-01A-11R-1858-07,-0.5450927309073809,1
TCGA-D8-A1JF-01A-11R-A13Q-07,-2.053998507903717,1
TCGA-D8-A1JG-01B-11R-A13Q-07,-1.2309706410335906,1
TCGA-AL-3468-01A-02R-1351-07,-1.2896030113693453,1
TCGA-21-1082-01A-01R-0692-07,-0.8146494639134764,1
TCGA-A4-8311-01A-11R-2404-07,-1.173745306163765,1
TCGA-BD-A3EP-01A-11R-A22L-07,-0.9772337640433092,1
TCGA-92-7340-01A-21R-2045-07,-0.6120130363171213,1
TCGA-EJ-A65B-01A-12R-A30B-07,-1.5131724374988211,1
TCGA-HC-8261-01B-05R-2302-07,-2.2039441124885886,1
TCGA-AZ-6601-01A-11R-1774-07,-0.49626287193715035,1
TCGA-B0-4703-01A-01R-1277-07,-0.7318617012069114,1
TCGA-AA-A004-01A-01R-A00A-07,-4.8602705977150125,1
TCGA-30-1862-01A-02R-1568-13,-0.6846999017436749,1
TCGA-09-2045-01A-01R-1568-13,-0.9260959660534711,1
TCGA-E2-A10F-01A-11R-A10J-07,-0.2550993449824268,1
TCGA-OL-A6VO-01A-12R-A33J-07,-1.4185769153325045,1
TCGA-BQ-5884-01A-11R-1592-07,-1.9816981412530605,1
TCGA-49-4507-01A-01R-1206-07,-1.5306560055848906,1
TCGA-ZG-A9LS-01A-12R-A41O-07,-0.392973841442329,1
TCGA-AN-A0FW-01A-11R-A034-07,-1.0644715935974427,1
TCGA-A6-A5ZU-01A-11R-A28H-07,-1.0484920337969965,1
TCGA-QU-A6IL-01A-11R-A31N-07,-3.0662863978964197,1
TCGA-67-4679-01B-01R-1755-07,-0.7231793942741616,0
TCGA-DM-A28G-01A-11R-A16W-07,-0.9589289652358685,1
TCGA-IB-AAUV-01A-11R-A38C-07,-0.7367153831147468,1
TCGA-FB-AAPZ-01A-11R-A41B-07,-0.35186583511264796,1
TCGA-DD-AAEG-01A-11R-A39D-07,-2.8547183880476856,1
TCGA-24-0975-01A-02R-1565-13,-1.063126928458296,1
TCGA-AA-3841-01A-01R-0905-07,-3.0899924574000748,0
TCGA-75-6211-01A-11R-1755-07,-1.1542637406657805,1
TCGA-IB-7887-01A-11R-2156-07,-0.45713263581637337,1
TCGA-78-7161-01A-11R-2039-07,-1.0917977268494967,1
TCGA-B0-5699-01A-11R-1541-07,-0.9464506602925186,1
TCGA-DD-A113-01A-11R-A131-07,-1.9028005188295474,1
TCGA-E9-A1R2-01A-11R-A14D-07,-0.5764527561646828,1
TCGA-78-7536-01A-11R-2066-07,-1.3471200318533976,1
TCGA-B6-A0WY-01A-11R-A109-07,-0.21972316400000091,1
TCGA-ZP-A9CY-01A-11R-A38B-07,-2.0276953745942228,1
TCGA-EJ-5495-01A-01R-1580-07,-0.4236296118582025,0
TCGA-2H-A9GJ-01A-11R-A37I-31,-1.679575271826266,1
TCGA-AA-3955-01A-02R-1022-07,-1.7424460604030556,1
TCGA-20-1684-01A-01R-1566-13,-1.8415787239211094,1
TCGA-AA-3697-01A-01R-1723-07,-0.7741986781764947,1
TCGA-56-5898-01A-11R-1635-07,-0.6431206357967085,1
TCGA-BP-4801-01A-02R-1420-07,-1.0270651376468625,1
TCGA-D8-A146-01A-31R-A115-07,-0.4169474419285203,1
TCGA-DD-AACJ-01A-11R-A41C-07,-4.2212763197646375,0
TCGA-BQ-5892-01A-11R-1592-07,-1.0600262562777805,1
TCGA-BH-A0BF-01A-21R-A12P-07,-0.209843328212519,0
TCGA-HZ-8003-01A-21R-2204-07,-0.3155129226752824,0
TCGA-BH-A1EU-01A-11R-A137-07,-1.19217742140975,1
TCGA-61-1900-01A-01R-1567-13,-1.3863088350600572,0
TCGA-AM-5821-01A-01R-1653-07,-1.598464192712602,1
TCGA-A7-A26J-01A-11R-A169-07,-0.8831153414130384,1
TCGA-AR-A1AT-01A-11R-A12P-07,-0.6194700647364628,1
TCGA-OL-A5S0-01A-11R-A28M-07,-0.969180177038259,1
TCGA-63-6202-01A-11R-1820-07,-0.8385946022590425,1
TCGA-A2-A3XV-01A-21R-A239-07,-3.8951104608442932,0
TCGA-CH-5772-01A-11R-1580-07,-0.9828827605771824,1
TCGA-OL-A5DA-01A-11R-A27Q-07,-0.6887693673575438,1
TCGA-2Z-A9J1-01A-11R-A38C-07,-1.1696164075479998,1
TCGA-LN-A8I0-01A-11R-A36D-31,-1.3332686551520552,0
TCGA-50-8460-01A-11R-2326-07,-0.6111179973382009,1
TCGA-86-8279-01A-11R-2287-07,-0.8918688985653416,1
TCGA-56-A4ZJ-01A-11R-A262-07,-0.4259629247632281,1
TCGA-67-3770-01A-01R-0946-07,-1.5431152489958897,1
TCGA-A2-A0YF-01A-21R-A109-07,-1.5209192197676769,1
TCGA-85-A50Z-01A-21R-A262-07,-1.339175320572186,1
TCGA-G9-6363-01A-21R-1789-07,-1.1928084240165695,1
TCGA-G7-6790-01A-11R-1965-07,-1.4593482874971981,0
TCGA-AR-A1AM-01A-41R-A22K-07,-0.242973432228672,0
TCGA-E2-A10C-01A-21R-A10J-07,-1.0908618968342034,1
TCGA-AA-A00L-01A-01R-A002-07,-1.718446938213876,0
TCGA-55-7995-01A-11R-2187-07,-0.657602717497115,1
TCGA-G4-6309-01A-21R-1839-07,-1.2842934095948155,1
TCGA-CJ-4908-01A-01R-1426-07,-0.774163733571882,1
TCGA-EJ-A46B-01A-31R-A250-07,-1.0814427286822643,0
TCGA-AR-A24Z-01A-11R-A169-07,-2.0030006226568564,0
TCGA-A6-2685-01A-01R-1410-07,-1.0058293365972668,0
TCGA-A4-A5DU-01A-11R-A28H-07,-1.3878858255380855,1
TCGA-AZ-6600-01A-11R-1774-07,-0.29030848648271956,1
TCGA-CC-A7IH-01A-11R-A33J-07,-2.9861932533773023,1
TCGA-QU-A6IM-01A-11R-A31N-07,-3.739475708827012,1
TCGA-LN-A49M-01A-21R-A260-31,-1.8405850216265518,1
TCGA-66-2765-01A-01R-0851-07,-1.0799137768910971,0
TCGA-A8-A0AB-01A-11R-A034-07,-1.840972936121789,1
TCGA-S3-AA14-01A-11R-A41B-07,-0.693262995209581,1
TCGA-98-A538-01A-11R-A262-07,-1.2872907208013737,1
TCGA-CM-6166-01A-11R-1653-07,-1.190845998800487,1
TCGA-5M-AAT4-01A-11R-A41B-07,-1.185166230847928,1
TCGA-61-2008-01A-02R-1568-13,-0.937369075752232,1
TCGA-B6-A0X0-01A-21R-A115-07,-0.7582158023139554,1
TCGA-86-8281-01A-11R-2287-07,-0.862875506647408,1
TCGA-24-1546-01A-01R-1566-13,-0.9360384082919596,0
TCGA-V1-A9OL-01A-11R-A41O-07,-0.7631713986915853,0
TCGA-BH-A201-01A-11R-A14M-07,-0.431140070775954,1
TCGA-18-3409-01A-01R-0980-07,-0.7753951640509725,1
TCGA-F4-6461-01A-11R-1774-07,-0.5286640345818269,1
TCGA-AA-A02E-01A-01R-A00A-07,-1.2624902770594952,0
TCGA-YL-A9WY-01A-11R-A41O-07,-0.27922379292312294,1
TCGA-B0-5102-01A-01R-1420-07,-1.0552737351168617,1
TCGA-G9-7521-01A-11R-2263-07,-0.9969943167777948,0
TCGA-CJ-4902-01A-01R-1426-07,-0.6204938235211103,1
TCGA-CA-6717-01A-11R-1839-07,-0.29608198914398315,0
TCGA-IG-A5S3-01A-11R-A28J-31,-1.7096434345843687,0
TCGA-EJ-5497-01A-02R-1580-07,-0.8150837162354159,1
TCGA-BF-A5EO-01A-12R-A27Q-07,-4.188005109344317,0
TCGA-85-A4JC-01A-11R-A24Z-07,-1.0177073100254799,1
TCGA-44-3917-01A-01R-A278-07,-2.5292475761525717,1
TCGA-A8-A08H-01A-21R-A00Z-07,-0.5938615503465561,1
