sample_id,score,y_member
TCGA-B0-5115-01A-01R-1420-07,-0.98899531509004,1
TCGA-EJ-A46E-01A-31R-A250-07,-0.6533663506833085,1
TCGA-DD-AAE7-01A-11R-A41C-07,-1.7641902974366206,1
TCGA-Z6-A8JE-01A-11R-A37I-31,-0.8464308776632419,1
TCGA-A8-A08F-01A-11R-A00Z-07,-0.562841689686356,1
TCGA-59-2350-01A-01R-1569-13,-1.1444694237944246,1
TCGA-CZ-4858-01A-01R-1305-07,-0.5849821903917524,1
TCGA-CZ-5470-01A-01R-1503-07,-0.6912346413478206,1
TCGA-AN-A0XN-01A-21R-A109-07,-0.34125155297282556,1
TCGA-37-A5EL-01A-11R-A26W-07,-1.0584084722900753,1
TCGA-46-6025-01A-11R-1820-07,-1.1178512602203385,1
TCGA-AN-A0XS-01A-22R-A109-07,-0.470683537221894,1
TCGA-M7-A725-01A-12R-A32O-07,-0.8214365282815326,1
TCGA-XN-A8T3-01A-11R-A36G-07,-0.4740453963007373,0
TCGA-3K-AAZ8-01A-12R-A39D-07,-2.6267575445677465,1
TCGA-B9-5155-01A-01R-1592-07,-1.2484630264410814,1
TCGA-OK-A5Q2-01A-11R-A27Q-07,-0.19240947958329457,1
TCGA-2Y-A9H8-01A-11R-A39D-07,-2.0170780395342964,1
TCGA-30-1866-01A-02R-1568-13,-1.3780710996333037,1
TCGA-SX-A7SO-01A-11R-A355-07,-1.3154056585796232,1
TCGA-55-7283-01A-11R-2039-07,-0.6120244142290691,1
TCGA-M7-A720-01A-12R-A32O-07,-0.681774756531786,1
TCGA-91-6828-01A-11R-1858-07,-0.4739704191481057,1
TCGA-D8-A1JF-01A-11R-A13Q-07,-1.0790460702882356,1
TCGA-D8-A1JG-01B-11R-A13Q-07,-0.8827968925744075,1
TCGA-AL-3468-01A-02R-1351-07,-0.9331340640080873,1
TCGA-21-1082-01A-01R-0692-07,-0.4638882917642797,1
TCGA-A4-8311-01A-11R-2404-07,-0.9071870006982397,1
TCGA-BD-A3EP-01A-11R-A22L-07,-0.9289118142281332,1
TCGA-92-7340-01A-21R-2045-07,-0.5052452860349395,1
TCGA-EJ-A65B-01A-12R-A30B-07,-0.8778767749342042,1
TCGA-HC-8261-01B-05R-2302-07,-1.1075808473952915,1
TCGA-AZ-6601-01A-11R-1774-07,-0.5080502051658747,1
TCGA-B0-4703-01A-01R-1277-07,-0.8105685030789332,1
TCGA-AA-A004-01A-01R-A00A-07,-2.204264898613204,1
TCGA-30-1862-01A-02R-1568-13,-0.7460180026315872,1
TCGA-09-2045-01A-01R-1568-13,-0.7757294293841112,1
TCGA-E2-A10F-01A-11R-A10J-07,-0.32517040656799223,1
TCGA-OL-A6VO-01A-12R-A33J-07,-0.7779574684846619,1
TCGA-BQ-5884-01A-11R-1592-07,-1.1077770607868145,1
TCGA-49-4507-01A-01R-1206-07,-0.8252461160309014,1
TCGA-ZG-A9LS-01A-12R-A41O-07,-0.334854514645679,1
TCGA-AN-A0FW-01A-11R-A034-07,-0.7053793101033715,1
TCGA-A6-A5ZU-01A-11R-A28H-07,-0.7359455159844123,1
TCGA-QU-A6IL-01A-11R-A31N-07,-1.6628084614384904,1
TCGA-67-4679-01B-01R-1755-07,-0.5811575287022781,0
TCGA-DM-A28G-01A-11R-A16W-07,-0.8303885959403481,1
TCGA-IB-AAUV-01A-11R-A38C-07,-0.6594141114630057,1
TCGA-FB-AAPZ-01A-11R-A41B-07,-0.5717474442317981,1
TCGA-DD-AAEG-01A-11R-A39D-07,-1.9802454382120926,1
TCGA-24-0975-01A-02R-1565-13,-0.9002962328487764,1
TCGA-AA-3841-01A-01R-0905-07,-1.7259405006633417,0
TCGA-75-6211-01A-11R-1755-07,-0.6744921233511346,1
TCGA-IB-7887-01A-11R-2156-07,-0.5040135022792753,1
TCGA-78-7161-01A-11R-2039-07,-0.5692157393925747,1
TCGA-B0-5699-01A-11R-1541-07,-0.9317251782240527,1
TCGA-DD-A113-01A-11R-A131-07,-1.5844641651995368,1
TCGA-E9-A1R2-01A-11R-A14D-07,-0.5115674885265089,1
TCGA-78-7536-01A-11R-2066-07,-0.9398429243776438,1
TCGA-B6-A0WY-01A-11R-A109-07,-0.22397535327823798,1
TCGA-ZP-A9CY-01A-11R-A38B-07,-1.72983151793358,1
TCGA-EJ-5495-01A-01R-1580-07,-0.27440043666422304,0
TCGA-2H-A9GJ-01A-11R-A37I-31,-1.2133829156363785,1
TCGA-AA-3955-01A-02R-1022-07,-1.1506276491567273,1
TCGA-20-1684-01A-01R-1566-13,-1.4871773404789381,1
TCGA-AA-3697-01A-01R-1723-07,-0.7294877207626401,1
TCGA-56-5898-01A-11R-1635-07,-0.45683012853448074,1
TCGA-BP-4801-01A-02R-1420-07,-0.9779670635786868,1
TCGA-D8-A146-01A-31R-A115-07,-0.4406728827535846,1
TCGA-DD-AACJ-01A-11R-A41C-07,-3.01601795736089,0
TCGA-BQ-5892-01A-11R-1592-07,-0.6147077279741175,1
TCGA-BH-A0BF-01A-21R-A12P-07,-0.24192745594635928,0
TCGA-HZ-8003-01A-21R-2204-07,-0.34433868036035287,0
TCGA-BH-A1EU-01A-11R-A137-07,-0.7533062203225478,1
TCGA-61-1900-01A-01R-1567-13,-1.1823885551856699,0
TCGA-AM-5821-01A-01R-1653-07,-0.9728404535369409,1
TCGA-A7-A26J-01A-11R-A169-07,-0.5280959870307999,1
TCGA-AR-A1AT-01A-11R-A12P-07,-0.4139444348242841,1
TCGA-OL-A5S0-01A-11R-A28M-07,-0.4550337754673234,1
TCGA-63-6202-01A-11R-1820-07,-0.5687796868708614,1
TCGA-A2-A3XV-01A-21R-A239-07,-2.0553393402590183,0
TCGA-CH-5772-01A-11R-1580-07,-0.8147765437885895,1
TCGA-OL-A5DA-01A-11R-A27Q-07,-0.4548825318985017,1
TCGA-2Z-A9J1-01A-11R-A38C-07,-0.9296898589104092,1
TCGA-LN-A8I0-01A-11R-A36D-31,-0.9623822425908366,0
TCGA-50-8460-01A-11R-2326-07,-0.48828352179562917,1
TCGA-86-8279-01A-11R-2287-07,-0.5362875525812485,1
TCGA-56-A4ZJ-01A-11R-A262-07,-0.3306190758208534,1
TCGA-67-3770-01A-01R-0946-07,-0.7672465506455705,1
TCGA-A2-A0YF-01A-21R-A109-07,-0.9480751367514532,1
TCGA-85-A50Z-01A-21R-A262-07,-0.9365382520625383,1
TCGA-G9-6363-01A-21R-1789-07,-0.6235358459799218,1
TCGA-G7-6790-01A-11R-1965-07,-1.0597058053774422,0
TCGA-AR-A1AM-01A-41R-A22K-07,-0.2840516642622941,0
TCGA-E2-A10C-01A-21R-A10J-07,-0.6532542919640855,1
TCGA-AA-A00L-01A-01R-A002-07,-1.339660308601752,0
TCGA-55-7995-01A-11R-2187-07,-0.5383233384432705,1
TCGA-G4-6309-01A-21R-1839-07,-0.924918031418258,1
TCGA-CJ-4908-01A-01R-1426-07,-0.7816728835408319,1
TCGA-EJ-A46B-01A-31R-A250-07,-0.8953473291436285,0
TCGA-AR-A24Z-01A-11R-A169-07,-1.1336113144795992,0
TCGA-A6-2685-01A-01R-1410-07,-0.6754603419703333,0
TCGA-A4-A5DU-01A-11R-A28H-07,-0.9593800324478571,1
TCGA-AZ-6600-01A-11R-1774-07,-0.3456599777686173,1
TCGA-CC-A7IH-01A-11R-A33J-07,-2.3576204213239103,1
