sample_id,score,y_member
TCGA-B0-5115-01A-01R-1420-07,-0.9450927850221886,1
TCGA-EJ-A46E-01A-31R-A250-07,-0.8082112046347737,1
TCGA-DD-AAE7-01A-11R-A41C-07,-1.8060486413080223,1
TCGA-Z6-A8JE-01A-11R-A37I-31,-0.6254412830420657,1
TCGA-A8-A08F-01A-11R-A00Z-07,-0.6780952363050298,1
TCGA-59-2350-01A-01R-1569-13,-0.8551063473152136,1
TCGA-CZ-4858-01A-01R-1305-07,-0.8580495615044036,1
TCGA-CZ-5470-01A-01R-1503-07,-0.7596404983644439,0
TCGA-AN-A0XN-01A-21R-A109-07,-0.3687736933112012,1
TCGA-37-A5EL-01A-11R-A26W-07,-1.202849434271326,1
TCGA-46-6025-01A-11R-1820-07,-1.2434638017966273,1
TCGA-AN-A0XS-01A-22R-A109-07,-0.5324725149217847,1
TCGA-M7-A725-01A-12R-A32O-07,-0.9864709119034285,1
TCGA-XN-A8T3-01A-11R-A36G-07,-0.48504912466128997,1
TCGA-3K-AAZ8-01A-12R-A39D-07,-2.7391412733879266,1
TCGA-B9-5155-01A-01R-1592-07,-1.3976888723104106,1
TCGA-OK-A5Q2-01A-11R-A27Q-07,-0.28287346318554896,1
TCGA-2Y-A9H8-01A-11R-A39D-07,-2.0040736293071086,1
TCGA-30-1866-01A-02R-1568-13,-1.297094679842575,1
TCGA-SX-A7SO-01A-11R-A355-07,-1.6836933257264861,1
TCGA-55-7283-01A-11R-2039-07,-0.5896392175338914,0
TCGA-M7-A720-01A-12R-A32O-07,-0.9740793253693102,1
TCGA-91-6828-01A-11R-1858-07,-0.5653903236583002,0
TCGA-D8-A1JF-01A-11R-A13Q-07,-0.9218850883584132,1
TCGA-D8-A1JG-01B-11R-A13Q-07,-0.8869345000424608,0
TCGA-AL-3468-01A-02R-1351-07,-1.1341366092305287,0
TCGA-21-1082-01A-01R-0692-07,-0.6499265224807904,1
TCGA-A4-8311-01A-11R-2404-07,-1.198761147077041,1
TCGA-BD-A3EP-01A-11R-A22L-07,-0.855080439314841,0
TCGA-92-7340-01A-21R-2045-07,-0.6996974352517296,0
TCGA-EJ-A65B-01A-12R-A30B-07,-0.8377434396000958,1
TCGA-HC-8261-01B-05R-2302-07,-1.3274371253666282,1
TCGA-AZ-6601-01A-11R-1774-07,-0.6276397788422453,1
TCGA-B0-4703-01A-01R-1277-07,-0.8597310294133114,0
TCGA-AA-A004-01A-01R-A00A-07,-2.211452846817719,1
TCGA-30-1862-01A-02R-1568-13,-0.612057977357735,1
TCGA-09-2045-01A-01R-1568-13,-0.7496936585867991,1
TCGA-E2-A10F-01A-11R-A10J-07,-0.4223716476064751,1
TCGA-OL-A6VO-01A-12R-A33J-07,-1.0484131421306973,1
TCGA-BQ-5884-01A-11R-1592-07,-1.2717719093133202,1
TCGA-49-4507-01A-01R-1206-07,-1.0724865905271246,1
TCGA-ZG-A9LS-01A-12R-A41O-07,-0.53516850608435,1
TCGA-AN-A0FW-01A-11R-A034-07,-0.9601133897966752,1
TCGA-A6-A5ZU-01A-11R-A28H-07,-0.9485680091109774,1
TCGA-QU-A6IL-01A-11R-A31N-07,-1.5481004107146406,0
TCGA-67-4679-01B-01R-1755-07,-0.5969661642811948,1
TCGA-DM-A28G-01A-11R-A16W-07,-0.9031658544234582,1
