sample_id,score,y_member
TCGA-B0-5115-01A-01R-1420-07,-0.44993697920477393,1
TCGA-EJ-A46E-01A-31R-A250-07,-0.6059620594074236,1
TCGA-DD-AAE7-01A-11R-A41C-07,-0.36147107635456055,0
TCGA-Z6-A8JE-01A-11R-A37I-31,-0.36649175588542793,1
TCGA-A8-A08F-01A-11R-A00Z-07,-0.4807314966051214,0
TCGA-59-2350-01A-01R-1569-13,-0.3854051305630631,1
TCGA-CZ-4858-01A-01R-1305-07,-0.45811066926415533,1
TCGA-CZ-5470-01A-01R-1503-07,-0.6032301943792322,1
TCGA-AN-A0XN-01A-21R-A109-07,-0.6144485849006293,0
TCGA-37-A5EL-01A-11R-A26W-07,-0.290167287556063,1
TCGA-46-6025-01A-11R-1820-07,-0.3770638139769439,1
TCGA-AN-A0XS-01A-22R-A109-07,-0.7890537826310887,0
TCGA-M7-A725-01A-12R-A32O-07,-0.5242241809595098,1
TCGA-XN-A8T3-01A-11R-A36G-07,-0.8417192798230462,1
TCGA-3K-AAZ8-01A-12R-A39D-07,-0.19202398316160565,0
TCGA-B9-5155-01A-01R-1592-07,-0.3918624418428511,1
TCGA-OK-A5Q2-01A-11R-A27Q-07,-0.8822714411355089,1
TCGA-2Y-A9H8-01A-11R-A39D-07,-0.21763416456729187,1
TCGA-30-1866-01A-02R-1568-13,-0.18707396151374525,1
TCGA-SX-A7SO-01A-11R-A355-07,-0.422842903798684,1
TCGA-55-7283-01A-11R-2039-07,-0.6598613520807443,1
TCGA-M7-A720-01A-12R-A32O-07,-0.6280274930815086,1
TCGA-91-6828-01A-11R-1858-07,-0.5731449019344425,1
TCGA-D8-A1JF-01A-11R-A13Q-07,-0.25374448403248884,1
TCGA-D8-A1JG-01B-11R-A13Q-07,-0.43842241745896504,1
TCGA-AL-3468-01A-02R-1351-07,-0.4164821924312304,1
TCGA-21-1082-01A-01R-0692-07,-0.5406720328950776,1
TCGA-A4-8311-01A-11R-2404-07,-0.418923512296953,1
TCGA-BD-A3EP-01A-11R-A22L-07,-0.5377269584948784,1
TCGA-92-7340-01A-21R-2045-07,-0.6203814336954517,1
TCGA-EJ-A65B-01A-12R-A30B-07,-0.3436936468271769,1
TCGA-HC-8261-01B-05R-2302-07,-0.19193797495329096,1
TCGA-AZ-6601-01A-11R-1774-07,-0.6393639300807873,1
TCGA-B0-4703-01A-01R-1277-07,-0.5769151432640998,1
TCGA-AA-A004-01A-01R-A00A-07,0.0261277118064069,1
TCGA-30-1862-01A-02R-1568-13,-0.5769050886317019,1
TCGA-09-2045-01A-01R-1568-13,-0.447218005340186,0
TCGA-E2-A10F-01A-11R-A10J-07,-0.7724308375574652,0
TCGA-OL-A6VO-01A-12R-A33J-07,-0.3487230128605398,1
