sample_id,score,y_member
TCGA-B0-5115-01A-01R-1420-07,-0.19154275268953008,1
TCGA-EJ-A46E-01A-31R-A250-07,-0.08703305334335815,1
TCGA-DD-AAE7-01A-11R-A41C-07,-0.19848851677935314,1
TCGA-Z6-A8JE-01A-11R-A37I-31,-0.27873490849544313,1
TCGA-A8-A08F-01A-11R-A00Z-07,-0.09859417475876042,1
TCGA-59-2350-01A-01R-1569-13,-0.12123512869760655,0
TCGA-CZ-4858-01A-01R-1305-07,0.13646388727017125,0
TCGA-CZ-5470-01A-01R-1503-07,-0.15283201951098999,1
TCGA-AN-A0XN-01A-21R-A109-07,-0.11871514744875208,1
TCGA-37-A5EL-01A-11R-A26W-07,-0.08744661945101086,0
TCGA-46-6025-01A-11R-1820-07,-0.11809156718521603,1
TCGA-AN-A0XS-01A-22R-A109-07,-0.1820465674460079,1
TCGA-M7-A725-01A-12R-A32O-07,-0.08981172466653989,1
TCGA-XN-A8T3-01A-11R-A36G-07,-0.4631512706875261,1
TCGA-3K-AAZ8-01A-12R-A39D-07,-0.16972866046313792,1
TCGA-B9-5155-01A-01R-1592-07,-0.17770301192507157,1
TCGA-OK-A5Q2-01A-11R-A27Q-07,-0.2317788687564363,1
TCGA-2Y-A9H8-01A-11R-A39D-07,-0.08598548158396102,0
TCGA-30-1866-01A-02R-1568-13,-0.07096985055823109,0
TCGA-SX-A7SO-01A-11R-A355-07,-0.1711266921272074,1
TCGA-55-7283-01A-11R-2039-07,-0.16244817314458163,1
TCGA-M7-A720-01A-12R-A32O-07,-0.23139041886692108,1
TCGA-91-6828-01A-11R-1858-07,-0.12383627415324515,1
TCGA-D8-A1JF-01A-11R-A13Q-07,-0.043475167500350256,0
TCGA-D8-A1JG-01B-11R-A13Q-07,-0.0716707971870154,1
TCGA-AL-3468-01A-02R-1351-07,-0.19515461097757858,1
TCGA-21-1082-01A-01R-0692-07,-0.11908531372656346,0
TCGA-A4-8311-01A-11R-2404-07,-0.20853178191323407,1
TCGA-BD-A3EP-01A-11R-A22L-07,-0.15485134363786515,1
TCGA-92-7340-01A-21R-2045-07,-0.18010202972983552,1
TCGA-EJ-A65B-01A-12R-A30B-07,-0.04686909952825704,1
TCGA-HC-8261-01B-05R-2302-07,0.1587977275565287,1
