sample_id,score,y_member
TCGA-B0-5115-01A-01R-1420-07,-0.6368888766423946,1
TCGA-EJ-A46E-01A-31R-A250-07,-0.5494043551485684,1
TCGA-DD-AAE7-01A-11R-A41C-07,-0.5950128267830247,1
TCGA-Z6-A8JE-01A-11R-A37I-31,-0.6114057709127881,1
TCGA-A8-A08F-01A-11R-A00Z-07,-0.3678237370173007,1
TCGA-59-2350-01A-01R-1569-13,-0.4566788838557498,1
TCGA-CZ-4858-01A-01R-1305-07,-0.080877009974862,1
TCGA-CZ-5470-01A-01R-1503-07,-0.607179881830993,0
TCGA-AN-A0XN-01A-21R-A109-07,-0.45762858755760016,1
TCGA-37-A5EL-01A-11R-A26W-07,-0.2504571141677335,1
TCGA-46-6025-01A-11R-1820-07,-0.3490704078872361,1
TCGA-AN-A0XS-01A-22R-A109-07,-0.6294666211909721,1
TCGA-M7-A725-01A-12R-A32O-07,-0.5002462853457897,1
TCGA-XN-A8T3-01A-11R-A36G-07,-1.0398268512356774,1
TCGA-3K-AAZ8-01A-12R-A39D-07,-0.4775879345051168,1
TCGA-B9-5155-01A-01R-1592-07,-0.5723593520076538,1
TCGA-OK-A5Q2-01A-11R-A27Q-07,-0.7096711145660611,1
TCGA-2Y-A9H8-01A-11R-A39D-07,-0.3726331799390481,1
TCGA-30-1866-01A-02R-1568-13,-0.32367521825539797,1
TCGA-SX-A7SO-01A-11R-A355-07,-0.5913052139661358,1
TCGA-55-7283-01A-11R-2039-07,-0.5658447552699503,0
TCGA-M7-A720-01A-12R-A32O-07,-0.7609818384751486,1
TCGA-91-6828-01A-11R-1858-07,-0.4853924742797436,0
TCGA-D8-A1JF-01A-11R-A13Q-07,-0.1674918130791482,1
TCGA-D8-A1JG-01B-11R-A13Q-07,-0.3267154378027716,0
TCGA-AL-3468-01A-02R-1351-07,-0.6116353384283816,0
TCGA-21-1082-01A-01R-0692-07,-0.4474508479429204,1
TCGA-A4-8311-01A-11R-2404-07,-0.6439486775969624,1
TCGA-BD-A3EP-01A-11R-A22L-07,-0.5926553666516822,0
TCGA-92-7340-01A-21R-2045-07,-0.5438787073089394,0
TCGA-EJ-A65B-01A-12R-A30B-07,-0.37017830194356366,1
TCGA-HC-8261-01B-05R-2302-07,-0.05199410886418162,1
TCGA-AZ-6601-01A-11R-1774-07,-0.677221696616122,1
TCGA-B0-4703-01A-01R-1277-07,-0.5666481405687053,0
TCGA-AA-A004-01A-01R-A00A-07,0.14902658665695043,1
TCGA-30-1862-01A-02R-1568-13,-0.5797288142287232,1
TCGA-09-2045-01A-01R-1568-13,-0.4101800095048381,1
TCGA-E2-A10F-01A-11R-A10J-07,-0.661096658247593,1
TCGA-OL-A6VO-01A-12R-A33J-07,-0.1910697963622652,1
TCGA-BQ-5884-01A-11R-1592-07,-0.3284373079820564,1
TCGA-49-4507-01A-01R-1206-07,-0.17854084023433922,1
TCGA-ZG-A9LS-01A-12R-A41O-07,-0.7009044528997692,1
TCGA-AN-A0FW-01A-11R-A034-07,-0.4391279159929506,1
TCGA-A6-A5ZU-01A-11R-A28H-07,-0.47892472753846843,1
TCGA-QU-A6IL-01A-11R-A31N-07,-0.1808625884451302,0
TCGA-67-4679-01B-01R-1755-07,-0.5475996389958218,1
TCGA-DM-A28G-01A-11R-A16W-07,-0.7052575050965886,1
TCGA-IB-AAUV-01A-11R-A38C-07,-0.76161516452681,0
TCGA-FB-AAPZ-01A-11R-A41B-07,-0.9679783871315056,1
TCGA-DD-AAEG-01A-11R-A39D-07,-0.43757533088076006,1
TCGA-24-0975-01A-02R-1565-13,-0.44033416914246903,1
TCGA-AA-3841-01A-01R-0905-07,-0.15197243871859534,1
TCGA-75-6211-01A-11R-1755-07,-0.3521284979245505,1
TCGA-IB-7887-01A-11R-2156-07,-0.829679127621255,0
TCGA-78-7161-01A-11R-2039-07,-0.4763059894353351,1
TCGA-B0-5699-01A-11R-1541-07,-0.6085614451391875,0
TCGA-DD-A113-01A-11R-A131-07,-0.43555247095339217,1
TCGA-E9-A1R2-01A-11R-A14D-07,-0.45191749145461635,1
TCGA-78-7536-01A-11R-2066-07,-0.2954215087185004,0
TCGA-B6-A0WY-01A-11R-A109-07,-0.6999393395339287,1
TCGA-ZP-A9CY-01A-11R-A38B-07,-0.6241416592727256,1
TCGA-EJ-5495-01A-01R-1580-07,-0.4396569581018988,1
TCGA-2H-A9GJ-01A-11R-A37I-31,-0.5251642220332166,1
TCGA-AA-3955-01A-02R-1022-07,-0.4144610486964767,1
TCGA-20-1684-01A-01R-1566-13,-0.41530217528779434,1
TCGA-AA-3697-01A-01R-1723-07,-0.7009643202916904,1
TCGA-56-5898-01A-11R-1635-07,-0.5862030015752302,1
TCGA-BP-4801-01A-02R-1420-07,-0.67768323848531,1
TCGA-D8-A146-01A-31R-A115-07,-0.6078843457433522,1
TCGA-DD-AACJ-01A-11R-A41C-07,-0.39289495480522013,1
TCGA-BQ-5892-01A-11R-1592-07,-0.4751787972238018,0
TCGA-BH-A0BF-01A-21R-A12P-07,-0.6340205723991389,1
TCGA-HZ-8003-01A-21R-2204-07,-0.9215578584881436,1
TCGA-BH-A1EU-01A-11R-A137-07,-0.3066005703395018,1
TCGA-61-1900-01A-01R-1567-13,-0.38742317564842,1
TCGA-AM-5821-01A-01R-1653-07,-0.32841049932249444,1
TCGA-A7-A26J-01A-11R-A169-07,-0.4123694869548887,0
TCGA-AR-A1AT-01A-11R-A12P-07,-0.5179427677455732,1
TCGA-OL-A5S0-01A-11R-A28M-07,-0.16590595010114143,1
TCGA-63-6202-01A-11R-1820-07,-0.3234567867570829,1
TCGA-A2-A3XV-01A-21R-A239-07,0.10414402623656767,1
TCGA-CH-5772-01A-11R-1580-07,-0.5790644309415799,0
TCGA-OL-A5DA-01A-11R-A27Q-07,-0.4657621006693008,1
TCGA-2Z-A9J1-01A-11R-A38C-07,-0.7029438106767711,1
TCGA-LN-A8I0-01A-11R-A36D-31,-0.5138161190245194,1
TCGA-50-8460-01A-11R-2326-07,-0.6034189314644616,1
TCGA-86-8279-01A-11R-2287-07,-0.4774383426896679,1
TCGA-56-A4ZJ-01A-11R-A262-07,-0.5184339678673757,1
TCGA-67-3770-01A-01R-0946-07,-0.24230044336493758,1
TCGA-A2-A0YF-01A-21R-A109-07,-0.2818182904082447,1
TCGA-85-A50Z-01A-21R-A262-07,-0.3364316550529606,1
TCGA-G9-6363-01A-21R-1789-07,-0.29682036515511423,0
TCGA-G7-6790-01A-11R-1965-07,-0.5472947774469564,1
TCGA-AR-A1AM-01A-41R-A22K-07,-0.6320906561369177,1
TCGA-E2-A10C-01A-21R-A10J-07,-0.2928547756770305,1
TCGA-AA-A00L-01A-01R-A002-07,-0.5281427606703746,1
TCGA-55-7995-01A-11R-2187-07,-0.4102373227729079,1
TCGA-G4-6309-01A-21R-1839-07,-0.5599986342511958,0
TCGA-CJ-4908-01A-01R-1426-07,-0.6647616695056197,1
TCGA-EJ-A46B-01A-31R-A250-07,-0.7424185966231412,1
TCGA-AR-A24Z-01A-11R-A169-07,-0.31470713846025805,1
TCGA-A6-2685-01A-01R-1410-07,-0.4047201826776563,1
TCGA-A4-A5DU-01A-11R-A28H-07,-0.6206309452807219,1
TCGA-AZ-6600-01A-11R-1774-07,-0.7606439206067176,0
TCGA-CC-A7IH-01A-11R-A33J-07,-0.5148880209277001,1
TCGA-QU-A6IM-01A-11R-A31N-07,-0.03802709966902638,1
TCGA-LN-A49M-01A-21R-A260-31,-0.6384006792300085,1
TCGA-66-2765-01A-01R-0851-07,-0.4146108786114796,1
TCGA-A8-A0AB-01A-11R-A034-07,-0.315910801860824,0
TCGA-S3-AA14-01A-11R-A41B-07,-0.4736879950951451,0
TCGA-98-A538-01A-11R-A262-07,-0.4460724138947638,0
TCGA-CM-6166-01A-11R-1653-07,-0.4488374993688203,1
TCGA-5M-AAT4-01A-11R-A41B-07,-0.5682503103471876,1
TCGA-61-2008-01A-02R-1568-13,-0.4818062498896779,1
TCGA-B6-A0X0-01A-21R-A115-07,-0.5213494782531792,1
TCGA-86-8281-01A-11R-2287-07,-0.4590206802253548,1
TCGA-24-1546-01A-01R-1566-13,-0.47114499737747045,1
TCGA-V1-A9OL-01A-11R-A41O-07,-0.5847664789907314,1
TCGA-BH-A201-01A-11R-A14M-07,-0.5140019642220972,1
TCGA-18-3409-01A-01R-0980-07,-0.44125421481762134,1
TCGA-F4-6461-01A-11R-1774-07,-0.6849634132677308,0
TCGA-AA-A02E-01A-01R-A00A-07,-0.5496789714866536,1
TCGA-YL-A9WY-01A-11R-A41O-07,-0.7437029137000489,1
TCGA-B0-5102-01A-01R-1420-07,-0.5110653965601238,1
TCGA-G9-7521-01A-11R-2263-07,-0.41884791882333183,1
TCGA-CJ-4902-01A-01R-1426-07,-0.6759422053225493,1
TCGA-CA-6717-01A-11R-1839-07,-0.7051507343801175,1
TCGA-IG-A5S3-01A-11R-A28J-31,-0.4658791439405981,1
TCGA-EJ-5497-01A-02R-1580-07,-0.5923424453732137,1
TCGA-BF-A5EO-01A-12R-A27Q-07,-0.7410510728329577,1
TCGA-85-A4JC-01A-11R-A24Z-07,-0.4630726959503155,1
TCGA-44-3917-01A-01R-A278-07,-0.06480065365480553,0
TCGA-A8-A08H-01A-21R-A00Z-07,-0.4703034741035124,1
TCGA-95-A4VN-01A-11R-A262-07,-0.5673830637563706,0
TCGA-B0-5693-01A-11R-1541-07,-0.694316989844416,1
TCGA-77-8138-01A-11R-2247-07,-0.4301706462615725,0
TCGA-KK-A7B0-01A-11R-A32O-07,-0.11270658474719263,1
TCGA-B0-5083-01A-02R-1420-07,-0.14392431398903005,1
TCGA-GM-A2DA-01A-11R-A18M-07,-0.3870033205279586,1
TCGA-A2-A3KD-01A-12R-A213-07,-0.4752555802978951,1
TCGA-DD-A39Y-01A-11R-A213-07,-0.32848953122254004,1
TCGA-B6-A0WZ-01A-11R-A109-07,-0.39365282533481816,1
TCGA-A6-2682-01A-01R-1410-07,-0.49122985427227933,1
TCGA-D8-A1JU-01A-11R-A13Q-07,-0.48029773355020056,1
TCGA-RL-AAAS-01A-32R-A39D-07,-0.9197444389266678,1
TCGA-B9-A44B-01A-11R-A24Z-07,-0.35525961925719873,1
TCGA-B6-A0I5-01A-11R-A034-07,-0.24337099774957138,1
TCGA-BH-AB28-01A-31R-A41B-07,-0.5326688333717808,0
TCGA-E9-A1N9-01A-11R-A14D-07,-0.3610094713519079,1
TCGA-A3-3363-01A-01R-0864-07,-0.27335154080779717,1
TCGA-22-1000-01A-01R-A32Z-07,-0.6127008184729413,0
TCGA-KK-A6E4-01A-11R-A30B-07,-0.3095178618361931,0
TCGA-BQ-5889-01A-11R-1592-07,-0.45684841091066664,1
TCGA-DM-A1HA-01A-11R-A155-07,-0.25411924991281204,1
TCGA-BF-A5ER-01A-12R-A27Q-07,-0.730735105981336,0
TCGA-LL-A73Y-01A-11R-A33J-07,-0.4489551376499246,1
TCGA-BF-A3DL-01A-11R-A20F-07,-0.7262863426877371,1
TCGA-VR-A8EO-01A-11R-A36D-31,-0.4171190154096317,0
TCGA-L1-A7W4-01A-12R-A36G-07,-0.3016466691194696,0
TCGA-B0-4838-01A-01R-1305-07,-0.6770211466250701,1
TCGA-2Y-A9GY-01A-11R-A38B-07,-0.3693432141226459,1
