sample_id,score,y_member
TCGA-B0-5115-01A-01R-1420-07,-0.39398527355011065,0
TCGA-EJ-A46E-01A-31R-A250-07,-0.5008353433927756,0
TCGA-DD-AAE7-01A-11R-A41C-07,-0.30191196805885084,1
TCGA-Z6-A8JE-01A-11R-A37I-31,-0.3119651810971242,0
TCGA-A8-A08F-01A-11R-A00Z-07,-0.40951891970546306,1
TCGA-59-2350-01A-01R-1569-13,-0.34561095650247114,1
TCGA-CZ-4858-01A-01R-1305-07,-0.3914149825051782,1
TCGA-CZ-5470-01A-01R-1503-07,-0.5322371481803616,1
TCGA-AN-A0XN-01A-21R-A109-07,-0.513440721396054,1
TCGA-37-A5EL-01A-11R-A26W-07,-0.26237299197839203,1
TCGA-46-6025-01A-11R-1820-07,-0.29265630100236045,0
TCGA-AN-A0XS-01A-22R-A109-07,-0.6509236095817796,1
TCGA-M7-A725-01A-12R-A32O-07,-0.43486408476235283,0
TCGA-XN-A8T3-01A-11R-A36G-07,-0.717761608845117,1
TCGA-3K-AAZ8-01A-12R-A39D-07,-0.15467559356135488,1
TCGA-B9-5155-01A-01R-1592-07,-0.326954596490895,0
TCGA-OK-A5Q2-01A-11R-A27Q-07,-0.7707737939597428,0
TCGA-2Y-A9H8-01A-11R-A39D-07,-0.15634078526345563,1
TCGA-30-1866-01A-02R-1568-13,-0.17772403395109093,1
TCGA-SX-A7SO-01A-11R-A355-07,-0.36668226169698115,0
TCGA-55-7283-01A-11R-2039-07,-0.543538830430114,1
TCGA-M7-A720-01A-12R-A32O-07,-0.5429529129322918,0
TCGA-91-6828-01A-11R-1858-07,-0.4766617941962073,1
TCGA-D8-A1JF-01A-11R-A13Q-07,-0.20465948468818973,1
TCGA-D8-A1JG-01B-11R-A13Q-07,-0.37764014700581433,1
TCGA-AL-3468-01A-02R-1351-07,-0.35996892521124757,1
TCGA-21-1082-01A-01R-0692-07,-0.46097435930873193,1
TCGA-A4-8311-01A-11R-2404-07,-0.37438905983991205,0
TCGA-BD-A3EP-01A-11R-A22L-07,-0.42444216456131995,1
TCGA-92-7340-01A-21R-2045-07,-0.5360149412241781,1
TCGA-EJ-A65B-01A-12R-A30B-07,-0.26805842943878183,0
