sample_id,score,y_member
TCGA-B0-5115-01A-01R-1420-07,-0.039143416751657674,1
TCGA-EJ-A46E-01A-31R-A250-07,0.005816878521760594,1
TCGA-DD-AAE7-01A-11R-A41C-07,-0.06713567635332812,1
TCGA-Z6-A8JE-01A-11R-A37I-31,-0.129707836242471,1
TCGA-A8-A08F-01A-11R-A00Z-07,-0.007812021829798001,1
TCGA-59-2350-01A-01R-1569-13,-0.0317087960114356,1
TCGA-CZ-4858-01A-01R-1305-07,0.0735457823221303,1
TCGA-CZ-5470-01A-01R-1503-07,-0.021569396421060347,1
TCGA-AN-A0XN-01A-21R-A109-07,-0.004074893205800361,1
TCGA-37-A5EL-01A-11R-A26W-07,-0.006375461916282373,1
TCGA-46-6025-01A-11R-1820-07,-0.01472242407715124,1
TCGA-AN-A0XS-01A-22R-A109-07,-0.0180802310315708,1
TCGA-M7-A725-01A-12R-A32O-07,-0.012900974455031262,1
TCGA-XN-A8T3-01A-11R-A36G-07,-0.20198496972870902,0
TCGA-3K-AAZ8-01A-12R-A39D-07,-0.057152473999995373,1
TCGA-B9-5155-01A-01R-1592-07,-0.09048364832352501,1
TCGA-OK-A5Q2-01A-11R-A27Q-07,-0.016196460930127006,1
TCGA-2Y-A9H8-01A-11R-A39D-07,-0.021244229914990795,1
TCGA-30-1866-01A-02R-1568-13,-0.034347317773317995,1
TCGA-SX-A7SO-01A-11R-A355-07,-0.07199522085909345,1
TCGA-55-7283-01A-11R-2039-07,-0.0438261172042612,1
TCGA-M7-A720-01A-12R-A32O-07,-0.04119399046869228,1
TCGA-91-6828-01A-11R-1858-07,-0.0351202820698901,1
TCGA-D8-A1JF-01A-11R-A13Q-07,0.012274723185781182,1
TCGA-D8-A1JG-01B-11R-A13Q-07,-0.0009655213478430627,1
TCGA-AL-3468-01A-02R-1351-07,-0.09988426833645267,1
TCGA-21-1082-01A-01R-0692-07,-0.021306965486978094,1
TCGA-A4-8311-01A-11R-2404-07,-0.10096318815167031,1
TCGA-BD-A3EP-01A-11R-A22L-07,-0.0479502790508525,1
TCGA-92-7340-01A-21R-2045-07,-0.02668777449570959,1
TCGA-EJ-A65B-01A-12R-A30B-07,-0.0010203727085525186,1
TCGA-HC-8261-01B-05R-2302-07,0.09083081034904049,1
TCGA-AZ-6601-01A-11R-1774-07,-0.04379330978013842,1
TCGA-B0-4703-01A-01R-1277-07,-0.014830399837060547,1
TCGA-AA-A004-01A-01R-A00A-07,0.07243255311813171,1
TCGA-30-1862-01A-02R-1568-13,-0.039788018810801844,1
TCGA-09-2045-01A-01R-1568-13,-0.027241549952859732,1
TCGA-E2-A10F-01A-11R-A10J-07,-0.01200293505743682,1
TCGA-OL-A6VO-01A-12R-A33J-07,0.0012464443993638575,1
TCGA-BQ-5884-01A-11R-1592-07,-0.005884413060750567,1
TCGA-49-4507-01A-01R-1206-07,-0.02188264123257527,1
TCGA-ZG-A9LS-01A-12R-A41O-07,-0.021266538364654905,1
TCGA-AN-A0FW-01A-11R-A034-07,-0.0028282654595396897,1
TCGA-A6-A5ZU-01A-11R-A28H-07,-0.007290728832875754,1
TCGA-QU-A6IL-01A-11R-A31N-07,0.0317857282993425,1
TCGA-67-4679-01B-01R-1755-07,-0.0644286933076942,0
TCGA-DM-A28G-01A-11R-A16W-07,-0.04634254757197411,1
TCGA-IB-AAUV-01A-11R-A38C-07,-0.1365571628513491,1
TCGA-FB-AAPZ-01A-11R-A41B-07,-0.1853227509985037,1
TCGA-DD-AAEG-01A-11R-A39D-07,-0.03764513810615753,1
TCGA-24-0975-01A-02R-1565-13,-0.024518057307724515,1
TCGA-AA-3841-01A-01R-0905-07,-0.0142356731851641,0
TCGA-75-6211-01A-11R-1755-07,-0.02710796944925274,1
TCGA-IB-7887-01A-11R-2156-07,-0.14207617198162759,1
TCGA-78-7161-01A-11R-2039-07,-0.03998349958151968,1
TCGA-B0-5699-01A-11R-1541-07,-0.02824714173242955,1
TCGA-DD-A113-01A-11R-A131-07,-0.03988709048939469,1
TCGA-E9-A1R2-01A-11R-A14D-07,-0.008495634323925288,1
TCGA-78-7536-01A-11R-2066-07,-0.01730533040278684,1
TCGA-B6-A0WY-01A-11R-A109-07,-0.009158636080819542,1
TCGA-ZP-A9CY-01A-11R-A38B-07,-0.07571107041677468,1
TCGA-EJ-5495-01A-01R-1580-07,-0.009156276900587195,0
TCGA-2H-A9GJ-01A-11R-A37I-31,-0.11730536647198543,1
TCGA-AA-3955-01A-02R-1022-07,-0.02569201571806601,1
TCGA-20-1684-01A-01R-1566-13,-0.03939292025895034,1
TCGA-AA-3697-01A-01R-1723-07,-0.05257358574700112,1
TCGA-56-5898-01A-11R-1635-07,-0.040651624528821935,1
TCGA-BP-4801-01A-02R-1420-07,-0.035137534657427714,1
TCGA-D8-A146-01A-31R-A115-07,-0.019075189292292544,1
TCGA-DD-AACJ-01A-11R-A41C-07,-0.05008745051062339,0
TCGA-BQ-5892-01A-11R-1592-07,-0.04089234611124272,1
TCGA-BH-A0BF-01A-21R-A12P-07,-0.022408232182491106,0
TCGA-HZ-8003-01A-21R-2204-07,-0.1729216777517634,0
TCGA-BH-A1EU-01A-11R-A137-07,-0.00463139375710999,1
TCGA-61-1900-01A-01R-1567-13,-0.05374855405733084,0
TCGA-AM-5821-01A-01R-1653-07,0.01689433386063081,1
TCGA-A7-A26J-01A-11R-A169-07,-0.009775071413090171,1
TCGA-AR-A1AT-01A-11R-A12P-07,-0.010677151011298699,1
TCGA-OL-A5S0-01A-11R-A28M-07,0.002960147577211913,1
TCGA-63-6202-01A-11R-1820-07,0.0036125092150377704,1
TCGA-A2-A3XV-01A-21R-A239-07,0.008719354973141729,0
TCGA-CH-5772-01A-11R-1580-07,-0.029481549920632864,1
TCGA-OL-A5DA-01A-11R-A27Q-07,-0.01232321220304662,1
TCGA-2Z-A9J1-01A-11R-A38C-07,-0.12407352933625412,1
TCGA-LN-A8I0-01A-11R-A36D-31,-0.13531794817960746,0
TCGA-50-8460-01A-11R-2326-07,-0.040675564378154554,1
TCGA-86-8279-01A-11R-2287-07,-0.040037729020377805,1
TCGA-56-A4ZJ-01A-11R-A262-07,-0.022282833876118194,1
TCGA-67-3770-01A-01R-0946-07,-0.03227240140622298,1
TCGA-A2-A0YF-01A-21R-A109-07,-0.001339319024904797,1
TCGA-85-A50Z-01A-21R-A262-07,-0.0109485134262265,1
TCGA-G9-6363-01A-21R-1789-07,0.032423859536081415,1
TCGA-G7-6790-01A-11R-1965-07,-0.11973299276230678,0
TCGA-AR-A1AM-01A-41R-A22K-07,-0.027196018881759317,0
TCGA-E2-A10C-01A-21R-A10J-07,-0.0067026688001662945,1
TCGA-AA-A00L-01A-01R-A002-07,-0.049202142753964936,0
TCGA-55-7995-01A-11R-2187-07,-0.026312743720679266,1
TCGA-G4-6309-01A-21R-1839-07,-0.042440377525562976,1
TCGA-CJ-4908-01A-01R-1426-07,-0.028443536458551313,1
TCGA-EJ-A46B-01A-31R-A250-07,-0.05825752074522589,0
TCGA-AR-A24Z-01A-11R-A169-07,-0.013884059107241786,0
TCGA-A6-2685-01A-01R-1410-07,-0.02704827231450442,0
TCGA-A4-A5DU-01A-11R-A28H-07,-0.10155138476766248,1
TCGA-AZ-6600-01A-11R-1774-07,-0.0531776467562134,1
TCGA-CC-A7IH-01A-11R-A33J-07,-0.04914286087167137,1
TCGA-QU-A6IM-01A-11R-A31N-07,0.04824977358161804,1
TCGA-LN-A49M-01A-21R-A260-31,-0.14629045757200243,1
TCGA-66-2765-01A-01R-0851-07,-0.039413494927353666,0
TCGA-A8-A0AB-01A-11R-A034-07,-0.006760559435335076,1
TCGA-S3-AA14-01A-11R-A41B-07,-0.010663866606312782,1
TCGA-98-A538-01A-11R-A262-07,-0.03086691519806545,1
TCGA-CM-6166-01A-11R-1653-07,-0.025560020186356856,1
TCGA-5M-AAT4-01A-11R-A41B-07,-0.040751700602000125,1
TCGA-61-2008-01A-02R-1568-13,-0.029922289081707812,1
TCGA-B6-A0X0-01A-21R-A115-07,-0.007338442161348232,1
TCGA-86-8281-01A-11R-2287-07,-0.051226531175138486,1
TCGA-24-1546-01A-01R-1566-13,-0.04556147382390526,0
TCGA-V1-A9OL-01A-11R-A41O-07,-0.04130042846240365,0
TCGA-BH-A201-01A-11R-A14M-07,-0.00878945236629727,1
TCGA-18-3409-01A-01R-0980-07,-0.009984353377311836,1
TCGA-F4-6461-01A-11R-1774-07,-0.016670720457897262,1
TCGA-AA-A02E-01A-01R-A00A-07,-0.05881825849908133,0
TCGA-YL-A9WY-01A-11R-A41O-07,-0.019565525018581578,1
TCGA-B0-5102-01A-01R-1420-07,-0.01752231260043162,1
TCGA-G9-7521-01A-11R-2263-07,-0.0012094519089513197,0
TCGA-CJ-4902-01A-01R-1426-07,-0.032260183053041944,1
TCGA-CA-6717-01A-11R-1839-07,-0.04227568499180784,0
TCGA-IG-A5S3-01A-11R-A28J-31,-0.12158324047730334,0
TCGA-EJ-5497-01A-02R-1580-07,-0.03773721518417662,1
TCGA-BF-A5EO-01A-12R-A27Q-07,-0.38296296875345304,0
TCGA-85-A4JC-01A-11R-A24Z-07,-0.02808392886576813,1
TCGA-44-3917-01A-01R-A278-07,-0.010246969631532462,1
TCGA-A8-A08H-01A-21R-A00Z-07,0.003537081300746546,1
TCGA-95-A4VN-01A-11R-A262-07,-0.04347904686984871,1
TCGA-B0-5693-01A-11R-1541-07,-0.041519026077389415,1
TCGA-77-8138-01A-11R-2247-07,-0.032497537484834374,1
TCGA-KK-A7B0-01A-11R-A32O-07,0.031143206858146377,1
TCGA-B0-5083-01A-02R-1420-07,0.05377346930367795,1
TCGA-GM-A2DA-01A-11R-A18M-07,-0.006650846115474607,1
TCGA-A2-A3KD-01A-12R-A213-07,-0.010959162231916954,1
TCGA-DD-A39Y-01A-11R-A213-07,-0.004966743805795963,1
TCGA-B6-A0WZ-01A-11R-A109-07,-0.01098372027477045,1
TCGA-A6-2682-01A-01R-1410-07,-0.03135680674475921,1
TCGA-D8-A1JU-01A-11R-A13Q-07,-0.01883161614101686,0
TCGA-RL-AAAS-01A-32R-A39D-07,-0.17240606154834215,0
TCGA-B9-A44B-01A-11R-A24Z-07,-0.051317624148407445,1
TCGA-B6-A0I5-01A-11R-A034-07,-0.008501411297818076,1
TCGA-BH-AB28-01A-31R-A41B-07,-0.012852104240340088,1
TCGA-E9-A1N9-01A-11R-A14D-07,-0.01218203715906436,0
