sample_id,score,y_member
TCGA-B0-5115-01A-01R-1420-07,-0.1963954569410384,1
TCGA-EJ-A46E-01A-31R-A250-07,-0.1252536320971485,1
TCGA-DD-AAE7-01A-11R-A41C-07,-0.38482522970523286,1
TCGA-Z6-A8JE-01A-11R-A37I-31,-1.2769338806904649,1
TCGA-A8-A08F-01A-11R-A00Z-07,-0.09969458109546797,1
TCGA-59-2350-01A-01R-1569-13,-0.3333697784877388,1
TCGA-CZ-4858-01A-01R-1305-07,-0.14105581372587353,1
TCGA-CZ-5470-01A-01R-1503-07,-0.23927472294330504,0
TCGA-AN-A0XN-01A-21R-A109-07,-0.10321744158504907,1
TCGA-37-A5EL-01A-11R-A26W-07,-0.1386435571802687,1
TCGA-46-6025-01A-11R-1820-07,-0.18846529553069358,1
TCGA-AN-A0XS-01A-22R-A109-07,-0.1269573277683884,1
TCGA-M7-A725-01A-12R-A32O-07,-0.2080061213648479,1
TCGA-XN-A8T3-01A-11R-A36G-07,-0.9414921862740028,1
TCGA-3K-AAZ8-01A-12R-A39D-07,-0.3505342919072036,1
TCGA-B9-5155-01A-01R-1592-07,-0.4310502636839909,1
TCGA-OK-A5Q2-01A-11R-A27Q-07,-0.11816871151001125,1
TCGA-2Y-A9H8-01A-11R-A39D-07,-0.43527898676042814,1
TCGA-30-1866-01A-02R-1568-13,-0.25103666610017555,1
TCGA-SX-A7SO-01A-11R-A355-07,-0.44267142485402594,1
TCGA-55-7283-01A-11R-2039-07,-0.23321856119094764,0
TCGA-M7-A720-01A-12R-A32O-07,-0.22696357038847148,1
TCGA-91-6828-01A-11R-1858-07,-0.21548171457874823,0
TCGA-D8-A1JF-01A-11R-A13Q-07,-0.015417902585580704,1
TCGA-D8-A1JG-01B-11R-A13Q-07,-0.09145170527683742,0
TCGA-AL-3468-01A-02R-1351-07,-0.5738963143788401,0
TCGA-21-1082-01A-01R-0692-07,-0.21405555046106162,1
TCGA-A4-8311-01A-11R-2404-07,-0.46404181487263363,1
TCGA-BD-A3EP-01A-11R-A22L-07,-0.3746721864991795,0
TCGA-92-7340-01A-21R-2045-07,-0.18694305288706184,0
TCGA-EJ-A65B-01A-12R-A30B-07,-0.1896620802496009,1
TCGA-HC-8261-01B-05R-2302-07,-0.07579896106661879,1
TCGA-AZ-6601-01A-11R-1774-07,-0.26629495211663656,1
TCGA-B0-4703-01A-01R-1277-07,-0.2160982506891888,0
TCGA-AA-A004-01A-01R-A00A-07,0.11332702987160403,1
TCGA-30-1862-01A-02R-1568-13,-0.26379911780122234,1
TCGA-09-2045-01A-01R-1568-13,-0.2730118685486353,1
TCGA-E2-A10F-01A-11R-A10J-07,-0.12129954344123335,1
TCGA-OL-A6VO-01A-12R-A33J-07,-0.06921535006238064,1
TCGA-BQ-5884-01A-11R-1592-07,-0.4902849558635224,1
TCGA-49-4507-01A-01R-1206-07,-0.21621382721332297,1
TCGA-ZG-A9LS-01A-12R-A41O-07,-0.18763210780978204,1
TCGA-AN-A0FW-01A-11R-A034-07,-0.08769408363616288,1
TCGA-A6-A5ZU-01A-11R-A28H-07,-0.23754472319331404,1
TCGA-QU-A6IL-01A-11R-A31N-07,-0.14738782654346108,0
TCGA-67-4679-01B-01R-1755-07,-0.2252710182712011,1
TCGA-DM-A28G-01A-11R-A16W-07,-0.23233763367223087,1
TCGA-IB-AAUV-01A-11R-A38C-07,-1.117627024657759,0
TCGA-FB-AAPZ-01A-11R-A41B-07,-0.9307230175038697,1
TCGA-DD-AAEG-01A-11R-A39D-07,-0.39486152566083127,1
TCGA-24-0975-01A-02R-1565-13,-0.2569553790097174,1
TCGA-AA-3841-01A-01R-0905-07,-0.19810135003941157,1
TCGA-75-6211-01A-11R-1755-07,-0.15129288174139813,1
TCGA-IB-7887-01A-11R-2156-07,-1.2350364067038841,0
TCGA-78-7161-01A-11R-2039-07,-0.18281813953784126,1
TCGA-B0-5699-01A-11R-1541-07,-0.22459907789368544,0
TCGA-DD-A113-01A-11R-A131-07,-0.39290742071150386,1
TCGA-E9-A1R2-01A-11R-A14D-07,-0.10558452874152238,1
TCGA-78-7536-01A-11R-2066-07,-0.1708112023536516,0
TCGA-B6-A0WY-01A-11R-A109-07,-0.10697985915312014,1
TCGA-ZP-A9CY-01A-11R-A38B-07,-0.3876401106615099,1
TCGA-EJ-5495-01A-01R-1580-07,-0.2749454935884438,1
TCGA-2H-A9GJ-01A-11R-A37I-31,-1.1602491224913878,1
TCGA-AA-3955-01A-02R-1022-07,-0.21455533556954243,1
TCGA-20-1684-01A-01R-1566-13,-0.2812120388651976,1
TCGA-AA-3697-01A-01R-1723-07,-0.2308523498859419,1
TCGA-56-5898-01A-11R-1635-07,-0.21708643082616116,1
TCGA-BP-4801-01A-02R-1420-07,-0.20515336199220668,1
TCGA-D8-A146-01A-31R-A115-07,-0.1290734799791266,1
TCGA-DD-AACJ-01A-11R-A41C-07,-0.33964888507772867,1
TCGA-BQ-5892-01A-11R-1592-07,-0.5565861151538045,0
TCGA-BH-A0BF-01A-21R-A12P-07,-0.1165125886194333,1
TCGA-HZ-8003-01A-21R-2204-07,-1.2291489599284837,1
TCGA-BH-A1EU-01A-11R-A137-07,-0.0899957510870989,1
TCGA-61-1900-01A-01R-1567-13,-0.29379783515009006,1
TCGA-AM-5821-01A-01R-1653-07,-0.22934186707538218,1
TCGA-A7-A26J-01A-11R-A169-07,-0.11436713907743329,0
TCGA-AR-A1AT-01A-11R-A12P-07,-0.10838897467372677,1
TCGA-OL-A5S0-01A-11R-A28M-07,-0.08659004045151038,1
TCGA-63-6202-01A-11R-1820-07,-0.1717772373756517,1
TCGA-A2-A3XV-01A-21R-A239-07,0.0911902898931592,1
TCGA-CH-5772-01A-11R-1580-07,-0.21255996793432505,0
TCGA-OL-A5DA-01A-11R-A27Q-07,-0.09382470863562328,1
TCGA-2Z-A9J1-01A-11R-A38C-07,-0.4723484250308914,1
TCGA-LN-A8I0-01A-11R-A36D-31,-1.4083637711544004,1
TCGA-50-8460-01A-11R-2326-07,-0.20182437775974946,1
TCGA-86-8279-01A-11R-2287-07,-0.20794487844568407,1
TCGA-56-A4ZJ-01A-11R-A262-07,-0.21991544592604825,1
TCGA-67-3770-01A-01R-0946-07,-0.1824394830949232,1
TCGA-A2-A0YF-01A-21R-A109-07,-0.11116153223220447,1
TCGA-85-A50Z-01A-21R-A262-07,-0.2031015764189695,1
TCGA-G9-6363-01A-21R-1789-07,-0.2319096750589017,0
TCGA-G7-6790-01A-11R-1965-07,-0.5159287860574775,1
TCGA-AR-A1AM-01A-41R-A22K-07,-0.12025627200189362,1
TCGA-E2-A10C-01A-21R-A10J-07,-0.07537293922884708,1
TCGA-AA-A00L-01A-01R-A002-07,-0.20921586944741116,1
TCGA-55-7995-01A-11R-2187-07,-0.21567706541215256,1
TCGA-G4-6309-01A-21R-1839-07,-0.21466282227326303,0
TCGA-CJ-4908-01A-01R-1426-07,-0.19649145364769277,1
TCGA-EJ-A46B-01A-31R-A250-07,-0.1811938647276727,1
TCGA-AR-A24Z-01A-11R-A169-07,-0.0914870225604146,1
TCGA-A6-2685-01A-01R-1410-07,-0.26787126700533387,1
TCGA-A4-A5DU-01A-11R-A28H-07,-0.5092993078649349,1
TCGA-AZ-6600-01A-11R-1774-07,-0.2799998391243496,0
TCGA-CC-A7IH-01A-11R-A33J-07,-0.3211688089593108,1
TCGA-QU-A6IM-01A-11R-A31N-07,-0.05099785854100237,1
TCGA-LN-A49M-01A-21R-A260-31,-1.216457958737397,1
TCGA-66-2765-01A-01R-0851-07,-0.21059188412696736,1
TCGA-A8-A0AB-01A-11R-A034-07,-0.09109156250389913,0
TCGA-S3-AA14-01A-11R-A41B-07,-0.10897021410749806,0
TCGA-98-A538-01A-11R-A262-07,-0.2196246362292484,0
TCGA-CM-6166-01A-11R-1653-07,-0.218891690629995,1
TCGA-5M-AAT4-01A-11R-A41B-07,-0.2336852944862085,1
TCGA-61-2008-01A-02R-1568-13,-0.22337624684900767,1
TCGA-B6-A0X0-01A-21R-A115-07,-0.11841767924027737,1
TCGA-86-8281-01A-11R-2287-07,-0.19406554726453706,1
TCGA-24-1546-01A-01R-1566-13,-0.27635129166692285,1
TCGA-V1-A9OL-01A-11R-A41O-07,-0.23499210170426812,1
TCGA-BH-A201-01A-11R-A14M-07,-0.12264094538727448,1
TCGA-18-3409-01A-01R-0980-07,-0.18020290794741556,1
TCGA-F4-6461-01A-11R-1774-07,-0.2807696178302951,0
TCGA-AA-A02E-01A-01R-A00A-07,-0.23581932517069282,1
TCGA-YL-A9WY-01A-11R-A41O-07,-0.2224704511180502,1
TCGA-B0-5102-01A-01R-1420-07,-0.20783152715065234,1
TCGA-G9-7521-01A-11R-2263-07,-0.24198410760154124,1
TCGA-CJ-4902-01A-01R-1426-07,-0.19148717373281285,1
TCGA-CA-6717-01A-11R-1839-07,-0.20718202270020536,1
TCGA-IG-A5S3-01A-11R-A28J-31,-1.323872370264922,1
TCGA-EJ-5497-01A-02R-1580-07,-0.21731704852985262,1
TCGA-BF-A5EO-01A-12R-A27Q-07,-7.994860843025411,1
TCGA-85-A4JC-01A-11R-A24Z-07,-0.19838145024787313,1
TCGA-44-3917-01A-01R-A278-07,-0.0636641760361458,0
TCGA-A8-A08H-01A-21R-A00Z-07,-0.08037966883479099,1
