sample_id,score,y_member
TCGA-B0-5115-01A-01R-1420-07,-0.6737041896125765,1
TCGA-EJ-A46E-01A-31R-A250-07,-0.6394602804166932,1
TCGA-DD-AAE7-01A-11R-A41C-07,-0.5963949020684004,0
TCGA-Z6-A8JE-01A-11R-A37I-31,-0.6513386574129199,1
TCGA-A8-A08F-01A-11R-A00Z-07,-0.4863149949606513,0
TCGA-59-2350-01A-01R-1569-13,-0.5338012221848296,1
TCGA-CZ-4858-01A-01R-1305-07,-0.25919969381876096,1
TCGA-CZ-5470-01A-01R-1503-07,-0.7124886349284925,1
TCGA-AN-A0XN-01A-21R-A109-07,-0.5979537938942895,0
TCGA-37-A5EL-01A-11R-A26W-07,-0.395610797531227,1
TCGA-46-6025-01A-11R-1820-07,-0.4501036083351942,1
TCGA-AN-A0XS-01A-22R-A109-07,-0.7869407004656893,0
TCGA-M7-A725-01A-12R-A32O-07,-0.570968949450254,1
TCGA-XN-A8T3-01A-11R-A36G-07,-1.1345089984879904,1
TCGA-3K-AAZ8-01A-12R-A39D-07,-0.4734101930777839,0
TCGA-B9-5155-01A-01R-1592-07,-0.5872195274728818,1
TCGA-OK-A5Q2-01A-11R-A27Q-07,-0.8796602113845431,1
TCGA-2Y-A9H8-01A-11R-A39D-07,-0.38856146712943135,1
TCGA-30-1866-01A-02R-1568-13,-0.37122123765630527,1
TCGA-SX-A7SO-01A-11R-A355-07,-0.599767295829617,1
TCGA-55-7283-01A-11R-2039-07,-0.6378900528012915,1
TCGA-M7-A720-01A-12R-A32O-07,-0.8190119553602925,1
TCGA-91-6828-01A-11R-1858-07,-0.5663424818149219,1
TCGA-D8-A1JF-01A-11R-A13Q-07,-0.24998902540201232,1
TCGA-D8-A1JG-01B-11R-A13Q-07,-0.4184565405185186,1
TCGA-AL-3468-01A-02R-1351-07,-0.6422007470749546,1
TCGA-21-1082-01A-01R-0692-07,-0.5861284575044068,1
TCGA-A4-8311-01A-11R-2404-07,-0.6694334135154943,1
TCGA-BD-A3EP-01A-11R-A22L-07,-0.6427050058826589,1
TCGA-92-7340-01A-21R-2045-07,-0.6793884086435603,1
TCGA-EJ-A65B-01A-12R-A30B-07,-0.4185734715465626,1
TCGA-HC-8261-01B-05R-2302-07,-0.12365646624889812,1
TCGA-AZ-6601-01A-11R-1774-07,-0.781499062774283,1
TCGA-B0-4703-01A-01R-1277-07,-0.6636976276697826,1
TCGA-AA-A004-01A-01R-A00A-07,0.08628662739291898,1
TCGA-30-1862-01A-02R-1568-13,-0.652167198689635,1
TCGA-09-2045-01A-01R-1568-13,-0.5020085148038708,0
TCGA-E2-A10F-01A-11R-A10J-07,-0.7993013598735282,0
TCGA-OL-A6VO-01A-12R-A33J-07,-0.3154945650231206,1
TCGA-BQ-5884-01A-11R-1592-07,-0.38703578355306734,1
TCGA-49-4507-01A-01R-1206-07,-0.27142790827414753,0
TCGA-ZG-A9LS-01A-12R-A41O-07,-0.8032654531313639,0
TCGA-AN-A0FW-01A-11R-A034-07,-0.5606858483341954,1
TCGA-A6-A5ZU-01A-11R-A28H-07,-0.5680294411217407,1
TCGA-QU-A6IL-01A-11R-A31N-07,-0.22661613325255775,1
TCGA-67-4679-01B-01R-1755-07,-0.6287710590281271,1
TCGA-DM-A28G-01A-11R-A16W-07,-0.7911903974604552,1
TCGA-IB-AAUV-01A-11R-A38C-07,-0.8366898281501041,1
TCGA-FB-AAPZ-01A-11R-A41B-07,-1.0562786864378328,1
TCGA-DD-AAEG-01A-11R-A39D-07,-0.43855033900003193,0
TCGA-24-0975-01A-02R-1565-13,-0.49768537964479986,0
TCGA-AA-3841-01A-01R-0905-07,-0.19819556268792624,1
TCGA-75-6211-01A-11R-1755-07,-0.44337463046725745,1
TCGA-IB-7887-01A-11R-2156-07,-0.9293085585871006,1
TCGA-78-7161-01A-11R-2039-07,-0.5398127556011906,1
TCGA-B0-5699-01A-11R-1541-07,-0.6505175655552832,1
TCGA-DD-A113-01A-11R-A131-07,-0.4697165802331081,1
TCGA-E9-A1R2-01A-11R-A14D-07,-0.5707436265859548,1
TCGA-78-7536-01A-11R-2066-07,-0.39333738745880187,1
TCGA-B6-A0WY-01A-11R-A109-07,-0.8661666605623418,0
TCGA-ZP-A9CY-01A-11R-A38B-07,-0.6205468014989429,0
TCGA-EJ-5495-01A-01R-1580-07,-0.5585447969238947,1
TCGA-2H-A9GJ-01A-11R-A37I-31,-0.6366626786575919,1
TCGA-AA-3955-01A-02R-1022-07,-0.4699435236755095,0
TCGA-20-1684-01A-01R-1566-13,-0.4915441221298544,1
TCGA-AA-3697-01A-01R-1723-07,-0.7754537270151046,1
TCGA-56-5898-01A-11R-1635-07,-0.7103367895870288,1
TCGA-BP-4801-01A-02R-1420-07,-0.7121248200462249,1
TCGA-D8-A146-01A-31R-A115-07,-0.7200244232063652,1
TCGA-DD-AACJ-01A-11R-A41C-07,-0.3606985176133584,1
TCGA-BQ-5892-01A-11R-1592-07,-0.537656326773484,1
TCGA-BH-A0BF-01A-21R-A12P-07,-0.7954265570417964,1
TCGA-HZ-8003-01A-21R-2204-07,-1.0576660092179284,1
TCGA-BH-A1EU-01A-11R-A137-07,-0.4059996759068568,0
TCGA-61-1900-01A-01R-1567-13,-0.45169137181453306,1
TCGA-AM-5821-01A-01R-1653-07,-0.420598661041464,1
TCGA-A7-A26J-01A-11R-A169-07,-0.5163963029793658,1
TCGA-AR-A1AT-01A-11R-A12P-07,-0.6304448870458389,1
TCGA-OL-A5S0-01A-11R-A28M-07,-0.3315447023973988,0
TCGA-63-6202-01A-11R-1820-07,-0.45038637637882983,1
TCGA-A2-A3XV-01A-21R-A239-07,0.006920097738061206,1
TCGA-CH-5772-01A-11R-1580-07,-0.6204630495094521,1
TCGA-OL-A5DA-01A-11R-A27Q-07,-0.5846794008524963,1
TCGA-2Z-A9J1-01A-11R-A38C-07,-0.6863615297033202,0
TCGA-LN-A8I0-01A-11R-A36D-31,-0.644778799224778,1
TCGA-50-8460-01A-11R-2326-07,-0.7055255957920862,0
TCGA-86-8279-01A-11R-2287-07,-0.5656076167299565,1
TCGA-56-A4ZJ-01A-11R-A262-07,-0.6870561672270687,0
TCGA-67-3770-01A-01R-0946-07,-0.29771139354654713,0
TCGA-A2-A0YF-01A-21R-A109-07,-0.3580001332189067,0
TCGA-85-A50Z-01A-21R-A262-07,-0.4611687714937884,0
TCGA-G9-6363-01A-21R-1789-07,-0.39135122259819966,1
TCGA-G7-6790-01A-11R-1965-07,-0.5551448895776837,1
TCGA-AR-A1AM-01A-41R-A22K-07,-0.7888427222312572,1
TCGA-E2-A10C-01A-21R-A10J-07,-0.4184140726635137,1
TCGA-AA-A00L-01A-01R-A002-07,-0.5706513525860878,1
TCGA-55-7995-01A-11R-2187-07,-0.5326658796111285,1
TCGA-G4-6309-01A-21R-1839-07,-0.6215263061650927,1
TCGA-CJ-4908-01A-01R-1426-07,-0.7165452322164765,0
TCGA-EJ-A46B-01A-31R-A250-07,-0.7669662072206831,1
TCGA-AR-A24Z-01A-11R-A169-07,-0.41302727868709677,1
TCGA-A6-2685-01A-01R-1410-07,-0.49211858291364874,1
TCGA-A4-A5DU-01A-11R-A28H-07,-0.6218943084620274,1
