sample_id,score,y_member
TCGA-B0-5115-01A-01R-1420-07,-0.12836157039855708,1
TCGA-EJ-A46E-01A-31R-A250-07,-0.06663642401077792,1
TCGA-DD-AAE7-01A-11R-A41C-07,-0.12715267856152196,1
TCGA-Z6-A8JE-01A-11R-A37I-31,-0.08132017628155251,1
TCGA-A8-A08F-01A-11R-A00Z-07,-0.102799014232145,1
TCGA-59-2350-01A-01R-1569-13,-0.10354461195679993,1
TCGA-CZ-4858-01A-01R-1305-07,-0.08192095498037066,1
TCGA-CZ-5470-01A-01R-1503-07,-0.14092212015763741,0
TCGA-AN-A0XN-01A-21R-A109-07,-0.11265830977623179,1
TCGA-37-A5EL-01A-11R-A26W-07,-0.06621900263386181,1
TCGA-46-6025-01A-11R-1820-07,-0.07654899593891269,1
TCGA-AN-A0XS-01A-22R-A109-07,-0.1317389238399327,1
TCGA-M7-A725-01A-12R-A32O-07,-0.11219551786291143,1
TCGA-XN-A8T3-01A-11R-A36G-07,-0.14207299069603077,1
TCGA-3K-AAZ8-01A-12R-A39D-07,-0.02206316226186022,1
TCGA-B9-5155-01A-01R-1592-07,-0.061381525063342435,1
TCGA-OK-A5Q2-01A-11R-A27Q-07,-0.1419052482251943,1
TCGA-2Y-A9H8-01A-11R-A39D-07,-0.0777345879421597,1
TCGA-30-1866-01A-02R-1568-13,-0.014476087431539154,1
TCGA-SX-A7SO-01A-11R-A355-07,-0.09931552744918642,1
TCGA-55-7283-01A-11R-2039-07,-0.12817017957421917,0
TCGA-M7-A720-01A-12R-A32O-07,-0.1177395364905129,1
TCGA-91-6828-01A-11R-1858-07,-0.1162760831359731,0
TCGA-D8-A1JF-01A-11R-A13Q-07,-0.021686501328122915,1
TCGA-D8-A1JG-01B-11R-A13Q-07,-0.10402790267775415,0
TCGA-AL-3468-01A-02R-1351-07,-0.1379272072393272,0
TCGA-21-1082-01A-01R-0692-07,-0.10830169793213394,1
TCGA-A4-8311-01A-11R-2404-07,-0.12606092562253712,1
TCGA-BD-A3EP-01A-11R-A22L-07,-0.15159618201809238,0
TCGA-92-7340-01A-21R-2045-07,-0.12321272126494509,0
TCGA-EJ-A65B-01A-12R-A30B-07,-0.09951612944245519,1
TCGA-HC-8261-01B-05R-2302-07,0.004129685362811458,1
TCGA-AZ-6601-01A-11R-1774-07,-0.14215492892077788,1
TCGA-B0-4703-01A-01R-1277-07,-0.1343830638023869,0
TCGA-AA-A004-01A-01R-A00A-07,0.23377693300086363,1
TCGA-30-1862-01A-02R-1568-13,-0.1175657460341844,1
TCGA-09-2045-01A-01R-1568-13,-0.10166787319572985,1
TCGA-E2-A10F-01A-11R-A10J-07,-0.1397806315012268,1
TCGA-OL-A6VO-01A-12R-A33J-07,-0.09546722016145805,1
TCGA-BQ-5884-01A-11R-1592-07,-0.03670492741435648,1
TCGA-49-4507-01A-01R-1206-07,-0.1183321369597017,1
TCGA-ZG-A9LS-01A-12R-A41O-07,-0.14554317674272732,1
TCGA-AN-A0FW-01A-11R-A034-07,-0.0802063418730153,1
TCGA-A6-A5ZU-01A-11R-A28H-07,-0.10873847676221261,1
TCGA-QU-A6IL-01A-11R-A31N-07,-0.004594354189832511,0
TCGA-67-4679-01B-01R-1755-07,-0.11925464834501116,1
TCGA-DM-A28G-01A-11R-A16W-07,-0.1271497013735975,1
TCGA-IB-AAUV-01A-11R-A38C-07,-0.11072959359066356,0
TCGA-FB-AAPZ-01A-11R-A41B-07,-0.13565321943758496,1
TCGA-DD-AAEG-01A-11R-A39D-07,-0.07996251437601613,1
TCGA-24-0975-01A-02R-1565-13,-0.12457965036855122,1
TCGA-AA-3841-01A-01R-0905-07,0.0581665821319462,1
TCGA-75-6211-01A-11R-1755-07,-0.10301338907254698,1
TCGA-IB-7887-01A-11R-2156-07,-0.1381799958699554,0
TCGA-78-7161-01A-11R-2039-07,-0.09982446928492811,1
TCGA-B0-5699-01A-11R-1541-07,-0.13197291253956475,0
TCGA-DD-A113-01A-11R-A131-07,-0.09114791019916847,1
TCGA-E9-A1R2-01A-11R-A14D-07,-0.12014817273511869,1
TCGA-78-7536-01A-11R-2066-07,-0.11407424422391525,0
TCGA-B6-A0WY-01A-11R-A109-07,-0.1300191764384238,1
TCGA-ZP-A9CY-01A-11R-A38B-07,-0.11499773699639118,1
TCGA-EJ-5495-01A-01R-1580-07,-0.13487432956664844,1
TCGA-2H-A9GJ-01A-11R-A37I-31,-0.07366908142119244,1
TCGA-AA-3955-01A-02R-1022-07,-0.0691779218610971,1
TCGA-20-1684-01A-01R-1566-13,-0.058137914691627234,1
TCGA-AA-3697-01A-01R-1723-07,-0.11591985357661862,1
TCGA-56-5898-01A-11R-1635-07,-0.11836484347901138,1
TCGA-BP-4801-01A-02R-1420-07,-0.12726117726840058,1
TCGA-D8-A146-01A-31R-A115-07,-0.13572146544213734,1
TCGA-DD-AACJ-01A-11R-A41C-07,0.04358529807995132,1
TCGA-BQ-5892-01A-11R-1592-07,-0.11783757187522566,0
TCGA-BH-A0BF-01A-21R-A12P-07,-0.13829665795829849,1
TCGA-HZ-8003-01A-21R-2204-07,-0.14525701211187947,1
TCGA-BH-A1EU-01A-11R-A137-07,-0.09931236393697426,1
TCGA-61-1900-01A-01R-1567-13,-0.11322374510554004,1
TCGA-AM-5821-01A-01R-1653-07,-0.09014106501712314,1
TCGA-A7-A26J-01A-11R-A169-07,-0.11231342288006767,0
TCGA-AR-A1AT-01A-11R-A12P-07,-0.11564043355201607,1
TCGA-OL-A5S0-01A-11R-A28M-07,-0.11861486671117678,1
TCGA-63-6202-01A-11R-1820-07,-0.09920318973280517,1
TCGA-A2-A3XV-01A-21R-A239-07,0.027220139459662035,1
TCGA-CH-5772-01A-11R-1580-07,-0.10521934285418759,0
TCGA-OL-A5DA-01A-11R-A27Q-07,-0.10448873476414275,1
TCGA-2Z-A9J1-01A-11R-A38C-07,-0.10963027507613748,1
TCGA-LN-A8I0-01A-11R-A36D-31,-0.10363232433057476,1
TCGA-50-8460-01A-11R-2326-07,-0.12440172954388244,1
TCGA-86-8279-01A-11R-2287-07,-0.12620393780058733,1
TCGA-56-A4ZJ-01A-11R-A262-07,-0.12590321307414692,1
TCGA-67-3770-01A-01R-0946-07,-0.08362888680573248,1
TCGA-A2-A0YF-01A-21R-A109-07,-0.10992974583723893,1
TCGA-85-A50Z-01A-21R-A262-07,-0.09005731151034883,1
TCGA-G9-6363-01A-21R-1789-07,-0.10048189964553497,0
TCGA-G7-6790-01A-11R-1965-07,-0.08008778231644668,1
TCGA-AR-A1AM-01A-41R-A22K-07,-0.12742617769330633,1
TCGA-E2-A10C-01A-21R-A10J-07,-0.08764459805197382,1
TCGA-AA-A00L-01A-01R-A002-07,-0.07959763691743274,1
TCGA-55-7995-01A-11R-2187-07,-0.1447526292532985,1
TCGA-G4-6309-01A-21R-1839-07,-0.10435199334164827,0
TCGA-CJ-4908-01A-01R-1426-07,-0.13063238275553354,1
TCGA-EJ-A46B-01A-31R-A250-07,-0.09860626761586615,1
TCGA-AR-A24Z-01A-11R-A169-07,-0.08988310295429275,1
TCGA-A6-2685-01A-01R-1410-07,-0.10500674786892368,1
TCGA-A4-A5DU-01A-11R-A28H-07,-0.10902844167747618,1
TCGA-AZ-6600-01A-11R-1774-07,-0.14554630884431585,0
TCGA-CC-A7IH-01A-11R-A33J-07,-0.025860114375082385,1
TCGA-QU-A6IM-01A-11R-A31N-07,0.04024309692597884,1
TCGA-LN-A49M-01A-21R-A260-31,-0.04496810072617149,1
TCGA-66-2765-01A-01R-0851-07,-0.11704015887316911,1
TCGA-A8-A0AB-01A-11R-A034-07,-0.07836923793470162,0
TCGA-S3-AA14-01A-11R-A41B-07,-0.12599402087167544,0
TCGA-98-A538-01A-11R-A262-07,-0.1071853027278063,0
TCGA-CM-6166-01A-11R-1653-07,-0.09546720102774611,1
TCGA-5M-AAT4-01A-11R-A41B-07,-0.12212365534648768,1
TCGA-61-2008-01A-02R-1568-13,-0.1056409933761024,1
TCGA-B6-A0X0-01A-21R-A115-07,-0.12392294094189411,1
TCGA-86-8281-01A-11R-2287-07,-0.11505994678906073,1
TCGA-24-1546-01A-01R-1566-13,-0.12154511437381231,1
TCGA-V1-A9OL-01A-11R-A41O-07,-0.1364963729147596,1
TCGA-BH-A201-01A-11R-A14M-07,-0.1337009257751126,1
TCGA-18-3409-01A-01R-0980-07,-0.1079652210614076,1
TCGA-F4-6461-01A-11R-1774-07,-0.11801938992523384,0
TCGA-AA-A02E-01A-01R-A00A-07,-0.11158722439983576,1
TCGA-YL-A9WY-01A-11R-A41O-07,-0.1451173025377021,1
TCGA-B0-5102-01A-01R-1420-07,-0.1313646066163388,1
TCGA-G9-7521-01A-11R-2263-07,-0.10391275026233139,1
TCGA-CJ-4902-01A-01R-1426-07,-0.12912862190478688,1
TCGA-CA-6717-01A-11R-1839-07,-0.1292913457736825,1
TCGA-IG-A5S3-01A-11R-A28J-31,-0.06865151499691434,1
TCGA-EJ-5497-01A-02R-1580-07,-0.10952531736156082,1
TCGA-BF-A5EO-01A-12R-A27Q-07,0.132285423145209,1
TCGA-85-A4JC-01A-11R-A24Z-07,-0.1019170779031849,1
TCGA-44-3917-01A-01R-A278-07,0.0069951958172964155,0
TCGA-A8-A08H-01A-21R-A00Z-07,-0.11983401150383191,1
TCGA-95-A4VN-01A-11R-A262-07,-0.12497213142617854,0
TCGA-B0-5693-01A-11R-1541-07,-0.13247186838875916,1
TCGA-77-8138-01A-11R-2247-07,-0.11782634165763255,0
TCGA-KK-A7B0-01A-11R-A32O-07,-0.05968673413321899,1
TCGA-B0-5083-01A-02R-1420-07,-0.08730073350654265,1
TCGA-GM-A2DA-01A-11R-A18M-07,-0.11329744393618965,1
TCGA-A2-A3KD-01A-12R-A213-07,-0.10727468211904424,1
TCGA-DD-A39Y-01A-11R-A213-07,-0.03449844774512829,1
TCGA-B6-A0WZ-01A-11R-A109-07,-0.12390690350897697,1
TCGA-A6-2682-01A-01R-1410-07,-0.13151349026889464,1
TCGA-D8-A1JU-01A-11R-A13Q-07,-0.14345663124079347,1
TCGA-RL-AAAS-01A-32R-A39D-07,-0.13425758752172998,1
TCGA-B9-A44B-01A-11R-A24Z-07,-0.06550616287462674,1
TCGA-B6-A0I5-01A-11R-A034-07,-0.13335341889335475,1
TCGA-BH-AB28-01A-31R-A41B-07,-0.13173611915032954,0
TCGA-E9-A1N9-01A-11R-A14D-07,-0.09988448877247313,1
TCGA-A3-3363-01A-01R-0864-07,-0.12282628334701363,1
TCGA-22-1000-01A-01R-A32Z-07,-0.1362509624300635,0
TCGA-KK-A6E4-01A-11R-A30B-07,-0.09181515158515945,0
TCGA-BQ-5889-01A-11R-1592-07,-0.14393475742175957,1
TCGA-DM-A1HA-01A-11R-A155-07,-0.039814549440341275,1
TCGA-BF-A5ER-01A-12R-A27Q-07,0.20538175501557798,0
TCGA-LL-A73Y-01A-11R-A33J-07,-0.1255576513279449,1
TCGA-BF-A3DL-01A-11R-A20F-07,0.07988532084469682,1
TCGA-VR-A8EO-01A-11R-A36D-31,-0.03150619222326604,0
TCGA-L1-A7W4-01A-12R-A36G-07,-0.11659885184843884,0
TCGA-B0-4838-01A-01R-1305-07,-0.1392997603279578,1
TCGA-2Y-A9GY-01A-11R-A38B-07,-0.12558962096773718,1
TCGA-BP-4343-01A-02R-1289-07,-0.04703461990557187,1
TCGA-BQ-5893-01A-11R-1592-07,-0.13444322322955585,1
TCGA-HP-A5MZ-01A-21R-A27V-07,-0.15584295554482852,0
TCGA-A7-A4SE-01A-11R-A266-07,-0.11261559233793338,1
TCGA-66-2783-01A-01R-1201-07,-0.1090736720617274,1
TCGA-73-4675-01A-01R-1206-07,-0.12335082698513657,1
TCGA-D5-5538-01A-01R-1653-07,-0.134529992925686,1
TCGA-YL-A8SO-01B-31R-A37L-07,-0.12802109506647555,1
TCGA-E2-A15H-01A-11R-A12D-07,-0.11771335251202236,1
TCGA-V1-A8WN-01A-11R-A37L-07,-0.12392735751148652,1
TCGA-BH-A0EB-01A-11R-A034-07,-0.13455724179679304,0
TCGA-DD-A39X-01A-11R-A213-07,-0.0165026698877777,1
TCGA-E2-A1LK-01A-21R-A14D-07,-0.05445012260721985,1
TCGA-AR-A0TV-01A-21R-A084-07,-0.08435773252925735,1
TCGA-A1-A0SD-01A-11R-A115-07,-0.1264912955095084,1
TCGA-33-AASI-01A-22R-A405-07,-0.1031180703705835,1
TCGA-L5-A4OW-01A-11R-A28J-31,-0.10777500598229435,0
TCGA-86-7711-01A-11R-2066-07,-0.06500835466477853,1
TCGA-34-5234-01A-01R-1635-07,-0.0377039360756726,1
TCGA-63-7023-01A-11R-1949-07,-0.0526852261536759,0
TCGA-BP-5191-01A-01R-1426-07,-0.07223093622617724,0
TCGA-Q9-A6FW-01A-31R-A31P-31,-0.08797799841808467,1
TCGA-CZ-5468-01A-01R-1503-07,-0.10848583397283398,1
TCGA-78-7153-01A-11R-2039-07,-0.12064356868480511,1
TCGA-DD-A4NA-01A-11R-A266-07,-0.08225011793280858,1
TCGA-43-2578-01A-01R-0851-07,-0.12663133705275387,1
TCGA-5R-AA1C-01A-11R-A41C-07,0.028907444322658696,1
TCGA-78-7149-01A-11R-2039-07,-0.12166637631132822,1
TCGA-CW-5591-01A-01R-1541-07,-0.12055461802889433,1
TCGA-13-0906-01A-01R-1564-13,-0.09483877071305416,1
TCGA-CJ-4876-01A-01R-1305-07,-0.0849784962199847,1
TCGA-M7-A724-01A-12R-A32O-07,-0.002432178223017958,0
TCGA-62-A46Y-01A-11R-A24H-07,-0.11359398506174304,1
TCGA-C8-A26V-01A-11R-A16F-07,-0.11755741865425749,1
TCGA-OL-A5D8-01A-11R-A27Q-07,-0.08912320032308566,1
TCGA-77-8143-01A-11R-2247-07,-0.08883207755559099,0
TCGA-BH-A0DO-01B-11R-A12D-07,-0.13485165590975653,1
TCGA-CJ-5675-01A-11R-1541-07,-0.11362652401405025,1
TCGA-A2-A4S0-01A-21R-A266-07,-0.09772005935342047,1
TCGA-B9-4117-01A-02R-1351-07,-0.10616045969222111,1
TCGA-BP-4352-01A-01R-1289-07,-0.03208852114242943,1
TCGA-A2-A0ST-01A-12R-A084-07,-0.11034397164187937,0
TCGA-E2-A1IH-01A-11R-A13Q-07,-0.1327026180951078,1
TCGA-37-3792-01A-01R-0980-07,-0.06292574910561699,1
TCGA-AK-3427-01A-01R-0864-07,0.10163490551508299,1
TCGA-AA-3506-01A-01R-1410-07,-0.08285915875663395,1
TCGA-CZ-5466-01A-01R-1503-07,-0.13792208175679754,1
TCGA-77-8140-01A-11R-2247-07,-0.09454430155721703,1
TCGA-21-5786-01A-01R-1635-07,-0.11102484940353591,1
TCGA-86-8075-01A-11R-2241-07,-0.12823762937888983,1
TCGA-A3-A8OX-01A-11R-A37O-07,-0.140949811162497,0
TCGA-95-8494-01A-11R-2326-07,-0.11354547328546241,1
TCGA-IG-A7DP-01A-31R-A336-31,-0.10401790358516605,1
TCGA-AD-6964-01A-11R-1928-07,-0.13578825085855054,1
TCGA-A8-A0A6-01A-12R-A056-07,-0.12962789906633382,1
TCGA-B0-5711-01A-11R-1672-07,-0.12770599121424242,0
TCGA-BH-A1FM-01A-11R-A13Q-07,0.02842952521380064,1
TCGA-CH-5771-01A-21R-1580-07,-0.1308114379589787,1
TCGA-69-7980-01A-11R-2187-07,-0.11696058610732443,1
TCGA-AR-A254-01A-21R-A169-07,-0.10995980620202632,1
TCGA-A6-2683-01A-01R-0821-07,0.13227829483234776,1
TCGA-PL-A8LY-01A-11R-A41B-07,-0.13587385113997694,1
TCGA-G3-A3CH-01A-11R-A22L-07,-0.11872303895736984,1
TCGA-57-1583-01A-01R-1566-13,-0.05340477005235486,1
TCGA-A4-8310-01A-11R-2404-07,-0.10290556704016171,1
TCGA-XK-AAJP-01A-11R-A41O-07,-0.12125339374020846,1
TCGA-EB-A3XE-01A-12R-A239-07,-0.02056997914475829,1
TCGA-AN-A0FZ-01A-11R-A034-07,-0.09515230257408828,1
TCGA-13-0911-01A-01R-1564-13,-0.06174728102415959,1
TCGA-51-6867-01A-11R-2045-07,-0.11294602528464488,1
TCGA-AN-A04D-01A-21R-A034-07,-0.03533066947571881,1
TCGA-DD-AADC-01A-11R-A41C-07,-0.1268391211506545,1
TCGA-73-4677-01A-01R-1206-07,-0.11305092766426189,1
TCGA-L9-A743-01A-43R-A39D-07,-0.11370486062022642,1
TCGA-E9-A6HE-01A-11R-A31O-07,-0.12482071291469393,1
TCGA-E2-A15D-01A-11R-A115-07,-0.11204939306795933,1
TCGA-73-4658-01A-01R-1755-07,-0.13617680654404413,1
TCGA-CH-5788-01A-11R-1580-07,-0.06692171350932484,0
TCGA-E2-A14Z-01A-11R-A115-07,-0.12614247599803327,1
TCGA-EB-A6QY-01A-12R-A32P-07,-0.08791165322637697,1
TCGA-CH-5753-01A-11R-1580-07,-0.07673222477955824,1
TCGA-AC-A3W5-01A-11R-A22K-07,-0.11818190077311282,1
TCGA-A6-A566-01A-11R-A28H-07,-0.15150706199544978,1
TCGA-AA-3994-01A-01R-1113-07,-0.12506817096525408,0
TCGA-MS-A51U-01A-31R-A266-07,-0.1287205588370256,1
TCGA-13-1509-01A-01R-1565-13,-0.11574062690965059,0
TCGA-IG-A6QS-01A-12R-A336-31,-0.06432183082580649,1
TCGA-EW-A1PG-01A-11R-A144-07,-0.1267964368923858,1
TCGA-23-1023-01A-02R-1564-13,-0.10456643239783195,1
TCGA-XJ-A9DI-01A-11R-A37L-07,-0.14917885687270438,1
TCGA-68-A59I-01A-11R-A262-07,-0.11243963707828646,1
TCGA-13-0891-01A-01R-1564-13,-0.017136515214895686,1
TCGA-A7-A13E-01A-11R-A12P-07,-0.08502022241446063,1
