sample_id,score,y_member
TCGA-B0-5115-01A-01R-1420-07,-0.07416638886292463,0
TCGA-EJ-A46E-01A-31R-A250-07,0.016740249287015386,0
TCGA-DD-AAE7-01A-11R-A41C-07,-0.07401825407448914,1
TCGA-Z6-A8JE-01A-11R-A37I-31,-0.1927386742347727,0
TCGA-A8-A08F-01A-11R-A00Z-07,-0.024927175093301876,1
TCGA-59-2350-01A-01R-1569-13,-0.040138621134075944,1
TCGA-CZ-4858-01A-01R-1305-07,0.18700583747023197,1
TCGA-CZ-5470-01A-01R-1503-07,-0.03249293348382795,1
TCGA-AN-A0XN-01A-21R-A109-07,-0.025115715484972125,1
TCGA-37-A5EL-01A-11R-A26W-07,0.006772929572023043,1
TCGA-46-6025-01A-11R-1820-07,-0.01751406168268139,0
TCGA-AN-A0XS-01A-22R-A109-07,-0.03376209680664751,1
TCGA-M7-A725-01A-12R-A32O-07,-0.002075075397954052,0
TCGA-XN-A8T3-01A-11R-A36G-07,-0.26057717913614337,1
TCGA-3K-AAZ8-01A-12R-A39D-07,-0.08671594452720802,1
TCGA-B9-5155-01A-01R-1592-07,-0.08168235293482456,0
TCGA-OK-A5Q2-01A-11R-A27Q-07,-0.032000739877885515,0
TCGA-2Y-A9H8-01A-11R-A39D-07,-0.025115265731709795,1
TCGA-30-1866-01A-02R-1568-13,-0.04273185191783193,1
TCGA-SX-A7SO-01A-11R-A355-07,-0.06721135404273701,0
TCGA-55-7283-01A-11R-2039-07,-0.07578635081733981,1
TCGA-M7-A720-01A-12R-A32O-07,-0.06781868765866834,0
TCGA-91-6828-01A-11R-1858-07,-0.07575287981450521,1
TCGA-D8-A1JF-01A-11R-A13Q-07,-0.01171035947511565,1
TCGA-D8-A1JG-01B-11R-A13Q-07,-0.014622239819141004,1
TCGA-AL-3468-01A-02R-1351-07,-0.08873308568152993,1
TCGA-21-1082-01A-01R-0692-07,-0.0037011984445236806,1
TCGA-A4-8311-01A-11R-2404-07,-0.1030602518018557,0
TCGA-BD-A3EP-01A-11R-A22L-07,-0.022156656563951674,1
TCGA-92-7340-01A-21R-2045-07,-0.017844098345216476,1
TCGA-EJ-A65B-01A-12R-A30B-07,0.009832982033689276,0
TCGA-HC-8261-01B-05R-2302-07,0.10778846711733489,0
TCGA-AZ-6601-01A-11R-1774-07,-0.053134611661422894,0
TCGA-B0-4703-01A-01R-1277-07,-0.020442542208709814,1
TCGA-AA-A004-01A-01R-A00A-07,0.11699788237347898,1
TCGA-30-1862-01A-02R-1568-13,-0.033205250518557675,0
TCGA-09-2045-01A-01R-1568-13,-8.113066858161924e-05,1
TCGA-E2-A10F-01A-11R-A10J-07,-0.0396885507516454,1
TCGA-OL-A6VO-01A-12R-A33J-07,-0.004936103562540488,0
TCGA-BQ-5884-01A-11R-1592-07,0.048981733646846166,0
TCGA-49-4507-01A-01R-1206-07,-0.013194356216364903,1
TCGA-ZG-A9LS-01A-12R-A41O-07,-0.01255738005215595,1
TCGA-AN-A0FW-01A-11R-A034-07,-0.029855066388715826,0
TCGA-A6-A5ZU-01A-11R-A28H-07,0.01556859980250255,0
TCGA-QU-A6IL-01A-11R-A31N-07,0.04365346378719471,1
TCGA-67-4679-01B-01R-1755-07,-0.07291050987349101,1
TCGA-DM-A28G-01A-11R-A16W-07,-0.06136193725366868,1
TCGA-IB-AAUV-01A-11R-A38C-07,-0.17143977090532062,1
TCGA-FB-AAPZ-01A-11R-A41B-07,-0.27178539541990887,1
TCGA-DD-AAEG-01A-11R-A39D-07,-0.05550431155442432,1
TCGA-24-0975-01A-02R-1565-13,-0.012906193124392621,1
TCGA-AA-3841-01A-01R-0905-07,0.026505828305128612,1
TCGA-75-6211-01A-11R-1755-07,-0.04451182010490092,1
TCGA-IB-7887-01A-11R-2156-07,-0.19516522938911546,1
TCGA-78-7161-01A-11R-2039-07,-0.06591283298163997,0
TCGA-B0-5699-01A-11R-1541-07,-0.059463604178001256,1
TCGA-DD-A113-01A-11R-A131-07,-0.007348824085719034,1
TCGA-E9-A1R2-01A-11R-A14D-07,-0.029055294163825792,1
TCGA-78-7536-01A-11R-2066-07,-0.03752945648007104,1
TCGA-B6-A0WY-01A-11R-A109-07,-0.026719536742587528,1
TCGA-ZP-A9CY-01A-11R-A38B-07,-0.07423836874706552,1
TCGA-EJ-5495-01A-01R-1580-07,0.03882594576534952,1
TCGA-2H-A9GJ-01A-11R-A37I-31,-0.15602741001198708,0
TCGA-AA-3955-01A-02R-1022-07,-0.04874004072659297,1
TCGA-20-1684-01A-01R-1566-13,-0.037985709377533164,1
TCGA-AA-3697-01A-01R-1723-07,-0.08528607304530773,0
TCGA-56-5898-01A-11R-1635-07,-0.025245852429925185,0
TCGA-BP-4801-01A-02R-1420-07,-0.07227156057588832,0
TCGA-D8-A146-01A-31R-A115-07,-0.04348085652653608,0
TCGA-DD-AACJ-01A-11R-A41C-07,-0.08590589123777778,1
TCGA-BQ-5892-01A-11R-1592-07,0.01053143165819391,1
TCGA-BH-A0BF-01A-21R-A12P-07,-0.03165363205141946,1
TCGA-HZ-8003-01A-21R-2204-07,-0.19827242214297977,1
TCGA-BH-A1EU-01A-11R-A137-07,-0.027311735349589816,1
TCGA-61-1900-01A-01R-1567-13,-0.03526436381596447,1
TCGA-AM-5821-01A-01R-1653-07,0.02097484639149649,0
TCGA-A7-A26J-01A-11R-A169-07,-0.034485021285893196,1
TCGA-AR-A1AT-01A-11R-A12P-07,-0.0306186078591004,1
TCGA-OL-A5S0-01A-11R-A28M-07,0.01154575149163928,1
TCGA-63-6202-01A-11R-1820-07,0.03820095394438721,0
TCGA-A2-A3XV-01A-21R-A239-07,0.032151204473864325,1
TCGA-CH-5772-01A-11R-1580-07,-0.04114213458972818,1
TCGA-OL-A5DA-01A-11R-A27Q-07,-0.029548854349779288,0
TCGA-2Z-A9J1-01A-11R-A38C-07,-0.14069608434055314,1
TCGA-LN-A8I0-01A-11R-A36D-31,-0.12204448303353682,1
TCGA-50-8460-01A-11R-2326-07,-0.06657535966453747,1
TCGA-86-8279-01A-11R-2287-07,-0.06443081924096011,0
TCGA-56-A4ZJ-01A-11R-A262-07,0.022301817729458648,1
TCGA-67-3770-01A-01R-0946-07,-0.03865934811476422,1
TCGA-A2-A0YF-01A-21R-A109-07,-0.03072494120611789,1
TCGA-85-A50Z-01A-21R-A262-07,0.007215554049686468,1
TCGA-G9-6363-01A-21R-1789-07,0.06414990064716387,1
TCGA-G7-6790-01A-11R-1965-07,-0.08191391984605201,1
TCGA-AR-A1AM-01A-41R-A22K-07,-0.02701744623311885,1
TCGA-E2-A10C-01A-21R-A10J-07,-0.012819939900501579,1
TCGA-AA-A00L-01A-01R-A002-07,-0.05959714687557348,1
TCGA-55-7995-01A-11R-2187-07,-0.04023835942641447,1
TCGA-G4-6309-01A-21R-1839-07,-0.05860265033335036,1
TCGA-CJ-4908-01A-01R-1426-07,-0.06122115430644147,1
TCGA-EJ-A46B-01A-31R-A250-07,-0.08101671956248012,1
TCGA-AR-A24Z-01A-11R-A169-07,-0.0288339184225334,1
TCGA-A6-2685-01A-01R-1410-07,0.01830596568684921,1
TCGA-A4-A5DU-01A-11R-A28H-07,-0.11179951280458034,0
TCGA-AZ-6600-01A-11R-1774-07,-0.06455053991831051,1
TCGA-CC-A7IH-01A-11R-A33J-07,-0.0637441788782723,1
TCGA-QU-A6IM-01A-11R-A31N-07,0.07952677323812762,1
TCGA-LN-A49M-01A-21R-A260-31,-0.2213174039106489,0
TCGA-66-2765-01A-01R-0851-07,-0.013771578397635478,1
TCGA-A8-A0AB-01A-11R-A034-07,-0.03324304938847651,1
TCGA-S3-AA14-01A-11R-A41B-07,-0.026255052991117727,1
TCGA-98-A538-01A-11R-A262-07,-0.03163599495781445,1
TCGA-CM-6166-01A-11R-1653-07,-0.03401415786556738,0
TCGA-5M-AAT4-01A-11R-A41B-07,-0.060623280078727616,1
TCGA-61-2008-01A-02R-1568-13,-0.034786663404704904,1
TCGA-B6-A0X0-01A-21R-A115-07,-0.032226057486012566,1
TCGA-86-8281-01A-11R-2287-07,-0.07304727791283916,0
TCGA-24-1546-01A-01R-1566-13,-0.01259475642024325,1
TCGA-V1-A9OL-01A-11R-A41O-07,-0.022040400490253787,1
TCGA-BH-A201-01A-11R-A14M-07,-0.034955555203310194,0
TCGA-18-3409-01A-01R-0980-07,0.03197286851532454,0
TCGA-F4-6461-01A-11R-1774-07,0.003241203327077588,1
TCGA-AA-A02E-01A-01R-A00A-07,-0.05304235921369378,1
TCGA-YL-A9WY-01A-11R-A41O-07,-0.01142738878183593,1
TCGA-B0-5102-01A-01R-1420-07,-0.02897288439330411,1
TCGA-G9-7521-01A-11R-2263-07,0.03430716396641222,1
TCGA-CJ-4902-01A-01R-1426-07,-0.06257717781488453,1
TCGA-CA-6717-01A-11R-1839-07,-0.015979367216070493,1
TCGA-IG-A5S3-01A-11R-A28J-31,-0.13145636314829565,1
TCGA-EJ-5497-01A-02R-1580-07,-0.037054493877073574,1
TCGA-BF-A5EO-01A-12R-A27Q-07,-0.4592621603298681,1
TCGA-85-A4JC-01A-11R-A24Z-07,-0.005277933028225609,1
TCGA-44-3917-01A-01R-A278-07,-0.028032182645091237,1
TCGA-A8-A08H-01A-21R-A00Z-07,-0.007916787123658939,1
TCGA-95-A4VN-01A-11R-A262-07,-0.07478568083774992,1
TCGA-B0-5693-01A-11R-1541-07,-0.0660270547876082,1
TCGA-77-8138-01A-11R-2247-07,-0.016916775951742256,1
TCGA-KK-A7B0-01A-11R-A32O-07,0.0684181871293615,1
TCGA-B0-5083-01A-02R-1420-07,0.09918648323977361,1
TCGA-GM-A2DA-01A-11R-A18M-07,-0.017166762489832316,1
TCGA-A2-A3KD-01A-12R-A213-07,-0.03335159392555782,1
TCGA-DD-A39Y-01A-11R-A213-07,-0.027643878158706715,1
TCGA-B6-A0WZ-01A-11R-A109-07,-0.0272321222435673,1
TCGA-A6-2682-01A-01R-1410-07,-0.03754244978453649,0
TCGA-D8-A1JU-01A-11R-A13Q-07,-0.03012775092544471,1
TCGA-RL-AAAS-01A-32R-A39D-07,-0.22795799636073252,1
TCGA-B9-A44B-01A-11R-A24Z-07,-0.023881787865491937,0
TCGA-B6-A0I5-01A-11R-A034-07,-0.005941219413086555,1
TCGA-BH-AB28-01A-31R-A41B-07,-0.028997733351826392,1
TCGA-E9-A1N9-01A-11R-A14D-07,-0.028730559037546354,1
TCGA-A3-3363-01A-01R-0864-07,0.08014696546109501,0
TCGA-22-1000-01A-01R-A32Z-07,0.00891849942552254,1
TCGA-KK-A6E4-01A-11R-A30B-07,0.009911321634655818,1
TCGA-BQ-5889-01A-11R-1592-07,0.036524745217497386,0
